data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-16 12:00:00,1002.0,84,26.6,24.8,90,20.15,80,2,299.6,358.8,303.2,NaN
2026-03-16 12:00:00,1000.0,100,26.2,24.7,91,20.06,115,6,299.4,358.2,302.9,NaN
2026-03-16 12:00:00,967.0,397,24.2,23.7,97,19.54,80,11,300.2,357.8,303.7,NaN
2026-03-16 12:00:00,960.0,461,23.8,23.5,98,19.42,74,13,300.4,357.7,303.9,NaN
2026-03-16 12:00:00,946.0,590,25.0,20.1,74,15.92,61,16,302.9,350.3,305.8,NaN
2026-03-16 12:00:00,940.0,646,24.7,20.0,75,15.97,55,17,303.2,350.8,306.1,NaN
2026-03-16 12:00:00,925.0,788,24.0,19.9,78,16.09,40,15,303.8,351.9,306.8,NaN
2026-03-16 12:00:00,913.0,902,23.2,19.4,79,15.81,35,15,304.1,351.4,307.0,NaN
2026-03-16 12:00:00,850.0,1523,18.6,16.8,89,14.37,40,14,305.6,348.9,308.2,NaN
2026-03-16 12:00:00,787.0,2181,14.0,13.7,98,12.68,44,12,307.5,346.0,309.8,NaN
2026-03-16 12:00:00,769.0,2376,13.3,11.6,89,11.29,45,11,308.8,343.4,310.9,NaN
2026-03-16 12:00:00,736.0,2746,12.0,7.6,74,9.00,80,13,311.3,339.3,313.0,NaN
2026-03-16 12:00:00,730.0,2815,11.8,6.9,72,8.62,81,13,311.8,338.7,313.4,NaN
2026-03-16 12:00:00,706.0,3095,10.2,7.8,85,9.49,84,12,313.0,342.7,314.8,NaN
2026-03-16 12:00:00,700.0,3166,9.8,7.4,85,9.31,85,12,313.3,342.5,315.1,NaN
2026-03-16 12:00:00,670.0,3526,8.2,4.8,79,8.12,90,11,315.5,341.2,317.0,NaN
2026-03-16 12:00:00,616.0,4218,5.1,-0.1,69,6.18,185,1,319.6,339.8,320.8,NaN
2026-03-16 12:00:00,597.0,4476,4.0,-2.0,65,5.57,195,2,321.2,339.5,322.2,NaN
2026-03-16 12:00:00,562.0,4964,0.6,-8.4,51,3.63,214,4,322.7,335.0,323.4,NaN
2026-03-16 12:00:00,541.0,5268,-1.9,-5.3,78,4.79,225,5,323.3,339.3,324.2,NaN
2026-03-16 12:00:00,532.0,5401,-2.9,-7.4,71,4.15,231,5,323.6,337.6,324.5,NaN
2026-03-16 12:00:00,500.0,5890,-5.5,-16.5,42,2.12,250,7,326.3,333.7,326.7,NaN
2026-03-16 12:00:00,496.0,5953,-5.9,-17.9,38,1.90,251,7,326.5,333.3,326.9,NaN
2026-03-16 12:00:00,485.0,6129,-6.3,-13.3,58,2.84,253,8,328.1,338.1,328.7,NaN
2026-03-16 12:00:00,477.0,6260,-6.5,-22.5,27,1.32,255,9,329.4,334.3,329.7,NaN
2026-03-16 12:00:00,455.0,6628,-8.7,-27.7,20,0.87,260,11,331.2,334.4,331.4,NaN
2026-03-16 12:00:00,452.0,6680,-8.7,-21.7,34,1.50,264,11,331.8,337.3,332.1,NaN
2026-03-16 12:00:00,444.0,6818,-9.3,-35.3,10,0.43,276,10,332.7,334.4,332.8,NaN
2026-03-16 12:00:00,441.0,6871,-9.5,-30.5,16,0.69,280,10,333.1,335.8,333.3,NaN
2026-03-16 12:00:00,426.0,7138,-11.1,-36.1,11,0.41,285,12,334.4,336.1,334.5,NaN
2026-03-16 12:00:00,415.0,7339,-12.7,-23.7,39,1.37,289,14,334.9,339.9,335.1,NaN
