PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,84,27.0,23.3,80,18.39,80,4,300.1,354.3,303.4
997.0,111,26.8,23.2,81,18.36,45,14,300.2,354.3,303.5
987.0,200,26.2,22.9,82,18.24,45,21,300.5,354.2,303.8
959.0,454,24.5,22.2,87,17.90,60,17,301.3,354.2,304.5
925.0,773,22.4,21.2,93,17.47,75,6,302.2,354.0,305.4
883.0,1177,19.6,19.3,98,16.24,24,9,303.3,351.7,306.3
864.0,1365,18.7,17.9,95,15.15,0,11,304.3,349.6,307.0
850.0,1506,18.0,16.8,93,14.37,20,11,305.0,348.1,307.6
824.0,1769,16.7,15.7,94,13.81,30,11,306.4,348.1,308.9
742.0,2656,12.4,12.0,98,12.05,10,12,311.0,348.1,313.2
700.0,3149,10.0,10.0,100,11.14,20,12,313.5,348.3,315.6
690.0,3268,9.4,9.4,100,10.87,20,13,314.2,348.2,316.2
626.0,4073,5.6,5.6,100,9.17,55,11,318.6,348.0,320.4
614.0,4233,4.8,4.8,100,8.86,48,13,319.5,348.0,321.2
600.0,4421,2.9,2.8,99,7.88,40,15,319.4,344.8,320.9
595.0,4489,2.2,2.1,99,7.54,46,15,319.4,343.7,320.8
584.0,4639,1.7,0.8,93,6.99,60,14,320.5,343.3,321.9
568.0,4864,1.0,-1.2,85,6.22,45,17,322.3,342.7,323.5
563.0,4935,0.8,-1.8,83,5.99,45,16,322.8,342.6,324.0
559.0,4992,0.4,-2.0,84,5.95,45,16,323.0,342.7,324.2
536.0,5327,-1.7,-3.2,90,5.68,80,10,324.4,343.3,325.5
506.0,5786,-4.7,-4.8,99,5.32,80,8,326.1,344.0,327.2
500.0,5880,-5.3,-6.9,89,4.59,80,8,326.5,342.1,327.4
471.0,6347,-7.3,-12.0,69,3.25,39,4,329.6,341.0,330.3
445.0,6786,-10.2,-12.8,81,3.23,0,0,331.4,342.7,332.0
439.0,6891,-10.9,-13.0,84,3.22,14,1,331.8,343.1,332.4
404.0,7525,-13.9,-19.9,60,1.96,100,5,335.9,343.1,336.3
400.0,7600,-14.3,-22.3,51,1.61,110,6,336.3,342.3,336.6
389.0,7811,-15.7,-23.7,50,1.46,109,7,337.2,342.6,337.5
338.0,8857,-23.5,-26.4,77,1.32,102,11,340.4,345.4,340.6
324.0,9166,-25.5,-34.5,43,0.64,100,12,341.7,344.3,341.9
321.0,9233,-26.0,-34.2,46,0.66,100,12,341.9,344.5,342.0
310.0,9484,-28.0,-33.2,61,0.76,120,15,342.6,345.5,342.7
301.0,9696,-29.7,-32.3,78,0.85,124,20,343.1,346.4,343.2
300.0,9720,-29.9,-33.4,71,0.77,125,20,343.1,346.1,343.3
283.0,10132,-33.1,-41.1,45,0.37,130,23,344.3,345.8,344.4
259.0,10748,-38.1,-42.8,61,0.34,137,26,345.8,347.2,345.8
254.0,10881,-38.7,-47.7,38,0.20,139,27,346.8,347.7,346.9
250.0,10990,-39.5,-45.5,53,0.26,140,28,347.2,348.3,347.3
248.0,11045,-39.9,-44.8,59,0.29,141,28,347.4,348.6,347.5
216.0,11976,-48.3,-51.1,73,0.16,151,33,348.4,349.1,348.4
211.0,12130,-49.5,-56.5,44,0.09,153,34,348.8,349.2,348.9
204.0,12351,-51.4,-56.9,51,0.08,155,35,349.2,349.6,349.3
200.0,12480,-52.5,-57.2,57,0.08,155,35,349.5,349.9,349.5
196.0,12610,-53.7,-63.7,28,0.04,153,36,349.6,349.8,349.6
189.0,12841,-55.8,-63.3,39,0.04,150,37,349.8,350.0,349.8
185.0,12977,-57.1,-63.1,46,0.04,149,35,349.9,350.1,349.9
179.0,13184,-58.5,-67.5,30,0.02,148,33,350.9,351.0,350.9
167.0,13615,-62.5,-65.0,72,0.04,145,27,351.3,351.4,351.3
158.0,13954,-64.3,-72.3,33,0.01,142,23,353.8,353.9,353.8
156.0,14032,-64.3,-74.3,24,0.01,142,22,355.1,355.2,355.1
150.0,14270,-65.5,-76.5,20,0.01,140,19,357.1,357.1,357.1
145.0,14466,-67.0,-77.5,22,0.01,115,18,357.9,357.9,357.9
131.0,15053,-71.7,-80.4,26,0.00,105,11,360.1,360.1,360.1
127.0,15232,-73.1,-81.3,28,0.00,95,12,360.8,360.8,360.8
104.0,16386,-82.2,-87.2,43,0.00,95,14,364.6,364.6,364.6
101.0,16555,-83.5,-88.0,46,0.00,135,10,365.1,365.1,365.1
100.0,16610,-83.9,-88.3,47,0.00,135,10,365.4,365.4,365.4
95.8,16847,-84.9,-88.9,50,0.00,177,20,367.9,367.9,367.9
95.0,16893,-84.8,-88.8,49,0.00,185,22,369.1,369.1,369.1
91.0,17131,-84.1,-88.5,47,0.00,145,20,374.9,374.9,374.9
90.8,17143,-84.1,-88.5,46,0.00,NaN,NaN,375.2,375.2,375.2
