data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-01-02 12:00:00,1002.0,84,29.0,23.0,70,18.02,0,0,302.0,355.4,305.2,NaN
2026-01-02 12:00:00,1000.0,106,28.2,23.2,74,18.28,80,2,301.4,355.4,304.6,NaN
2026-01-02 12:00:00,995.0,151,26.6,22.7,79,17.81,72,3,300.2,352.6,303.4,NaN
2026-01-02 12:00:00,961.0,459,26.2,19.2,65,14.80,15,11,302.8,346.8,305.5,NaN
2026-01-02 12:00:00,925.0,795,23.4,19.4,78,15.58,40,11,303.2,349.7,306.1,NaN
2026-01-02 12:00:00,900.0,1033,22.1,17.5,75,14.14,60,14,304.3,346.6,306.9,NaN
2026-01-02 12:00:00,880.0,1229,21.0,15.9,72,13.05,50,15,305.1,344.4,307.5,NaN
2026-01-02 12:00:00,850.0,1530,19.4,13.4,68,11.49,70,19,306.4,341.3,308.6,NaN
2026-01-02 12:00:00,814.0,1901,16.8,8.8,59,8.80,73,21,307.5,334.5,309.1,NaN
2026-01-02 12:00:00,796.0,2090,15.4,8.7,64,8.93,75,22,308.0,335.4,309.6,NaN
2026-01-02 12:00:00,785.0,2208,14.5,8.6,68,9.01,85,22,308.3,336.0,310.0,NaN
2026-01-02 12:00:00,744.0,2662,11.2,8.3,82,9.32,90,17,309.4,338.1,311.1,NaN
2026-01-02 12:00:00,700.0,3170,9.2,1.2,57,6.00,95,12,312.6,331.7,313.8,NaN
2026-01-02 12:00:00,699.0,3182,9.2,1.2,57,6.01,95,10,312.8,331.9,313.9,NaN
2026-01-02 12:00:00,694.0,3241,9.4,-0.6,50,5.31,94,10,313.6,330.6,314.6,NaN
2026-01-02 12:00:00,653.0,3745,8.1,-9.1,28,2.95,85,14,317.7,327.6,318.3,NaN
2026-01-02 12:00:00,649.0,3795,8.0,-10.0,27,2.77,79,14,318.1,327.4,318.6,NaN
2026-01-02 12:00:00,629.0,4051,6.0,-9.2,33,3.04,50,13,318.7,328.9,319.3,NaN
2026-01-02 12:00:00,614.0,4248,4.5,-8.6,38,3.27,55,11,319.1,330.1,319.8,NaN
2026-01-02 12:00:00,600.0,4436,3.0,-8.0,44,3.51,84,12,319.5,331.3,320.2,NaN
2026-01-02 12:00:00,595.0,4504,2.8,-9.5,40,3.15,95,12,320.0,330.6,320.6,NaN
2026-01-02 12:00:00,572.0,4822,1.6,-16.4,25,1.87,117,12,322.3,328.8,322.7,NaN
2026-01-02 12:00:00,544.0,5223,-1.8,-7.5,65,4.02,145,13,322.9,336.4,323.7,NaN
2026-01-02 12:00:00,540.0,5282,-2.3,-6.2,75,4.48,145,12,323.0,338.0,323.9,NaN
2026-01-02 12:00:00,531.0,5415,-2.9,-6.1,79,4.59,146,11,323.8,339.2,324.7,NaN
2026-01-02 12:00:00,523.0,5536,-2.7,-15.7,36,2.16,147,10,325.5,333.1,325.9,NaN
2026-01-02 12:00:00,518.0,5612,-3.1,-14.1,42,2.49,148,10,325.9,334.6,326.4,NaN
2026-01-02 12:00:00,500.0,5890,-5.9,-12.9,58,2.85,150,7,325.8,335.6,326.3,NaN
2026-01-02 12:00:00,490.0,6048,-7.3,-12.2,68,3.08,157,4,325.9,336.6,326.6,NaN
2026-01-02 12:00:00,486.0,6112,-7.6,-12.3,69,3.08,160,3,326.4,337.0,327.0,NaN
2026-01-02 12:00:00,482.0,6177,-7.9,-12.4,70,3.08,152,4,326.8,337.4,327.4,NaN
2026-01-02 12:00:00,453.0,6658,-10.9,-15.8,67,2.48,94,8,328.8,337.6,329.3,NaN
2026-01-02 12:00:00,433.0,7006,-11.7,-29.7,21,0.76,52,11,332.1,335.0,332.2,NaN
2026-01-02 12:00:00,430.0,7059,-12.1,-31.5,18,0.64,45,12,332.3,334.8,332.4,NaN
2026-01-02 12:00:00,410.0,7423,-14.5,-43.5,7,0.20,45,22,333.7,334.5,333.7,NaN
2026-01-02 12:00:00,400.0,7610,-15.9,-41.9,9,0.24,40,20,334.2,335.2,334.3,NaN
2026-01-02 12:00:00,371.0,8168,-20.2,-36.7,21,0.45,25,15,335.8,337.6,335.9,NaN
2026-01-02 12:00:00,359.0,8412,-22.1,-34.5,32,0.58,75,10,336.5,338.7,336.6,NaN
2026-01-02 12:00:00,355.0,8495,-22.7,-33.7,36,0.63,100,11,336.7,339.1,336.8,NaN
2026-01-02 12:00:00,340.0,8810,-24.3,-34.3,39,0.62,108,12,338.7,341.1,338.8,NaN
2026-01-02 12:00:00,328.0,9069,-25.9,-38.6,29,0.42,115,12,340.0,341.7,340.1,NaN
2026-01-02 12:00:00,319.0,9269,-27.1,-41.9,23,0.30,140,13,341.0,342.3,341.1,NaN
2026-01-02 12:00:00,302.0,9663,-29.5,-48.5,14,0.16,136,20,343.0,343.7,343.1,NaN
2026-01-02 12:00:00,300.0,9710,-29.7,-47.7,16,0.17,135,21,343.4,344.1,343.4,NaN
2026-01-02 12:00:00,283.0,10121,-33.3,-45.9,27,0.22,135,26,344.1,345.0,344.1,NaN
2026-01-02 12:00:00,272.0,10400,-35.7,-44.7,39,0.26,135,26,344.4,345.6,344.5,NaN
2026-01-02 12:00:00,250.0,10980,-40.7,-55.7,18,0.08,135,25,345.4,345.8,345.4,NaN
2026-01-02 12:00:00,245.0,11117,-41.5,-58.5,14,0.06,130,24,346.2,346.5,346.2,NaN
2026-01-02 12:00:00,232.0,11482,-44.3,-58.4,19,0.06,115,23,347.4,347.7,347.4,NaN
2026-01-02 12:00:00,225.0,11687,-45.9,-58.4,23,0.06,135,16,348.0,348.3,348.0,NaN
2026-01-02 12:00:00,219.0,11868,-47.3,-58.3,27,0.07,120,14,348.6,348.9,348.6,NaN
2026-01-02 12:00:00,207.0,12237,-50.7,-54.1,67,0.12,90,10,348.9,349.4,348.9,NaN
2026-01-02 12:00:00,200.0,12460,-52.5,-56.9,59,0.09,95,7,349.5,349.9,349.5,NaN
2026-01-02 12:00:00,186.0,12925,-56.5,-59.7,67,0.07,145,9,350.3,350.6,350.3,NaN
2026-01-02 12:00:00,181.0,13097,-57.9,-62.0,59,0.05,163,9,350.8,351.0,350.8,NaN
2026-01-02 12:00:00,178.0,13203,-58.7,-69.7,23,0.02,175,10,351.1,351.2,351.1,NaN
2026-01-02 12:00:00,174.0,13344,-59.7,-69.2,28,0.02,190,10,351.8,351.9,351.8,NaN
2026-01-02 12:00:00,169.0,13525,-60.9,-68.6,35,0.02,195,11,352.7,352.8,352.7,NaN
2026-01-02 12:00:00,160.0,13866,-63.3,-67.5,57,0.03,155,10,354.2,354.4,354.2,NaN
2026-01-02 12:00:00,150.0,14260,-65.9,-75.9,24,0.01,25,2,356.4,356.4,356.4,NaN
2026-01-02 12:00:00,149.0,14300,-66.2,-76.8,21,0.01,25,2,356.6,356.6,356.6,NaN
2026-01-02 12:00:00,147.0,14382,-66.7,-78.7,17,0.01,18,4,357.1,357.1,357.1,NaN
2026-01-02 12:00:00,141.0,14626,-68.8,-79.2,21,0.01,355,10,357.7,357.7,357.7,NaN
2026-01-02 12:00:00,125.0,15332,-74.8,-80.8,39,0.00,25,24,359.3,359.3,359.3,NaN
2026-01-02 12:00:00,117.0,15719,-78.1,-81.7,56,0.00,41,18,360.1,360.1,360.1,NaN
2026-01-02 12:00:00,108.0,16169,-80.9,-85.0,51,0.00,60,11,363.1,363.1,363.1,NaN
2026-01-02 12:00:00,106.0,16274,-81.6,-85.8,49,0.00,80,8,363.7,363.8,363.7,NaN
2026-01-02 12:00:00,104.0,16381,-82.3,-86.6,48,0.00,110,12,364.4,364.4,364.4,NaN
2026-01-02 12:00:00,101.0,16545,-83.3,-87.8,46,0.00,120,17,365.5,365.5,365.5,NaN
2026-01-02 12:00:00,100.0,16600,-83.7,-88.3,45,0.00,120,17,365.8,365.8,365.8,NaN
2026-01-02 12:00:00,96.7,16786,-85.1,-89.6,45,0.00,100,22,366.6,366.6,366.6,NaN
2026-01-02 12:00:00,93.0,17001,-85.5,-90.0,45,0.00,80,26,369.9,369.9,369.9,NaN
2026-01-02 12:00:00,81.0,17760,-86.8,-91.4,44,0.00,95,29,382.1,382.1,382.1,NaN
2026-01-02 12:00:00,80.4,17801,-86.9,-91.5,44,0.00,91,28,382.7,382.7,382.7,NaN
2026-01-02 12:00:00,76.0,18112,-83.5,-90.1,31,0.00,60,23,396.1,396.1,396.1,NaN
2026-01-02 12:00:00,75.3,18163,-82.9,-89.9,30,0.00,39,20,398.3,398.3,398.3,NaN
2026-01-02 12:00:00,74.0,18262,-79.5,-88.9,20,0.00,0,14,407.5,407.5,407.5,NaN
2026-01-02 12:00:00,73.7,18285,-78.7,-88.7,19,0.00,357,14,409.6,409.6,409.6,NaN
2026-01-02 12:00:00,73.0,18339,-78.4,-88.8,17,0.00,350,15,411.4,411.4,411.4,NaN
