data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-14 00:00:00,1000.0,84,26.0,21.9,78,16.85,70,4,299.1,348.5,302.2,NaN
2026-03-14 00:00:00,994.0,137,26.8,22.1,75,17.17,72,5,300.5,351.1,303.6,NaN
2026-03-14 00:00:00,946.0,572,23.4,20.1,82,15.97,85,10,301.3,348.5,304.2,NaN
2026-03-14 00:00:00,940.0,628,23.0,19.9,83,15.82,74,11,301.4,348.2,304.3,NaN
2026-03-14 00:00:00,925.0,769,23.6,17.6,69,13.88,45,14,303.4,344.9,306.0,NaN
2026-03-14 00:00:00,920.0,816,23.7,16.7,65,13.14,45,14,304.0,343.4,306.4,NaN
2026-03-14 00:00:00,906.0,951,24.0,14.0,54,11.21,40,15,305.6,339.6,307.7,NaN
2026-03-14 00:00:00,850.0,1506,20.2,14.2,68,12.12,55,3,307.3,344.1,309.5,NaN
2026-03-14 00:00:00,734.0,2753,12.9,7.7,70,9.06,105,1,312.5,340.9,314.2,NaN
2026-03-14 00:00:00,700.0,3156,10.6,5.6,71,8.21,70,9,314.2,340.1,315.8,NaN
2026-03-14 00:00:00,698.0,3180,10.4,5.5,71,8.18,65,11,314.3,340.1,315.8,NaN
2026-03-14 00:00:00,642.0,3873,6.2,2.9,79,7.40,37,11,317.1,340.8,318.5,NaN
2026-03-14 00:00:00,615.0,4225,5.8,-2.2,56,5.32,23,11,320.5,338.0,321.6,NaN
2026-03-14 00:00:00,609.0,4304,5.3,-2.7,56,5.19,20,11,320.9,338.0,321.9,NaN
2026-03-14 00:00:00,580.0,4698,3.0,-5.0,56,4.55,30,13,322.6,337.8,323.5,NaN
2026-03-14 00:00:00,555.0,5054,0.8,-7.2,55,4.04,355,14,324.1,337.8,324.9,NaN
2026-03-14 00:00:00,525.0,5503,-1.9,-9.9,54,3.45,355,19,326.1,337.9,326.8,NaN
2026-03-14 00:00:00,520.0,5579,-2.3,-9.9,56,3.47,355,20,326.4,338.4,327.1,NaN
2026-03-14 00:00:00,500.0,5890,-4.1,-10.1,63,3.57,15,13,328.0,340.3,328.7,NaN
2026-03-14 00:00:00,488.0,6081,-5.7,-10.7,68,3.49,24,12,328.3,340.4,329.0,NaN
2026-03-14 00:00:00,475.0,6291,-6.7,-11.9,67,3.26,35,10,329.6,340.9,330.2,NaN
2026-03-14 00:00:00,424.0,7175,-10.9,-16.9,61,2.41,8,2,335.1,343.8,335.6,NaN
2026-03-14 00:00:00,409.0,7450,-13.1,-18.4,64,2.20,0,0,335.7,343.7,336.1,NaN
2026-03-14 00:00:00,400.0,7620,-14.5,-19.4,66,2.07,140,2,336.1,343.6,336.5,NaN
2026-03-14 00:00:00,389.0,7830,-16.1,-20.2,71,1.99,141,2,336.6,343.9,337.1,NaN
2026-03-14 00:00:00,334.0,8958,-24.1,-30.1,58,0.94,146,5,340.7,344.4,340.9,NaN
2026-03-14 00:00:00,300.0,9730,-30.3,-34.6,66,0.68,150,7,342.6,345.3,342.7,NaN
2026-03-14 00:00:00,297.0,9802,-30.9,-35.9,61,0.60,145,7,342.7,345.1,342.8,NaN
2026-03-14 00:00:00,277.0,10291,-35.2,-38.8,70,0.49,110,10,343.3,345.3,343.4,NaN
2026-03-14 00:00:00,268.0,10523,-37.3,-40.1,75,0.44,110,12,343.6,345.4,343.7,NaN
2026-03-14 00:00:00,265.0,10600,-37.9,-43.9,53,0.29,110,12,343.8,345.0,343.9,NaN
2026-03-14 00:00:00,250.0,11000,-41.1,-45.4,63,0.27,60,10,344.8,345.9,344.9,NaN
2026-03-14 00:00:00,248.0,11055,-41.6,-45.6,65,0.26,60,10,344.9,346.0,345.0,NaN
2026-03-14 00:00:00,245.0,11137,-42.3,-45.9,68,0.26,58,10,345.0,346.1,345.1,NaN
2026-03-14 00:00:00,239.0,11305,-43.5,-50.5,46,0.16,55,9,345.7,346.4,345.7,NaN
2026-03-14 00:00:00,220.0,11856,-48.5,-51.8,69,0.15,45,7,346.2,346.9,346.3,NaN
2026-03-14 00:00:00,215.0,12009,-49.9,-52.1,77,0.14,54,9,346.4,347.0,346.4,NaN
2026-03-14 00:00:00,212.0,12101,-50.6,-56.6,48,0.08,60,10,346.7,347.1,346.7,NaN
