PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1002.0,84,25.4,22.5,84,17.46,80,4,298.4,349.4,301.5
1000.0,99,25.6,22.6,84,17.61,75,8,298.8,350.2,301.9
981.0,269,26.8,21.8,74,17.08,71,16,301.6,352.2,304.7
975.0,323,26.5,21.6,75,16.95,70,18,301.8,352.0,304.9
925.0,788,23.6,19.7,79,15.88,85,18,303.4,350.8,306.3
910.0,931,22.4,19.2,82,15.64,84,19,303.6,350.3,306.5
853.0,1494,20.4,11.4,56,10.02,80,23,307.2,337.8,309.0
850.0,1524,20.2,11.2,56,9.92,80,22,307.3,337.6,309.1
821.0,1818,18.4,10.6,60,9.86,85,22,308.5,338.7,310.3
739.0,2711,13.0,8.8,75,9.68,80,12,312.0,342.1,313.8
716.0,2979,11.4,8.2,81,9.62,45,13,313.0,343.1,314.8
700.0,3171,10.2,7.8,85,9.57,45,11,313.8,343.8,315.6
693.0,3255,9.6,7.7,88,9.58,55,12,313.9,344.0,315.8
670.0,3535,7.4,7.2,99,9.60,95,10,314.6,344.8,316.4
608.0,4332,3.0,3.0,100,7.87,90,11,318.3,343.6,319.9
603.0,4399,2.7,2.6,100,7.73,90,11,318.7,343.6,320.2
593.0,4533,2.0,1.9,99,7.46,80,11,319.5,343.6,320.9
527.0,5483,-2.7,-3.3,96,5.73,128,7,324.8,343.9,325.9
518.0,5620,-3.1,-7.0,74,4.39,135,6,325.9,340.8,326.8
500.0,5900,-4.5,-5.2,95,5.23,150,5,327.5,345.2,328.5
491.0,6042,-5.7,-5.7,100,5.12,190,2,327.7,345.1,328.7
455.0,6634,-9.1,-12.2,78,3.32,215,10,330.7,342.3,331.3
447.0,6771,-8.5,-15.5,57,2.57,218,11,333.1,342.3,333.6
428.0,7105,-11.3,-14.9,75,2.83,225,12,333.7,343.8,334.3
409.0,7451,-12.4,-21.3,48,1.72,200,15,336.6,342.9,336.9
405.0,7526,-12.7,-22.7,43,1.53,200,14,337.2,342.9,337.5
400.0,7620,-13.7,-23.7,43,1.42,200,13,337.1,342.4,337.4
396.0,7696,-14.2,-24.6,41,1.32,210,11,337.4,342.4,337.7
354.0,8540,-19.7,-34.7,25,0.57,186,10,341.0,343.3,341.1
348.0,8667,-20.9,-28.9,49,1.02,182,10,341.0,345.0,341.2
345.0,8732,-21.1,-34.1,30,0.62,180,10,341.6,344.1,341.8
342.0,8796,-21.3,-39.3,18,0.37,181,10,342.2,343.7,342.3
326.0,9148,-24.5,-35.5,35,0.57,188,10,342.5,344.8,342.6
322.0,9238,-25.1,-36.5,34,0.53,190,10,342.8,344.9,342.9
304.0,9654,-28.2,-40.9,29,0.35,195,4,344.2,345.7,344.3
300.0,9750,-28.9,-41.9,27,0.32,210,4,344.5,345.9,344.6
283.0,10162,-31.7,-56.7,7,0.06,140,10,346.3,346.6,346.3
280.0,10237,-32.3,-56.3,7,0.07,139,10,346.5,346.8,346.5
257.0,10829,-37.8,-58.0,10,0.06,135,12,347.1,347.3,347.1
250.0,11020,-39.5,-58.5,11,0.06,125,10,347.2,347.5,347.2
243.0,11212,-41.3,-59.5,12,0.05,135,11,347.4,347.6,347.4
217.0,11975,-48.3,-63.3,16,0.04,158,10,347.9,348.1,347.9
200.0,12510,-52.7,-59.7,42,0.06,175,9,349.1,349.4,349.2
197.0,12607,-53.7,-59.7,48,0.06,176,9,349.1,349.4,349.1
190.0,12838,-55.5,-59.0,65,0.07,179,9,349.8,350.1,349.8
167.0,13636,-62.0,-66.9,52,0.03,190,10,352.0,352.2,352.0
153.0,14178,-66.5,-72.3,44,0.01,225,10,353.3,353.4,353.3
150.0,14300,-67.5,-73.5,42,0.01,255,10,353.6,353.7,353.6
147.0,14419,-68.4,-74.4,42,0.01,265,12,354.1,354.1,354.1
140.0,14705,-70.7,-76.7,41,0.01,290,14,355.1,355.2,355.1
135.0,14918,-72.3,-78.3,40,0.01,290,12,355.9,355.9,355.9
122.0,15512,-76.9,-82.9,38,0.00,255,20,357.9,357.9,357.9
120.0,15609,-77.7,-83.7,38,0.00,257,21,358.2,358.2,358.2
116.0,15804,-77.1,-85.6,25,0.00,260,22,362.8,362.8,362.8
112.0,16005,-76.5,-87.5,16,0.00,268,19,367.6,367.6,367.6
101.0,16594,-80.5,-88.5,26,0.00,290,12,370.9,370.9,370.9
100.0,16650,-81.1,-89.1,25,0.00,290,12,370.8,370.8,370.8
95.0,16935,-82.0,-89.5,27,0.00,330,10,374.6,374.6,374.6
91.0,17175,-82.7,-89.9,29,0.00,265,5,377.7,377.7,377.7
89.0,17298,-83.1,-90.1,29,0.00,210,11,379.4,379.4,379.4
82.0,17754,-84.5,-90.8,33,0.00,165,30,385.5,385.5,385.5
79.1,17954,-85.1,-91.1,34,0.00,155,25,388.2,388.2,388.2
79.0,17961,-85.0,-91.1,34,0.00,155,25,388.5,388.5,388.5
74.0,18325,-81.5,-89.3,26,0.00,105,19,403.3,403.3,403.3
73.5,18363,-81.1,-89.1,25,0.00,94,18,404.9,404.9,404.9
72.0,18479,-81.4,-89.4,25,0.00,60,14,406.6,406.6,406.6
71.7,18502,-81.5,-89.5,25,0.00,NaN,NaN,406.9,406.9,406.9
