PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1003.0,84,25.2,22.7,86,17.67,260,4,298.1,349.6,301.2
1000.0,111,25.0,22.8,88,17.83,300,6,298.1,350.1,301.3
943.0,626,23.0,20.2,84,16.12,355,12,301.2,348.8,304.1
925.0,795,22.4,19.4,83,15.58,10,15,302.2,348.4,305.0
915.0,890,22.0,18.4,80,14.78,15,17,302.7,346.7,305.4
861.0,1415,18.5,15.6,83,13.11,0,14,304.4,343.7,306.8
850.0,1526,17.8,15.0,84,12.77,5,13,304.8,343.2,307.1
791.0,2139,13.8,13.0,95,12.06,10,10,306.9,343.4,309.1
779.0,2270,13.0,12.6,97,11.91,27,11,307.3,343.5,309.5
773.0,2334,12.7,12.2,97,11.68,35,11,307.6,343.2,309.8
712.0,3023,9.0,8.0,94,9.52,40,10,310.9,340.4,312.6
700.0,3165,8.2,7.1,93,9.12,35,10,311.5,339.9,313.2
683.0,3369,8.0,4.1,76,7.57,21,10,313.5,337.4,314.9
647.0,3811,5.6,2.5,80,7.11,350,10,315.7,338.4,317.0
593.0,4523,1.7,-0.2,87,6.39,20,5,319.1,339.9,320.4
578.0,4732,0.6,-1.0,89,6.19,22,6,320.2,340.4,321.4
547.0,5175,-0.5,-7.5,59,4.00,25,7,323.9,337.5,324.7
542.0,5249,-0.5,-6.5,64,4.36,25,7,324.8,339.5,325.6
500.0,5890,-4.9,-10.9,63,3.35,30,9,327.0,338.6,327.7
443.0,6831,-10.7,-11.8,92,3.52,73,10,331.2,343.5,331.9
435.0,6971,-11.5,-12.7,91,3.32,80,10,331.9,343.6,332.6
415.0,7331,-13.5,-15.1,88,2.87,80,8,333.8,344.0,334.4
411.0,7405,-13.9,-19.9,60,1.93,80,8,334.2,341.3,334.6
400.0,7610,-15.5,-17.4,85,2.45,80,7,334.8,343.6,335.2
396.0,7686,-15.9,-16.9,92,2.59,79,8,335.2,344.5,335.7
385.0,7895,-17.4,-18.9,88,2.25,75,10,336.0,344.2,336.5
362.0,8352,-20.5,-23.2,79,1.64,115,8,337.7,343.8,338.1
354.0,8518,-21.7,-24.8,76,1.46,145,11,338.3,343.8,338.6
343.0,8752,-23.3,-27.0,72,1.23,150,15,339.2,343.9,339.4
324.0,9166,-25.3,-29.1,70,1.07,115,18,342.1,346.2,342.3
320.0,9257,-25.7,-29.6,70,1.03,117,19,342.7,346.7,342.9
313.0,9416,-27.3,-30.1,77,1.01,122,20,342.6,346.5,342.8
302.0,9673,-29.3,-34.1,63,0.71,129,23,343.3,346.1,343.5
300.0,9720,-29.5,-37.5,46,0.51,130,23,343.7,345.8,343.8
299.0,9744,-29.7,-39.7,37,0.41,130,23,343.7,345.4,343.8
289.0,9983,-31.6,-39.2,47,0.44,130,22,344.3,346.1,344.4
272.0,10409,-35.1,-38.3,72,0.52,160,23,345.3,347.4,345.4
260.0,10722,-37.7,-45.7,43,0.25,152,24,346.0,347.0,346.0
250.0,10990,-40.1,-47.1,47,0.22,145,25,346.3,347.2,346.4
242.0,11211,-42.3,-47.2,59,0.22,140,27,346.2,347.2,346.3
236.0,11380,-43.5,-46.8,70,0.24,137,29,346.9,347.9,347.0
233.0,11464,-44.2,-47.7,68,0.22,135,30,347.1,348.1,347.2
224.0,11724,-46.4,-50.3,64,0.17,145,32,347.7,348.4,347.7
216.0,11964,-48.4,-52.7,61,0.13,140,37,348.2,348.8,348.2
203.0,12374,-51.9,-56.9,55,0.09,132,36,348.9,349.3,348.9
200.0,12470,-52.9,-57.7,56,0.08,130,36,348.8,349.2,348.9
172.0,13425,-61.7,-64.8,66,0.04,130,31,349.6,349.8,349.6
162.0,13790,-64.7,-67.5,68,0.03,130,29,350.7,350.8,350.7
150.0,14260,-68.5,-71.0,70,0.02,115,29,351.9,352.0,351.9
148.0,14341,-69.5,-71.8,72,0.02,112,28,351.5,351.6,351.5
144.0,14502,-70.9,-73.7,67,0.01,105,27,351.9,351.9,351.9
139.0,14711,-72.7,-76.0,60,0.01,115,25,352.3,352.4,352.3
133.0,14972,-74.9,-79.0,53,0.01,120,25,352.8,352.8,352.8
127.0,15234,-76.6,-80.6,53,0.00,125,26,354.5,354.5,354.5
119.0,15603,-79.0,-82.9,52,0.00,115,32,356.8,356.8,356.8
100.0,16590,-85.3,-89.1,51,0.00,120,57,362.7,362.7,362.7
94.4,16906,-86.5,-90.3,51,0.00,115,62,366.4,366.4,366.4
94.0,16929,-86.4,-90.3,50,0.00,115,62,367.0,367.0,367.0
88.0,17291,-85.1,-90.0,43,0.00,95,47,376.5,376.5,376.5
87.0,17354,-84.9,-89.9,41,0.00,98,47,378.2,378.2,378.2
85.0,17485,-81.7,-88.9,29,0.00,105,48,387.1,387.1,387.1
82.4,17659,-77.5,-87.5,19,0.00,96,49,399.2,399.2,399.2
82.0,17688,-77.2,-87.6,18,0.00,95,49,400.4,400.4,400.4
76.6,18083,-72.7,-88.7,7,0.00,69,33,417.6,417.6,417.6
72.4,18412,-74.5,-90.5,7,0.00,47,20,420.6,420.6,420.6
71.0,18527,-72.7,-89.8,6,0.00,40,15,426.9,426.9,426.9
70.0,18610,-71.3,-89.3,5,0.00,5,8,431.5,431.5,431.5
69.2,18678,-70.7,-88.7,6,0.00,353,8,434.2,434.2,434.2
68.0,18780,-71.0,-88.8,6,0.00,335,7,435.7,435.7,435.7
66.0,18955,-71.6,-89.0,6,0.00,295,11,438.2,438.2,438.2
62.0,19321,-72.8,-89.5,7,0.00,265,12,443.5,443.5,443.5
59.0,19612,-73.7,-89.8,7,0.00,220,13,447.7,447.7,447.7
58.0,19712,-74.0,-90.0,7,0.00,205,10,449.1,449.2,449.1
57.0,19814,-74.4,-90.1,7,0.00,180,6,450.6,450.7,450.6
55.0,20023,-75.0,-90.3,8,0.00,110,13,453.7,453.7,453.7
53.7,20163,-75.5,-90.5,8,0.00,97,17,455.8,455.8,455.8
52.3,20317,-72.5,-89.5,6,0.00,83,21,466.2,466.2,466.2
52.0,20350,-72.7,-89.5,6,0.00,80,22,466.6,466.6,466.6
50.0,20580,-73.9,-89.9,7,0.00,80,27,468.9,469.0,468.9
49.7,20615,-74.1,-90.1,7,0.00,81,28,469.3,469.3,469.3
45.8,21095,-70.7,-89.7,5,0.00,89,35,488.6,488.6,488.6
43.3,21427,-72.1,-90.1,5,0.00,95,40,493.0,493.1,493.0
41.0,21751,-68.9,-90.3,3,0.00,100,45,508.8,508.8,508.8
40.6,21809,-68.3,-90.3,3,0.00,NaN,NaN,511.7,511.7,511.7
