PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1001.0,84,26.6,24.5,88,19.80,160,1,299.7,357.8,303.2
1000.0,90,26.6,24.4,88,19.69,145,5,299.8,357.6,303.3
994.0,144,27.2,24.4,85,19.82,139,6,300.9,359.4,304.4
952.0,525,24.7,22.5,88,18.45,95,10,302.1,356.8,305.4
925.0,780,23.0,21.3,90,17.58,100,11,302.8,355.1,306.0
924.0,789,22.9,21.3,90,17.58,100,11,302.9,355.2,306.0
910.0,923,22.0,21.1,95,17.65,88,14,303.2,355.8,306.4
888.0,1135,20.9,19.2,90,16.04,70,18,304.2,352.2,307.1
850.0,1514,19.0,15.8,82,13.46,80,19,306.0,346.7,308.5
836.0,1657,18.0,15.8,87,13.69,83,22,306.4,347.8,308.9
830.0,1719,17.8,15.1,84,13.14,85,24,306.8,346.6,309.3
793.0,2109,16.4,10.4,68,10.08,76,21,309.4,340.4,311.3
754.0,2535,14.2,8.7,69,9.44,65,18,311.5,340.9,313.3
737.0,2728,13.3,7.9,70,9.16,80,13,312.5,341.1,314.2
720.0,2925,12.3,7.1,71,8.88,60,15,313.5,341.4,315.2
709.0,3055,11.6,6.6,71,8.70,60,15,314.1,341.5,315.8
700.0,3162,10.8,5.8,71,8.33,60,15,314.4,340.7,316.0
611.0,4265,4.5,0.7,77,6.64,70,13,319.6,341.1,320.9
591.0,4534,2.9,-0.5,78,6.27,55,13,320.8,341.3,322.0
540.0,5266,-1.3,-3.9,82,5.33,100,4,324.2,342.0,325.2
500.0,5890,-4.9,-6.8,87,4.62,165,6,327.0,342.7,327.9
490.0,6049,-5.9,-7.3,90,4.54,156,8,327.7,343.1,328.6
479.0,6228,-5.7,-8.1,83,4.36,145,10,330.1,345.1,330.9
458.0,6578,-8.6,-9.1,96,4.20,135,12,330.7,345.2,331.5
453.0,6664,-9.3,-9.4,99,4.17,139,12,330.8,345.2,331.7
446.0,6784,-9.9,-10.4,96,3.91,145,12,331.6,345.2,332.4
431.0,7048,-11.1,-12.6,89,3.40,125,12,333.3,345.3,334.0
426.0,7139,-11.5,-13.3,87,3.24,131,12,333.9,345.4,334.6
423.0,7193,-11.9,-16.9,66,2.42,135,12,334.1,342.8,334.5
418.0,7284,-12.5,-14.1,88,3.09,141,13,334.4,345.4,335.1
411.0,7413,-13.3,-15.8,82,2.74,150,13,335.1,344.9,335.6
400.0,7620,-14.5,-18.4,72,2.25,140,10,336.1,344.3,336.5
399.0,7639,-14.5,-19.0,69,2.15,125,10,336.3,344.1,336.7
360.0,8410,-19.7,-22.7,77,1.72,119,11,339.4,345.8,339.7
340.0,8829,-22.2,-32.5,39,0.74,115,12,341.6,344.5,341.7
331.0,9026,-23.4,-37.0,27,0.48,95,10,342.6,344.6,342.7
322.0,9228,-24.6,-41.8,19,0.31,110,12,343.6,344.9,343.7
315.0,9389,-25.5,-45.5,14,0.21,97,11,344.5,345.4,344.5
309.0,9527,-26.7,-48.2,11,0.16,85,11,344.7,345.4,344.8
303.0,9669,-27.9,-50.9,9,0.12,88,10,345.0,345.5,345.0
300.0,9740,-28.5,-50.5,10,0.12,90,10,345.1,345.6,345.1
279.0,10255,-32.8,-46.9,23,0.20,95,10,346.2,347.0,346.2
271.0,10461,-34.5,-45.5,32,0.24,104,10,346.6,347.6,346.6
268.0,10539,-35.1,-57.1,9,0.06,108,10,346.8,347.1,346.8
260.0,10749,-36.9,-53.9,15,0.10,117,11,347.1,347.6,347.2
251.0,10993,-38.9,-43.0,65,0.34,129,11,347.7,349.1,347.8
250.0,11020,-39.3,-43.2,66,0.34,130,11,347.5,348.9,347.6
248.0,11074,-39.8,-43.5,68,0.33,130,11,347.6,349.0,347.6
240.0,11296,-41.8,-44.6,74,0.30,110,13,347.9,349.2,348.0
230.0,11583,-44.3,-46.0,83,0.27,105,11,348.3,349.4,348.3
225.0,11729,-45.7,-50.1,61,0.17,122,10,348.3,349.1,348.4
223.0,11788,-46.3,-48.1,82,0.22,128,10,348.3,349.2,348.3
221.0,11848,-46.7,-50.2,68,0.18,135,10,348.6,349.3,348.6
218.0,11938,-47.3,-53.3,50,0.12,134,11,349.0,349.6,349.0
209.0,12215,-49.7,-53.2,66,0.13,129,12,349.5,350.1,349.5
200.0,12500,-52.3,-57.3,55,0.08,125,14,349.8,350.2,349.8
190.0,12830,-55.3,-62.3,41,0.05,110,14,350.1,350.4,350.1
184.0,13034,-56.9,-65.4,33,0.03,100,14,350.7,350.8,350.7
182.0,13103,-57.5,-66.5,31,0.03,104,12,350.9,351.0,350.9
179.0,13206,-58.3,-67.7,29,0.02,110,10,351.3,351.4,351.3
