data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-04 12:00:00,1003.0,84,26.2,23.3,84,18.34,40,4,299.1,352.8,302.4,NaN
2026-02-04 12:00:00,1000.0,114,26.0,23.0,84,18.05,40,4,299.1,352.0,302.4,NaN
2026-02-04 12:00:00,992.0,185,26.1,22.5,81,17.67,20,11,299.9,351.9,303.1,NaN
2026-02-04 12:00:00,980.0,293,26.2,21.8,77,17.10,17,14,301.1,351.6,304.2,NaN
2026-02-04 12:00:00,973.0,356,25.7,21.7,78,17.10,15,16,301.2,351.8,304.3,NaN
2026-02-04 12:00:00,955.0,520,24.5,21.4,83,17.12,15,12,301.6,352.2,304.7,NaN
2026-02-04 12:00:00,925.0,801,22.4,20.9,91,17.14,40,8,302.2,353.1,305.3,NaN
2026-02-04 12:00:00,909.0,953,21.0,20.7,98,17.23,58,9,302.3,353.4,305.4,NaN
2026-02-04 12:00:00,889.0,1146,20.1,19.1,94,15.96,80,10,303.3,350.9,306.2,NaN
2026-02-04 12:00:00,850.0,1534,18.4,16.0,86,13.64,80,16,305.4,346.5,307.9,NaN
2026-02-04 12:00:00,799.0,2063,14.8,14.2,96,12.91,83,17,307.0,346.1,309.4,NaN
2026-02-04 12:00:00,751.0,2586,13.3,7.9,70,8.99,85,17,310.9,338.8,312.5,NaN
2026-02-04 12:00:00,723.0,2907,12.3,4.1,57,7.13,65,15,313.2,335.8,314.6,NaN
2026-02-04 12:00:00,707.0,3096,11.8,1.8,50,6.20,75,14,314.6,334.5,315.8,NaN
2026-02-04 12:00:00,700.0,3179,11.4,0.4,47,5.66,80,14,315.1,333.3,316.1,NaN
2026-02-04 12:00:00,696.0,3227,11.1,-1.4,42,4.97,80,14,315.3,331.4,316.2,NaN
2026-02-04 12:00:00,685.0,3360,10.4,-6.6,30,3.42,80,14,315.9,327.2,316.6,NaN
2026-02-04 12:00:00,638.0,3948,6.4,-12.6,24,2.29,80,15,317.9,325.6,318.3,NaN
2026-02-04 12:00:00,633.0,4012,5.8,-5.2,45,4.12,80,15,317.9,331.5,318.7,NaN
2026-02-04 12:00:00,622.0,4154,4.7,-5.1,49,4.22,80,15,318.2,332.1,319.0,NaN
2026-02-04 12:00:00,587.0,4622,1.0,-4.9,65,4.54,40,16,319.2,334.1,320.1,NaN
2026-02-04 12:00:00,563.0,4960,-1.7,-4.8,79,4.78,54,12,319.9,335.6,320.8,NaN
2026-02-04 12:00:00,535.0,5364,-3.5,-5.2,88,4.88,70,6,322.4,338.6,323.4,NaN
2026-02-04 12:00:00,503.0,5853,-5.7,-5.7,100,5.00,138,10,325.5,342.3,326.4,NaN
2026-02-04 12:00:00,500.0,5900,-5.5,-5.5,100,5.11,145,10,326.3,343.5,327.3,NaN
2026-02-04 12:00:00,498.0,5932,-5.3,-5.3,100,5.21,155,13,326.9,344.4,327.9,NaN
2026-02-04 12:00:00,455.0,6636,-9.7,-9.8,99,4.02,145,15,329.9,343.8,330.7,NaN
2026-02-04 12:00:00,439.0,6913,-11.3,-14.7,76,2.80,142,16,331.3,341.2,331.9,NaN
2026-02-04 12:00:00,432.0,7035,-12.3,-15.1,80,2.76,140,16,331.6,341.4,332.1,NaN
2026-02-04 12:00:00,400.0,7620,-16.9,-16.9,100,2.56,155,19,332.9,342.1,333.4,NaN
2026-02-04 12:00:00,396.0,7695,-16.5,-18.9,81,2.18,160,22,334.4,342.3,334.9,NaN
2026-02-04 12:00:00,392.0,7772,-16.1,-21.0,66,1.84,157,21,335.9,342.7,336.3,NaN
2026-02-04 12:00:00,388.0,7849,-16.1,-23.1,55,1.54,153,20,336.9,342.6,337.2,NaN
2026-02-04 12:00:00,373.0,8144,-17.4,-26.5,45,1.18,140,16,338.9,343.4,339.2,NaN
2026-02-04 12:00:00,366.0,8286,-18.1,-28.1,41,1.04,154,15,339.9,343.9,340.1,NaN
2026-02-04 12:00:00,356.0,8487,-19.9,-28.9,45,0.99,175,13,340.1,343.9,340.3,NaN
2026-02-04 12:00:00,342.0,8778,-22.6,-30.1,50,0.92,145,4,340.4,344.0,340.6,NaN
2026-02-04 12:00:00,309.0,9515,-29.3,-33.1,70,0.76,140,10,341.0,344.0,341.2,NaN
2026-02-04 12:00:00,300.0,9730,-31.3,-34.0,77,0.72,155,14,341.1,344.0,341.3,NaN
2026-02-04 12:00:00,286.0,10062,-33.9,-38.3,65,0.49,170,15,342.1,344.1,342.2,NaN
2026-02-04 12:00:00,280.0,10209,-35.0,-40.2,59,0.41,150,18,342.5,344.2,342.6,NaN
2026-02-04 12:00:00,269.0,10487,-37.2,-43.8,51,0.29,150,20,343.3,344.6,343.4,NaN
2026-02-04 12:00:00,258.0,10776,-39.5,-47.5,42,0.20,156,16,344.1,345.0,344.1,NaN
2026-02-04 12:00:00,251.0,10963,-41.2,-48.4,46,0.19,160,14,344.2,345.0,344.2,NaN
2026-02-04 12:00:00,250.0,10990,-41.5,-48.5,47,0.19,160,14,344.2,345.0,344.3,NaN
2026-02-04 12:00:00,232.0,11492,-46.1,-51.1,57,0.15,140,13,344.7,345.3,344.7,NaN
2026-02-04 12:00:00,225.0,11694,-47.8,-54.9,44,0.10,145,16,345.1,345.5,345.1,NaN
2026-02-04 12:00:00,219.0,11873,-49.3,-58.3,34,0.07,130,17,345.5,345.8,345.5,NaN
2026-02-04 12:00:00,217.0,11932,-49.9,-58.0,38,0.07,125,17,345.4,345.7,345.4,NaN
2026-02-04 12:00:00,210.0,12146,-52.1,-56.7,57,0.08,123,21,345.3,345.6,345.3,NaN
2026-02-04 12:00:00,200.0,12460,-54.5,-63.5,32,0.04,120,26,346.3,346.5,346.3,NaN
2026-02-04 12:00:00,198.0,12524,-54.9,-63.9,32,0.04,119,27,346.7,346.8,346.7,NaN
2026-02-04 12:00:00,182.0,13056,-59.3,-63.1,61,0.04,113,33,347.9,348.1,348.0,NaN
2026-02-04 12:00:00,176.0,13265,-60.5,-68.5,34,0.02,111,36,349.3,349.4,349.3,NaN
2026-02-04 12:00:00,163.0,13736,-64.6,-69.7,49,0.02,105,42,350.2,350.3,350.2,NaN
2026-02-04 12:00:00,159.0,13888,-65.9,-70.1,56,0.02,99,42,350.5,350.6,350.5,NaN
2026-02-04 12:00:00,150.0,14240,-67.5,-76.5,27,0.01,85,42,353.6,353.7,353.6,NaN
2026-02-04 12:00:00,148.0,14320,-67.8,-77.3,25,0.01,80,46,354.4,354.5,354.4,NaN
2026-02-04 12:00:00,139.0,14695,-69.3,-81.3,16,0.00,77,38,358.2,358.2,358.2,NaN
2026-02-04 12:00:00,133.0,14950,-71.1,-82.4,17,0.00,75,32,359.5,359.6,359.5,NaN
2026-02-04 12:00:00,119.0,15591,-75.7,-85.2,21,0.00,100,18,362.7,362.7,362.7,NaN
2026-02-04 12:00:00,102.0,16479,-82.1,-89.1,30,0.00,138,26,366.8,366.8,366.8,NaN
2026-02-04 12:00:00,101.0,16534,-80.9,-87.9,30,0.00,140,27,370.1,370.1,370.1,NaN
2026-02-04 12:00:00,100.0,16590,-81.1,-88.1,30,0.00,145,24,370.8,370.8,370.8,NaN
2026-02-04 12:00:00,96.0,16817,-82.4,-89.0,32,0.00,160,20,372.5,372.5,372.5,NaN
2026-02-04 12:00:00,90.0,17176,-84.6,-90.4,35,0.00,145,19,375.2,375.2,375.2,NaN
2026-02-04 12:00:00,83.0,17627,-87.2,-92.2,40,0.00,115,26,378.6,378.6,378.6,NaN
2026-02-04 12:00:00,82.8,17640,-87.3,-92.3,40,0.00,115,26,378.7,378.7,378.7,NaN
2026-02-04 12:00:00,81.0,17761,-86.3,-93.3,28,0.00,105,30,383.1,383.1,383.1,NaN
2026-02-04 12:00:00,80.0,17830,-83.5,-91.6,24,0.00,100,32,390.3,390.3,390.3,NaN
2026-02-04 12:00:00,78.4,17944,-78.9,-88.9,18,0.00,92,27,402.0,402.1,402.0,NaN
2026-02-04 12:00:00,78.0,17973,-79.0,-89.0,18,0.00,90,26,402.5,402.5,402.5,NaN
2026-02-04 12:00:00,71.0,18509,-80.0,-90.0,18,0.00,350,17,411.4,411.4,411.4,NaN
2026-02-04 12:00:00,70.0,18590,-80.1,-90.1,18,0.00,350,17,412.7,412.7,412.7,NaN
2026-02-04 12:00:00,69.0,18671,-80.2,-90.2,18,0.00,345,19,414.2,414.2,414.2,NaN
