data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-07 00:00:00,1000.0,84,24.6,23.4,93,18.51,50,2,297.8,351.6,301.0,NaN
2026-03-07 00:00:00,950.0,534,23.1,19.7,81,15.47,60,12,300.7,346.3,303.5,NaN
2026-03-07 00:00:00,925.0,768,22.4,17.8,75,14.06,40,15,302.2,344.0,304.8,NaN
2026-03-07 00:00:00,924.0,777,22.4,17.7,75,14.01,40,15,302.3,343.9,304.8,NaN
2026-03-07 00:00:00,904.0,968,21.8,16.1,70,12.89,60,16,303.6,342.1,305.9,NaN
2026-03-07 00:00:00,898.0,1026,21.6,15.6,69,12.56,59,16,303.9,341.6,306.2,NaN
2026-03-07 00:00:00,850.0,1501,19.0,14.2,74,12.12,55,18,306.0,342.7,308.3,NaN
2026-03-07 00:00:00,775.0,2290,14.2,11.8,85,11.34,55,22,309.1,343.8,311.2,NaN
2026-03-07 00:00:00,751.0,2556,13.5,9.7,77,10.13,55,24,311.1,342.5,313.0,NaN
2026-03-07 00:00:00,733.0,2761,13.0,8.0,72,9.26,55,21,312.7,341.7,314.4,NaN
2026-03-07 00:00:00,705.0,3088,12.2,5.2,62,7.93,55,17,315.3,340.5,316.8,NaN
2026-03-07 00:00:00,700.0,3148,12.0,5.0,62,7.87,55,16,315.7,340.8,317.2,NaN
2026-03-07 00:00:00,579.0,4712,1.8,0.6,91,6.94,45,18,321.5,344.1,322.8,NaN
2026-03-07 00:00:00,570.0,4842,1.0,0.2,94,6.86,43,15,321.9,344.4,323.2,NaN
2026-03-07 00:00:00,539.0,5289,-1.1,-2.9,88,5.78,35,4,324.6,343.9,325.7,NaN
2026-03-07 00:00:00,500.0,5890,-3.9,-7.0,79,4.55,25,3,328.2,343.8,329.1,NaN
2026-03-07 00:00:00,486.0,6113,-5.3,-9.2,74,3.94,6,3,329.2,342.8,330.0,NaN
2026-03-07 00:00:00,462.0,6508,-8.3,-9.4,92,4.08,332,3,330.2,344.3,331.1,NaN
2026-03-07 00:00:00,454.0,6643,-8.7,-13.3,69,3.04,320,3,331.4,342.1,332.0,NaN
2026-03-07 00:00:00,440.0,6884,-10.5,-12.3,87,3.40,299,3,332.1,344.0,332.8,NaN
2026-03-07 00:00:00,430.0,7060,-10.9,-16.9,61,2.38,284,3,333.8,342.3,334.2,NaN
2026-03-07 00:00:00,405.0,7516,-14.7,-16.1,89,2.70,243,3,334.6,344.3,335.1,NaN
2026-03-07 00:00:00,400.0,7610,-14.7,-16.2,88,2.72,235,3,335.8,345.6,336.4,NaN
2026-03-07 00:00:00,373.0,8136,-17.5,-19.7,83,2.16,20,2,338.8,346.8,339.3,NaN
2026-03-07 00:00:00,366.0,8278,-18.3,-20.7,81,2.02,29,3,339.6,347.1,340.1,NaN
2026-03-07 00:00:00,343.0,8759,-22.3,-23.2,92,1.73,61,8,340.6,347.1,340.9,NaN
2026-03-07 00:00:00,333.0,8975,-23.8,-26.2,80,1.36,75,10,341.4,346.6,341.7,NaN
2026-03-07 00:00:00,319.0,9288,-25.9,-30.6,65,0.94,120,11,342.7,346.4,342.9,NaN
2026-03-07 00:00:00,310.0,9495,-27.2,-31.0,71,0.94,110,11,343.6,347.3,343.8,NaN
2026-03-07 00:00:00,307.0,9565,-27.7,-31.1,73,0.93,118,11,343.9,347.6,344.1,NaN
2026-03-07 00:00:00,301.0,9706,-28.9,-32.3,72,0.85,135,11,344.2,347.6,344.4,NaN
2026-03-07 00:00:00,300.0,9730,-29.1,-32.5,72,0.84,135,10,344.2,347.6,344.4,NaN
2026-03-07 00:00:00,287.0,10046,-31.7,-36.7,61,0.58,109,11,344.9,347.3,345.0,NaN
2026-03-07 00:00:00,280.0,10221,-33.1,-36.1,75,0.63,95,12,345.4,347.9,345.5,NaN
2026-03-07 00:00:00,277.0,10297,-33.7,-35.8,81,0.65,92,12,345.6,348.2,345.7,NaN
2026-03-07 00:00:00,250.0,11010,-39.7,-42.1,78,0.38,65,8,346.9,348.5,347.0,NaN
2026-03-07 00:00:00,242.0,11230,-41.7,-43.6,82,0.33,80,11,347.2,348.6,347.3,NaN
2026-03-07 00:00:00,236.0,11400,-43.2,-44.7,85,0.30,55,10,347.4,348.7,347.5,NaN
2026-03-07 00:00:00,234.0,11458,-43.7,-45.1,86,0.29,63,10,347.5,348.7,347.5,NaN
2026-03-07 00:00:00,226.0,11687,-45.7,-47.9,78,0.22,95,10,347.9,348.8,347.9,NaN
2026-03-07 00:00:00,203.0,12394,-51.9,-56.5,58,0.09,110,15,348.9,349.3,348.9,NaN
2026-03-07 00:00:00,200.0,12490,-52.9,-60.9,37,0.05,100,14,348.8,349.1,348.9,NaN
2026-03-07 00:00:00,196.0,12620,-53.9,-62.9,32,0.04,100,14,349.3,349.5,349.3,NaN
2026-03-07 00:00:00,187.0,12920,-56.5,-64.5,36,0.03,114,12,349.8,349.9,349.8,NaN
2026-03-07 00:00:00,183.0,13056,-57.8,-63.2,49,0.04,120,11,349.9,350.1,349.9,NaN
2026-03-07 00:00:00,177.0,13266,-59.7,-61.3,81,0.06,109,11,350.1,350.3,350.1,NaN
2026-03-07 00:00:00,175.0,13337,-60.3,-62.6,74,0.05,105,11,350.3,350.5,350.3,NaN
2026-03-07 00:00:00,170.0,13517,-61.7,-66.0,56,0.03,111,16,350.8,351.0,350.8,NaN
2026-03-07 00:00:00,160.0,13887,-64.8,-69.4,53,0.02,125,25,351.7,351.8,351.7,NaN
2026-03-07 00:00:00,150.0,14280,-68.1,-73.1,49,0.01,115,27,352.6,352.6,352.6,NaN
2026-03-07 00:00:00,138.0,14776,-71.5,-79.5,30,0.01,118,34,355.1,355.1,355.1,NaN
2026-03-07 00:00:00,132.0,15035,-73.5,-80.7,32,0.00,120,38,356.2,356.2,356.2,NaN
2026-03-07 00:00:00,122.0,15494,-76.9,-82.9,38,0.00,102,30,358.0,358.0,358.0,NaN
2026-03-07 00:00:00,116.0,15780,-78.3,-84.0,39,0.00,90,25,360.5,360.5,360.5,NaN
2026-03-07 00:00:00,104.0,16399,-81.5,-86.5,42,0.00,345,13,366.0,366.0,366.0,NaN
2026-03-07 00:00:00,101.0,16564,-82.3,-87.2,43,0.00,335,18,367.4,367.4,367.4,NaN
2026-03-07 00:00:00,100.0,16620,-82.5,-87.4,43,0.00,335,18,368.1,368.1,368.1,NaN
2026-03-07 00:00:00,96.1,16841,-83.9,-88.8,43,0.00,330,13,369.6,369.6,369.6,NaN
2026-03-07 00:00:00,92.5,17054,-81.5,-87.5,36,0.00,320,12,378.4,378.4,378.4,NaN
2026-03-07 00:00:00,89.0,17269,-81.9,-87.9,36,0.00,310,11,381.7,381.7,381.7,NaN
2026-03-07 00:00:00,85.0,17525,-82.5,-88.5,36,0.00,235,3,385.6,385.7,385.6,NaN
2026-03-07 00:00:00,81.0,17794,-83.0,-89.0,35,0.00,170,10,389.9,389.9,389.9,NaN
2026-03-07 00:00:00,78.0,18005,-83.5,-89.5,35,0.00,145,14,393.2,393.2,393.2,NaN
2026-03-07 00:00:00,76.3,18127,-83.7,-89.7,35,0.00,145,19,395.2,395.2,395.2,NaN
2026-03-07 00:00:00,74.0,18299,-82.3,-89.1,31,0.00,145,26,401.5,401.5,401.5,NaN
2026-03-07 00:00:00,71.0,18531,-80.5,-88.2,27,0.00,120,27,410.1,410.1,410.1,NaN
2026-03-07 00:00:00,70.0,18610,-79.9,-87.9,26,0.00,100,25,413.1,413.1,413.1,NaN
2026-03-07 00:00:00,66.0,18946,-76.6,-86.8,19,0.00,80,12,427.3,427.3,427.3,NaN
2026-03-07 00:00:00,64.7,19060,-75.5,-86.5,17,0.00,70,10,432.1,432.2,432.1,NaN
2026-03-07 00:00:00,60.0,19494,-77.0,-88.0,16,0.00,30,3,438.3,438.4,438.3,NaN
2026-03-07 00:00:00,57.7,19719,-77.7,-88.7,16,0.00,73,8,441.6,441.6,441.6,NaN
2026-03-07 00:00:00,55.0,19997,-75.7,-88.4,12,0.00,125,14,452.2,452.3,452.2,NaN
2026-03-07 00:00:00,52.0,20322,-73.3,-88.0,9,0.00,95,31,465.0,465.0,465.0,NaN
2026-03-07 00:00:00,50.0,20550,-71.7,-87.7,8,0.00,75,32,474.1,474.1,474.1,NaN
2026-03-07 00:00:00,49.4,20621,-70.1,-87.1,7,0.00,66,30,479.5,479.6,479.5,NaN
2026-03-07 00:00:00,49.0,20670,-70.2,-87.2,7,0.00,60,28,480.4,480.4,480.4,NaN
2026-03-07 00:00:00,48.0,20792,-70.5,-87.5,7,0.00,60,27,482.4,482.5,482.4,NaN
2026-03-07 00:00:00,46.0,21043,-71.2,-88.2,7,0.00,70,25,486.8,486.8,486.8,NaN
2026-03-07 00:00:00,45.0,21173,-71.5,-88.5,6,0.00,95,32,489.0,489.1,489.0,NaN
2026-03-07 00:00:00,43.9,21320,-71.9,-88.9,6,0.00,93,35,491.6,491.6,491.6,NaN
2026-03-07 00:00:00,38.0,22179,-67.8,-88.7,4,0.00,80,55,522.8,522.8,522.8,NaN
2026-03-07 00:00:00,37.9,22195,-67.7,-88.7,4,0.00,NaN,NaN,523.4,523.4,523.4,NaN
