data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-28 00:00:00,1001.0,84,26.6,22.5,78,17.48,80,4,299.7,351.0,302.8,NaN
2026-02-28 00:00:00,1000.0,97,26.6,22.5,78,17.50,85,7,299.8,351.1,302.9,NaN
2026-02-28 00:00:00,964.0,420,24.5,21.3,82,16.83,90,14,300.8,350.4,303.8,NaN
2026-02-28 00:00:00,925.0,784,22.2,19.9,87,16.09,65,16,302.0,349.7,304.9,NaN
2026-02-28 00:00:00,918.0,850,21.9,19.4,86,15.74,55,17,302.3,349.0,305.2,NaN
2026-02-28 00:00:00,864.0,1374,19.3,15.7,80,13.16,20,13,304.9,344.5,307.3,NaN
2026-02-28 00:00:00,850.0,1515,18.6,14.7,78,12.52,25,12,305.6,343.4,307.9,NaN
2026-02-28 00:00:00,724.0,2875,10.2,9.7,97,10.54,240,5,310.7,343.3,312.7,NaN
2026-02-28 00:00:00,713.0,3003,11.0,8.3,83,9.73,227,4,313.0,343.4,314.8,NaN
2026-02-28 00:00:00,700.0,3157,10.2,7.3,82,9.25,210,3,313.8,342.8,315.5,NaN
2026-02-28 00:00:00,690.0,3277,9.8,5.3,74,8.16,211,3,314.6,340.4,316.1,NaN
2026-02-28 00:00:00,606.0,4346,3.5,1.6,87,7.14,220,1,319.2,342.3,320.6,NaN
2026-02-28 00:00:00,602.0,4400,3.2,1.4,88,7.09,217,1,319.5,342.4,320.8,NaN
2026-02-28 00:00:00,570.0,4842,1.0,-8.0,51,3.69,195,2,321.9,334.3,322.6,NaN
2026-02-28 00:00:00,561.0,4970,0.4,-2.9,79,5.54,188,2,322.7,341.0,323.8,NaN
2026-02-28 00:00:00,548.0,5159,0.0,-4.8,70,4.91,178,3,324.4,340.8,325.3,NaN
2026-02-28 00:00:00,544.0,5218,0.4,-6.6,59,4.31,175,3,325.5,340.1,326.4,NaN
2026-02-28 00:00:00,500.0,5890,-3.9,-9.9,63,3.63,140,4,328.2,340.7,328.9,NaN
2026-02-28 00:00:00,452.0,6677,-10.1,-12.0,86,3.39,90,4,330.0,341.9,330.7,NaN
2026-02-28 00:00:00,437.0,6937,-11.3,-15.8,69,2.57,74,3,331.7,340.9,332.2,NaN
2026-02-28 00:00:00,422.0,7204,-12.5,-35.5,13,0.44,56,3,333.5,335.3,333.6,NaN
2026-02-28 00:00:00,400.0,7610,-15.7,-36.7,15,0.41,30,3,334.5,336.1,334.6,NaN
2026-02-28 00:00:00,396.0,7686,-16.3,-36.3,16,0.44,34,4,334.7,336.4,334.8,NaN
2026-02-28 00:00:00,389.0,7820,-17.3,-26.3,45,1.15,41,5,335.1,339.4,335.3,NaN
2026-02-28 00:00:00,382.0,7956,-17.1,-53.1,3,0.07,48,7,337.1,337.4,337.1,NaN
2026-02-28 00:00:00,365.0,8296,-19.5,-47.5,6,0.14,65,10,338.3,338.9,338.3,NaN
2026-02-28 00:00:00,342.0,8775,-23.7,-49.7,7,0.12,25,11,338.9,339.5,339.0,NaN
2026-02-28 00:00:00,332.0,8990,-25.0,-42.1,19,0.29,55,7,340.0,341.2,340.1,NaN
2026-02-28 00:00:00,326.0,9123,-25.9,-37.5,33,0.47,80,10,340.6,342.5,340.7,NaN
2026-02-28 00:00:00,320.0,9258,-26.7,-32.7,57,0.77,83,10,341.3,344.3,341.4,NaN
2026-02-28 00:00:00,317.0,9325,-27.3,-33.0,58,0.75,85,10,341.4,344.4,341.6,NaN
2026-02-28 00:00:00,302.0,9672,-30.3,-34.6,66,0.68,135,14,341.9,344.6,342.1,NaN
2026-02-28 00:00:00,300.0,9720,-30.7,-34.8,67,0.67,135,14,342.0,344.6,342.1,NaN
2026-02-28 00:00:00,293.0,9888,-32.1,-34.8,77,0.68,138,16,342.3,345.0,342.5,NaN
2026-02-28 00:00:00,270.0,10455,-36.7,-40.5,68,0.42,150,22,343.7,345.4,343.8,NaN
2026-02-28 00:00:00,257.0,10798,-39.5,-43.9,63,0.30,130,24,344.4,345.7,344.5,NaN
2026-02-28 00:00:00,250.0,10990,-41.1,-45.8,60,0.25,135,21,344.8,345.9,344.9,NaN
2026-02-28 00:00:00,246.0,11099,-42.0,-47.1,57,0.22,140,22,345.1,346.0,345.1,NaN
2026-02-28 00:00:00,237.0,11349,-44.1,-50.1,51,0.17,131,25,345.6,346.3,345.6,NaN
2026-02-28 00:00:00,222.0,11783,-47.9,-52.0,62,0.14,115,31,346.3,346.9,346.3,NaN
2026-02-28 00:00:00,206.0,12270,-52.1,-61.1,33,0.05,115,30,347.2,347.4,347.2,NaN
2026-02-28 00:00:00,200.0,12460,-53.5,-66.5,19,0.02,115,30,347.9,348.0,347.9,NaN
2026-02-28 00:00:00,194.0,12655,-54.4,-68.8,15,0.02,110,32,349.5,349.6,349.6,NaN
2026-02-28 00:00:00,180.0,13135,-56.5,-74.5,9,0.01,83,22,353.6,353.7,353.6,NaN
2026-02-28 00:00:00,175.0,13314,-57.7,-74.7,10,0.01,73,19,354.5,354.6,354.5,NaN
2026-02-28 00:00:00,164.0,13717,-61.3,-75.4,14,0.01,50,10,355.1,355.1,355.1,NaN
2026-02-28 00:00:00,151.0,14229,-65.9,-76.2,22,0.01,0,13,355.6,355.7,355.6,NaN
2026-02-28 00:00:00,150.0,14270,-66.3,-76.3,23,0.01,0,13,355.7,355.7,355.7,NaN
2026-02-28 00:00:00,146.0,14431,-67.8,-77.6,24,0.01,0,13,355.9,355.9,355.9,NaN
2026-02-28 00:00:00,133.0,14985,-72.9,-82.0,24,0.00,300,11,356.4,356.4,356.4,NaN
2026-02-28 00:00:00,132.0,15030,-73.3,-82.3,24,0.00,303,11,356.4,356.4,356.4,NaN
2026-02-28 00:00:00,125.0,15342,-74.8,-83.8,24,0.00,325,10,359.2,359.2,359.2,NaN
2026-02-28 00:00:00,122.0,15481,-75.5,-84.5,23,0.00,270,11,360.5,360.5,360.5,NaN
2026-02-28 00:00:00,114.0,15870,-77.5,-86.5,23,0.00,235,19,363.9,363.9,363.9,NaN
2026-02-28 00:00:00,101.0,16564,-80.9,-89.9,21,0.00,225,7,370.1,370.1,370.1,NaN
