PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1002.0,84,23.2,22.5,96,17.46,340,6,296.2,346.7,299.3
1000.0,101,23.0,22.3,96,17.28,355,10,296.1,346.1,299.2
980.0,277,22.5,21.5,94,16.75,5,16,297.3,346.0,300.3
925.0,779,21.0,19.1,89,15.29,5,20,300.8,345.9,303.5
922.0,807,21.0,19.0,88,15.24,5,20,301.1,346.1,303.8
875.0,1260,17.8,17.2,96,14.32,358,21,302.3,344.8,304.9
850.0,1509,16.8,16.6,99,14.18,355,21,303.7,346.1,306.3
825.0,1761,15.7,15.5,99,13.63,355,25,305.2,346.1,307.7
761.0,2444,12.7,12.6,99,12.20,10,20,309.1,346.4,311.3
740.0,2680,11.7,11.6,100,11.73,355,22,310.4,346.5,312.6
700.0,3150,9.6,9.6,100,10.84,15,22,313.1,346.9,315.1
674.0,3463,8.3,8.2,99,10.23,15,15,315.1,347.2,317.0
656.0,3687,7.4,7.2,99,9.81,12,12,316.5,347.5,318.3
579.0,4696,2.4,2.3,99,7.85,0,0,322.1,347.7,323.6
500.0,5880,-3.5,-3.5,100,5.95,270,3,328.7,348.8,329.9
471.0,6352,-5.7,-5.7,100,5.34,265,5,331.6,350.0,332.7
416.0,7318,-11.3,-12.1,94,3.65,255,10,336.4,349.4,337.1
409.0,7450,-12.1,-13.0,93,3.46,261,11,337.0,349.4,337.7
405.0,7525,-12.9,-13.8,93,3.27,265,11,336.9,348.6,337.6
400.0,7620,-13.9,-14.8,93,3.05,260,14,336.8,347.8,337.5
396.0,7696,-14.6,-15.7,91,2.86,245,16,336.9,347.2,337.5
383.0,7948,-16.8,-18.6,86,2.31,265,17,337.2,345.7,337.7
380.0,8007,-17.3,-19.3,84,2.20,256,17,337.3,345.4,337.8
372.0,8165,-18.2,-20.1,85,2.09,230,17,338.2,345.9,338.6
341.0,8810,-21.9,-23.6,86,1.68,250,12,341.7,348.0,342.1
336.0,8919,-22.5,-24.2,86,1.62,243,14,342.3,348.4,342.6
317.0,9342,-25.7,-28.6,77,1.15,215,21,343.6,348.1,343.8
309.0,9528,-27.1,-30.5,73,0.98,225,14,344.1,348.0,344.4
304.0,9645,-28.5,-40.5,31,0.37,222,16,343.8,345.3,343.9
300.0,9740,-28.9,-39.9,34,0.40,220,18,344.5,346.2,344.6
272.0,10435,-34.1,-43.1,40,0.31,201,12,346.8,348.1,346.8
270.0,10486,-34.7,-50.7,18,0.14,200,12,346.6,347.2,346.7
252.0,10965,-38.3,-48.3,34,0.19,218,16,348.2,349.0,348.2
250.0,11020,-38.9,-49.9,30,0.16,220,16,348.1,348.8,348.1
242.0,11242,-40.9,-53.7,24,0.11,210,17,348.4,348.9,348.4
237.0,11385,-42.1,-56.1,20,0.08,215,18,348.6,349.0,348.6
233.0,11500,-43.3,-48.3,58,0.21,219,19,348.5,349.4,348.5
227.0,11672,-44.8,-49.6,59,0.18,225,20,348.8,349.6,348.8
221.0,11850,-46.4,-50.9,60,0.16,205,17,349.0,349.7,349.0
213.0,12093,-48.6,-52.6,63,0.14,215,16,349.3,349.9,349.4
204.0,12379,-51.1,-54.7,65,0.11,200,17,349.6,350.1,349.7
200.0,12510,-52.3,-55.7,67,0.10,200,17,349.8,350.2,349.8
198.0,12575,-53.1,-56.2,69,0.10,203,17,349.5,349.9,349.5
193.0,12736,-54.6,-57.8,67,0.08,210,17,349.7,350.1,349.7
181.0,13141,-58.3,-61.9,64,0.05,205,12,350.1,350.3,350.1
172.0,13463,-61.3,-65.1,60,0.04,230,7,350.3,350.5,350.3
166.0,13680,-62.7,-67.8,50,0.02,245,13,351.5,351.7,351.5
160.0,13905,-64.2,-70.7,40,0.02,245,14,352.8,352.9,352.8
155.0,14100,-65.4,-73.2,33,0.01,270,11,353.9,353.9,353.9
150.0,14300,-66.7,-75.7,27,0.01,320,15,355.0,355.0,355.0
149.0,14340,-66.9,-75.9,27,0.01,319,16,355.3,355.4,355.3
132.0,15057,-73.0,-80.6,31,0.00,310,27,357.0,357.0,357.0
125.0,15379,-75.7,-82.7,33,0.00,320,32,357.7,357.7,357.7
115.0,15851,-79.1,-85.1,37,0.00,315,19,360.1,360.1,360.1
109.0,16154,-81.2,-86.6,40,0.00,260,12,361.5,361.6,361.5
101.0,16585,-84.3,-88.8,46,0.00,220,10,363.6,363.6,363.6
100.0,16640,-83.9,-88.8,43,0.00,195,13,365.4,365.4,365.4
96.4,16845,-81.1,-88.1,30,0.00,159,16,374.7,374.7,374.7
96.0,16869,-81.2,-88.2,31,0.00,155,16,374.9,374.9,374.9
79.3,17928,-87.9,-92.3,45,0.00,330,7,382.2,382.2,382.2
73.4,18349,-88.1,-92.5,45,0.00,185,2,390.3,390.3,390.3
73.0,18379,-87.6,-92.2,43,0.00,175,2,391.9,391.9,391.9
71.0,18532,-85.2,-90.7,37,0.00,125,16,400.3,400.3,400.3
70.0,18610,-83.9,-89.9,35,0.00,125,16,404.6,404.6,404.6
67.0,18860,-82.0,-89.5,27,0.00,100,26,413.9,413.9,413.9
64.0,19121,-79.9,-89.0,21,0.00,95,36,423.8,423.8,423.8
58.0,19682,-75.5,-88.0,13,0.00,75,15,445.7,445.8,445.7
53.9,20100,-72.3,-87.3,9,0.00,82,25,462.7,462.7,462.7
50.0,20540,-73.7,-88.7,9,0.00,90,36,469.4,469.4,469.4
48.0,20779,-72.7,-87.7,9,0.00,NaN,NaN,477.3,477.3,477.3
