PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1003.0,84,29.6,23.6,70,18.68,60,2,302.5,358.1,305.9
1000.0,111,27.4,23.8,81,18.98,60,2,300.6,356.5,303.9
997.0,138,25.2,23.7,91,18.92,66,4,298.6,353.9,302.0
985.0,244,24.8,23.1,91,18.49,90,12,299.2,353.4,302.5
972.0,361,24.2,22.5,90,18.03,95,18,299.8,352.8,303.1
925.0,796,22.4,20.2,87,16.40,90,18,302.2,350.9,305.2
893.0,1102,20.5,18.9,91,15.65,75,19,303.3,349.9,306.1
850.0,1530,17.8,17.1,96,14.65,70,23,304.8,348.7,307.4
799.0,2054,14.6,13.8,95,12.57,80,25,306.8,344.9,309.1
737.0,2738,10.4,9.5,94,10.21,98,18,309.4,340.8,311.3
700.0,3167,8.6,5.9,83,8.39,110,14,312.0,338.2,313.6
691.0,3274,8.1,3.9,75,7.36,110,13,312.6,335.8,314.0
675.0,3468,7.2,0.2,61,5.79,101,12,313.7,332.1,314.8
628.0,4061,4.4,2.6,88,7.40,73,9,317.0,340.7,318.4
547.0,5177,-1.5,-2.6,92,5.81,20,2,322.8,342.0,323.9
520.0,5579,-3.6,-5.0,90,5.09,0,0,324.9,341.9,325.9
500.0,5890,-5.3,-6.9,89,4.59,250,2,326.5,342.1,327.4
487.0,6097,-6.1,-8.4,84,4.19,237,2,328.0,342.3,328.8
400.0,7610,-15.7,-18.1,82,2.31,140,3,334.5,342.9,335.0
395.0,7705,-16.3,-18.4,84,2.28,142,4,334.9,343.2,335.4
372.0,8155,-18.7,-24.7,59,1.40,150,6,337.5,342.8,337.8
336.0,8900,-24.8,-29.1,67,1.03,165,10,339.1,343.1,339.3
330.0,9032,-25.9,-29.9,69,0.98,175,12,339.4,343.1,339.6
324.0,9166,-27.0,-30.7,71,0.92,160,13,339.6,343.2,339.8
315.0,9372,-28.7,-31.9,74,0.84,156,10,340.0,343.3,340.2
300.0,9720,-31.3,-35.9,64,0.60,150,6,341.1,343.5,341.3
