data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-04 00:00:00,1000.0,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-04 00:00:00,997.0,84,27.6,22.6,74,17.66,80,2,301.0,353.2,304.2,NaN
2026-03-04 00:00:00,991.0,138,31.2,21.2,55,16.28,76,3,305.1,354.1,308.1,NaN
2026-03-04 00:00:00,984.0,202,30.8,20.8,55,15.99,72,4,305.4,353.5,308.3,NaN
2026-03-04 00:00:00,932.0,688,26.9,19.6,64,15.63,40,11,306.2,353.4,309.1,NaN
2026-03-04 00:00:00,925.0,756,26.4,19.4,65,15.58,40,11,306.3,353.4,309.1,NaN
2026-03-04 00:00:00,850.0,1496,19.4,17.8,90,15.33,35,10,306.4,352.8,309.3,NaN
2026-03-04 00:00:00,845.0,1547,19.0,17.5,91,15.13,35,10,306.6,352.3,309.3,NaN
2026-03-04 00:00:00,827.0,1732,18.0,16.1,89,14.16,20,12,307.4,350.3,310.0,NaN
2026-03-04 00:00:00,803.0,1985,16.6,14.3,86,12.92,33,11,308.5,347.9,310.9,NaN
2026-03-04 00:00:00,791.0,2112,15.9,13.3,84,12.28,40,10,309.1,346.7,311.4,NaN
2026-03-04 00:00:00,713.0,2991,11.4,6.4,71,8.53,44,4,313.4,340.2,315.0,NaN
2026-03-04 00:00:00,700.0,3145,10.6,3.6,62,7.13,45,3,314.2,336.8,315.5,NaN
2026-03-04 00:00:00,670.0,3510,9.8,-14.2,17,1.91,49,12,317.2,323.8,317.6,NaN
2026-03-04 00:00:00,664.0,3585,9.4,-15.6,15,1.72,49,13,317.6,323.6,317.9,NaN
2026-03-04 00:00:00,659.0,3647,9.0,-15.3,16,1.78,50,15,317.9,324.0,318.2,NaN
2026-03-04 00:00:00,644.0,3837,7.8,-14.4,19,1.96,60,10,318.6,325.4,319.0,NaN
2026-03-04 00:00:00,629.0,4032,6.6,-13.4,22,2.17,93,6,319.4,326.8,319.8,NaN
2026-03-04 00:00:00,619.0,4163,5.6,-3.4,52,4.83,115,3,319.7,335.6,320.6,NaN
2026-03-04 00:00:00,585.0,4624,3.0,-0.9,76,6.16,155,14,321.9,342.1,323.1,NaN
2026-03-04 00:00:00,570.0,4834,1.6,-2.0,77,5.82,140,16,322.6,341.9,323.8,NaN
2026-03-04 00:00:00,557.0,5020,0.4,-3.0,78,5.53,155,15,323.3,341.7,324.4,NaN
2026-03-04 00:00:00,552.0,5093,-0.1,-3.4,78,5.42,154,15,323.6,341.6,324.6,NaN
2026-03-04 00:00:00,516.0,5630,-3.8,-7.0,78,4.39,145,15,325.5,340.3,326.3,NaN
2026-03-04 00:00:00,507.0,5770,-4.7,-8.0,78,4.15,151,17,325.9,340.1,326.8,NaN
2026-03-04 00:00:00,500.0,5880,-4.9,-10.9,63,3.35,155,19,327.0,338.6,327.7,NaN
2026-03-04 00:00:00,498.0,5912,-5.0,-12.1,57,3.05,160,20,327.3,337.9,327.9,NaN
2026-03-04 00:00:00,493.0,5991,-5.1,-15.1,45,2.41,157,17,328.1,336.6,328.6,NaN
