data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-08 12:00:00,1006.0,84,24.2,21.5,85,16.34,30,6,296.8,344.2,299.7,NaN
2026-02-08 12:00:00,1000.0,132,23.6,21.4,87,16.33,30,6,296.8,344.1,299.6,NaN
2026-02-08 12:00:00,994.0,185,23.2,21.1,88,16.13,37,8,296.9,343.6,299.7,NaN
2026-02-08 12:00:00,976.0,346,25.0,19.0,69,14.38,59,14,300.2,342.6,302.8,NaN
2026-02-08 12:00:00,971.0,391,24.8,18.6,68,14.06,65,16,300.5,342.0,303.0,NaN
2026-02-08 12:00:00,937.0,705,23.6,15.6,61,12.03,54,12,302.3,338.2,304.5,NaN
2026-02-08 12:00:00,925.0,818,23.0,16.0,65,12.51,50,11,302.8,340.1,305.1,NaN
2026-02-08 12:00:00,917.0,893,22.5,15.7,65,12.39,45,11,303.1,340.1,305.3,NaN
2026-02-08 12:00:00,890.0,1151,20.8,14.7,68,11.97,60,13,303.9,339.8,306.1,NaN
2026-02-08 12:00:00,850.0,1549,18.2,13.2,73,11.34,75,10,305.2,339.4,307.3,NaN
2026-02-08 12:00:00,794.0,2126,14.8,11.1,78,10.52,0,0,307.6,339.7,309.5,NaN
2026-02-08 12:00:00,721.0,2943,10.0,8.0,87,9.42,130,4,310.9,340.1,312.6,NaN
2026-02-08 12:00:00,700.0,3189,9.2,5.1,76,7.93,170,5,312.6,337.5,314.1,NaN
2026-02-08 12:00:00,693.0,3272,9.2,3.2,66,7.00,164,5,313.5,335.7,314.9,NaN
2026-02-08 12:00:00,642.0,3901,5.0,2.6,84,7.24,119,7,315.7,338.8,317.1,NaN
2026-02-08 12:00:00,584.0,4667,1.2,-4.8,64,4.61,63,9,319.9,335.2,320.8,NaN
2026-02-08 12:00:00,560.0,5003,-0.7,-4.0,78,5.11,39,10,321.5,338.4,322.5,NaN
2026-02-08 12:00:00,547.0,5190,-1.3,-11.4,46,2.95,25,10,323.0,333.1,323.6,NaN
2026-02-08 12:00:00,534.0,5382,-1.9,-18.9,26,1.62,15,15,324.5,330.3,324.8,NaN
