data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-06 12:00:00,1004.0,84,25.2,23.4,90,18.43,240,6,298.0,351.8,301.3,NaN
2026-02-06 12:00:00,1000.0,124,24.6,23.3,92,18.39,240,6,297.8,351.3,301.0,NaN
2026-02-06 12:00:00,975.0,345,23.2,22.2,94,17.65,230,15,298.5,350.0,301.6,NaN
2026-02-06 12:00:00,948.0,590,21.6,21.0,96,16.85,260,13,299.3,348.7,302.3,NaN
2026-02-06 12:00:00,934.0,720,20.8,20.4,98,16.44,287,12,299.7,348.0,302.7,NaN
2026-02-06 12:00:00,925.0,804,20.6,20.3,98,16.50,305,11,300.4,348.9,303.3,NaN
2026-02-06 12:00:00,900.0,1041,19.6,19.0,97,15.66,350,13,301.7,348.0,304.5,NaN
2026-02-06 12:00:00,850.0,1535,17.4,16.4,94,14.00,25,14,304.4,346.3,306.9,NaN
2026-02-06 12:00:00,796.0,2090,14.3,13.3,94,12.20,80,16,306.8,343.8,309.1,NaN
2026-02-06 12:00:00,772.0,2349,12.8,11.8,94,11.42,85,17,307.9,342.8,310.1,NaN
2026-02-06 12:00:00,724.0,2892,9.8,8.8,93,9.91,81,13,310.3,340.9,312.1,NaN
2026-02-06 12:00:00,718.0,2962,9.7,8.1,90,9.55,80,13,310.9,340.5,312.7,NaN
2026-02-06 12:00:00,700.0,3173,9.4,6.1,80,8.51,105,15,312.9,339.5,314.5,NaN
2026-02-06 12:00:00,695.0,3233,9.2,5.5,77,8.20,105,15,313.3,339.1,314.9,NaN
2026-02-06 12:00:00,689.0,3305,9.0,4.7,74,7.83,104,14,313.8,338.6,315.3,NaN
2026-02-06 12:00:00,673.0,3497,7.8,4.0,77,7.61,100,13,314.6,338.7,316.0,NaN
2026-02-06 12:00:00,655.0,3718,6.3,3.1,80,7.36,120,13,315.4,338.8,316.8,NaN
2026-02-06 12:00:00,586.0,4628,0.4,-0.4,94,6.38,116,4,318.7,339.4,319.9,NaN
2026-02-06 12:00:00,566.0,4905,-0.8,-2.5,88,5.64,115,1,320.4,338.9,321.5,NaN
2026-02-06 12:00:00,534.0,5369,-2.9,-6.2,79,4.55,55,13,323.2,338.5,324.1,NaN
2026-02-06 12:00:00,520.0,5581,-3.9,-7.8,74,4.11,66,13,324.6,338.5,325.4,NaN
2026-02-06 12:00:00,515.0,5657,-4.4,-7.9,76,4.11,70,13,324.9,338.8,325.7,NaN
2026-02-06 12:00:00,500.0,5890,-5.9,-8.3,83,4.11,50,12,325.8,339.8,326.6,NaN
2026-02-06 12:00:00,479.0,6224,-8.6,-9.4,94,3.95,45,15,326.5,340.0,327.3,NaN
2026-02-06 12:00:00,469.0,6388,-9.9,-9.9,100,3.87,45,15,326.8,340.1,327.6,NaN
2026-02-06 12:00:00,460.0,6536,-10.8,-11.2,96,3.54,45,15,327.5,339.7,328.2,NaN
