data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-15 00:00:00,1001.0,84,26.8,20.8,70,15.71,20,4,299.9,346.0,302.7,NaN
2026-02-15 00:00:00,1000.0,91,26.8,20.8,70,15.73,30,5,299.9,346.2,302.8,NaN
2026-02-15 00:00:00,988.0,198,28.0,21.0,66,16.12,44,6,302.2,350.1,305.1,NaN
2026-02-15 00:00:00,940.0,639,24.4,19.9,76,15.87,100,10,302.8,350.0,305.7,NaN
2026-02-15 00:00:00,925.0,781,23.2,19.6,80,15.78,90,12,303.0,350.0,305.9,NaN
2026-02-15 00:00:00,912.0,905,22.2,19.4,84,15.81,83,13,303.2,350.3,306.1,NaN
2026-02-15 00:00:00,898.0,1039,21.4,18.5,84,15.18,75,14,303.7,349.0,306.5,NaN
2026-02-15 00:00:00,850.0,1515,18.4,15.4,83,13.11,85,22,305.4,344.9,307.8,NaN
2026-02-15 00:00:00,818.0,1841,16.6,12.8,78,11.51,85,26,306.9,341.9,309.0,NaN
2026-02-15 00:00:00,736.0,2740,11.8,5.8,67,7.92,77,21,311.0,335.7,312.5,NaN
2026-02-15 00:00:00,712.0,3017,9.8,6.5,80,8.63,75,19,311.7,338.7,313.4,NaN
2026-02-15 00:00:00,701.0,3147,8.8,6.9,88,8.98,66,17,312.1,340.1,313.8,NaN
2026-02-15 00:00:00,700.0,3159,8.8,6.9,88,8.99,65,17,312.2,340.3,313.9,NaN
2026-02-15 00:00:00,679.0,3412,8.2,3.2,71,7.14,65,14,314.3,336.9,315.6,NaN
2026-02-15 00:00:00,662.0,3621,6.9,4.6,85,8.10,65,12,315.1,340.7,316.6,NaN
2026-02-15 00:00:00,656.0,3697,6.4,5.1,91,8.47,54,12,315.3,342.1,316.9,NaN
2026-02-15 00:00:00,629.0,4039,4.3,3.4,94,7.80,5,10,316.7,341.6,318.2,NaN
2026-02-15 00:00:00,613.0,4248,3.0,2.3,95,7.41,355,13,317.6,341.4,319.0,NaN
2026-02-15 00:00:00,598.0,4450,1.7,1.2,97,7.06,15,12,318.4,341.1,319.7,NaN
2026-02-15 00:00:00,572.0,4811,-0.5,-0.6,99,6.45,21,8,319.8,340.8,321.1,NaN
2026-02-15 00:00:00,533.0,5372,-3.3,-4.1,95,5.34,30,2,323.0,340.7,324.0,NaN
2026-02-15 00:00:00,500.0,5880,-5.9,-7.2,91,4.48,110,3,325.8,340.9,326.7,NaN
2026-02-15 00:00:00,440.0,6873,-9.9,-16.9,57,2.33,100,10,332.8,341.2,333.3,NaN
2026-02-15 00:00:00,412.0,7375,-13.6,-19.9,59,1.92,95,13,334.4,341.4,334.7,NaN
2026-02-15 00:00:00,400.0,7600,-15.3,-21.3,60,1.76,120,9,335.0,341.5,335.4,NaN
2026-02-15 00:00:00,373.0,8122,-18.5,-27.4,46,1.09,145,10,337.5,341.7,337.8,NaN
2026-02-15 00:00:00,354.0,8512,-20.9,-31.9,37,0.75,124,11,339.4,342.3,339.5,NaN
2026-02-15 00:00:00,346.0,8680,-22.4,-32.6,39,0.72,115,11,339.6,342.4,339.7,NaN
2026-02-15 00:00:00,335.0,8917,-24.5,-33.5,43,0.68,113,11,339.9,342.5,340.0,NaN
2026-02-15 00:00:00,320.0,9249,-26.7,-40.7,25,0.34,111,12,341.3,342.7,341.4,NaN
2026-02-15 00:00:00,317.0,9316,-27.3,-40.7,27,0.35,110,12,341.4,342.8,341.4,NaN
2026-02-15 00:00:00,306.0,9568,-29.6,-40.8,33,0.35,120,12,341.6,343.1,341.7,NaN
2026-02-15 00:00:00,300.0,9710,-30.9,-40.9,37,0.36,125,14,341.7,343.2,341.8,NaN
2026-02-15 00:00:00,284.0,10094,-34.3,-45.0,33,0.24,145,21,342.2,343.2,342.2,NaN
2026-02-15 00:00:00,277.0,10268,-35.9,-46.9,31,0.20,147,23,342.4,343.2,342.4,NaN
2026-02-15 00:00:00,270.0,10445,-37.3,-43.3,54,0.31,149,25,342.9,344.1,342.9,NaN
2026-02-15 00:00:00,267.0,10522,-37.7,-51.7,22,0.12,150,25,343.4,343.9,343.4,NaN
2026-02-15 00:00:00,250.0,10970,-41.7,-55.7,20,0.08,155,30,343.9,344.3,343.9,NaN
2026-02-15 00:00:00,243.0,11162,-43.4,-56.3,23,0.08,155,33,344.2,344.5,344.2,NaN
2026-02-15 00:00:00,237.0,11331,-44.9,-56.9,25,0.07,153,35,344.4,344.7,344.4,NaN
2026-02-15 00:00:00,206.0,12258,-51.1,-72.1,6,0.01,145,46,348.7,348.8,348.7,NaN
2026-02-15 00:00:00,200.0,12450,-52.7,-72.7,7,0.01,140,39,349.1,349.2,349.2,NaN
2026-02-15 00:00:00,177.0,13210,-59.1,-74.8,11,0.01,125,13,351.1,351.1,351.1,NaN
2026-02-15 00:00:00,174.0,13317,-60.0,-75.1,12,0.01,125,12,351.4,351.4,351.4,NaN
2026-02-15 00:00:00,156.0,13996,-65.7,-77.0,19,0.01,190,4,352.8,352.9,352.8,NaN
2026-02-15 00:00:00,150.0,14240,-67.7,-77.7,23,0.01,230,9,353.3,353.3,353.3,NaN
2026-02-15 00:00:00,146.0,14401,-69.2,-77.9,27,0.01,240,10,353.4,353.5,353.4,NaN
2026-02-15 00:00:00,138.0,14737,-72.3,-78.3,40,0.01,224,10,353.7,353.7,353.7,NaN
2026-02-15 00:00:00,131.0,15042,-73.1,-80.5,32,0.00,210,10,357.5,357.5,357.5,NaN
2026-02-15 00:00:00,128.0,15178,-73.5,-81.5,29,0.00,236,10,359.2,359.2,359.2,NaN
2026-02-15 00:00:00,121.0,15503,-76.1,-82.7,35,0.00,300,10,360.2,360.3,360.2,NaN
2026-02-15 00:00:00,114.0,15847,-78.9,-83.9,44,0.00,291,5,361.3,361.3,361.3,NaN
2026-02-15 00:00:00,110.0,16049,-79.7,-85.5,38,0.00,285,2,363.5,363.5,363.5,NaN
2026-02-15 00:00:00,104.0,16367,-80.9,-87.9,30,0.00,65,11,367.0,367.1,367.0,NaN
2026-02-15 00:00:00,100.0,16590,-77.1,-87.1,19,0.00,90,18,378.5,378.5,378.5,NaN
2026-02-15 00:00:00,93.0,17005,-78.3,-89.7,15,0.00,90,13,384.1,384.1,384.1,NaN
2026-02-15 00:00:00,90.0,17193,-78.9,-90.8,13,0.00,125,18,386.6,386.6,386.6,NaN
2026-02-15 00:00:00,89.8,17205,-78.9,-90.9,13,0.00,125,19,386.8,386.8,386.8,NaN
2026-02-15 00:00:00,86.0,17452,-78.5,-91.2,11,0.00,125,33,392.4,392.4,392.4,NaN
2026-02-15 00:00:00,81.0,17794,-77.8,-91.6,10,0.00,95,29,400.5,400.5,400.5,NaN
2026-02-15 00:00:00,79.8,17880,-77.7,-91.7,9,0.00,98,29,402.5,402.5,402.5,NaN
2026-02-15 00:00:00,77.0,18087,-75.4,-90.5,8,0.00,105,30,411.4,411.4,411.4,NaN
2026-02-15 00:00:00,74.8,18254,-73.5,-89.5,7,0.00,98,18,418.8,418.8,418.8,NaN
