data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-25 00:00:00,1001.0,84,24.4,22.3,88,17.26,40,10,297.5,347.6,300.5,NaN
2026-02-25 00:00:00,1000.0,91,24.2,22.1,88,17.07,20,12,297.4,346.9,300.4,NaN
2026-02-25 00:00:00,995.0,135,24.1,21.9,88,17.00,20,12,297.6,347.1,300.7,NaN
2026-02-25 00:00:00,957.0,477,23.0,20.8,88,16.45,25,22,299.9,348.2,302.8,NaN
2026-02-25 00:00:00,925.0,775,22.0,19.8,87,15.98,30,18,301.8,349.1,304.7,NaN
2026-02-25 00:00:00,913.0,889,22.2,18.3,79,14.72,34,17,303.1,347.0,305.8,NaN
2026-02-25 00:00:00,850.0,1508,17.8,16.9,94,14.46,55,9,304.8,348.2,307.4,NaN
2026-02-25 00:00:00,840.0,1610,16.8,16.6,99,14.35,52,8,304.8,347.8,307.4,NaN
2026-02-25 00:00:00,835.0,1660,16.6,16.4,99,14.25,50,7,305.1,347.8,307.7,NaN
2026-02-25 00:00:00,821.0,1803,16.0,15.8,99,13.94,60,11,305.9,347.9,308.4,NaN
2026-02-25 00:00:00,795.0,2075,14.8,14.7,99,13.38,45,11,307.5,348.1,309.9,NaN
2026-02-25 00:00:00,787.0,2161,14.4,14.3,99,13.20,60,12,308.0,348.1,310.4,NaN
2026-02-25 00:00:00,739.0,2693,12.2,12.1,100,12.15,35,20,311.1,348.5,313.3,NaN
2026-02-25 00:00:00,727.0,2832,11.6,11.5,100,11.89,45,19,311.9,348.7,314.1,NaN
2026-02-25 00:00:00,715.0,2973,11.0,10.9,100,11.62,30,17,312.7,348.8,314.9,NaN
2026-02-25 00:00:00,702.0,3128,10.3,10.3,100,11.33,45,18,313.6,349.0,315.7,NaN
2026-02-25 00:00:00,700.0,3152,10.2,10.2,100,11.29,45,18,313.8,349.0,315.9,NaN
2026-02-25 00:00:00,679.0,3406,8.7,8.7,100,10.47,35,21,314.8,347.6,316.7,NaN
2026-02-25 00:00:00,673.0,3480,8.2,8.2,100,10.24,40,22,315.1,347.3,317.0,NaN
2026-02-25 00:00:00,653.0,3729,7.2,5.9,91,8.98,55,25,316.6,345.2,318.4,NaN
2026-02-25 00:00:00,630.0,4025,6.0,3.1,82,7.65,68,21,318.5,343.2,320.0,NaN
2026-02-25 00:00:00,610.0,4288,3.8,2.2,89,7.41,80,18,318.9,342.8,320.3,NaN
2026-02-25 00:00:00,593.0,4519,1.8,1.4,97,7.19,76,16,319.2,342.5,320.6,NaN
2026-02-25 00:00:00,554.0,5062,-1.3,-1.6,98,6.20,65,10,321.9,342.2,323.1,NaN
2026-02-25 00:00:00,500.0,5880,-5.9,-6.0,99,4.92,310,2,325.8,342.3,326.8,NaN
2026-02-25 00:00:00,496.0,5943,-6.5,-6.5,100,4.77,332,1,325.8,341.9,326.7,NaN
2026-02-25 00:00:00,491.0,6022,-6.8,-7.3,96,4.52,0,0,326.4,341.7,327.2,NaN
2026-02-25 00:00:00,456.0,6597,-9.1,-13.3,72,3.03,38,6,330.5,341.1,331.1,NaN
2026-02-25 00:00:00,429.0,7067,-11.7,-14.2,82,2.99,70,11,333.0,343.6,333.6,NaN
2026-02-25 00:00:00,422.0,7193,-11.9,-16.3,70,2.55,60,10,334.3,343.4,334.8,NaN
2026-02-25 00:00:00,400.0,7600,-14.9,-22.9,51,1.52,55,3,335.5,341.2,335.9,NaN
2026-02-25 00:00:00,380.0,7985,-18.1,-19.9,86,2.09,58,12,336.3,343.9,336.7,NaN
2026-02-25 00:00:00,369.0,8201,-19.5,-21.7,83,1.84,60,17,337.2,344.0,337.6,NaN
2026-02-25 00:00:00,340.0,8801,-23.4,-26.8,74,1.26,85,24,339.9,344.7,340.1,NaN
2026-02-25 00:00:00,321.0,9223,-26.2,-30.3,68,0.96,65,18,341.7,345.4,341.9,NaN
2026-02-25 00:00:00,315.0,9361,-27.1,-31.5,66,0.88,69,17,342.3,345.7,342.4,NaN
2026-02-25 00:00:00,300.0,9710,-30.1,-33.7,71,0.74,80,16,342.8,345.8,343.0,NaN
2026-02-25 00:00:00,284.0,10098,-33.7,-36.9,73,0.57,95,22,343.1,345.4,343.2,NaN
2026-02-25 00:00:00,259.0,10735,-38.6,-43.0,63,0.33,120,31,345.0,346.4,345.1,NaN
2026-02-25 00:00:00,250.0,10980,-40.5,-45.4,59,0.27,120,33,345.7,346.8,345.8,NaN
2026-02-25 00:00:00,246.0,11090,-41.3,-45.1,67,0.28,123,35,346.1,347.3,346.2,NaN
2026-02-25 00:00:00,237.0,11337,-43.4,-48.0,60,0.21,130,38,346.7,347.6,346.7,NaN
2026-02-25 00:00:00,204.0,12332,-51.7,-59.7,38,0.06,117,49,348.8,349.0,348.8,NaN
2026-02-25 00:00:00,200.0,12460,-52.9,-58.9,48,0.07,115,51,348.8,349.1,348.9,NaN
2026-02-25 00:00:00,180.0,13129,-58.7,-63.7,52,0.04,106,52,350.0,350.2,350.0,NaN
2026-02-25 00:00:00,177.0,13234,-59.6,-65.2,48,0.03,105,52,350.1,350.3,350.2,NaN
2026-02-25 00:00:00,175.0,13305,-60.3,-66.3,45,0.03,106,51,350.2,350.4,350.2,NaN
2026-02-25 00:00:00,168.0,13557,-61.9,-69.7,34,0.02,110,46,351.8,351.9,351.8,NaN
2026-02-25 00:00:00,160.0,13858,-63.7,-73.7,24,0.01,94,35,353.6,353.6,353.6,NaN
2026-02-25 00:00:00,151.0,14210,-66.2,-73.5,35,0.01,75,21,355.2,355.2,355.2,NaN
2026-02-25 00:00:00,150.0,14250,-66.5,-73.5,37,0.01,70,20,355.3,355.4,355.3,NaN
2026-02-25 00:00:00,143.0,14538,-68.9,-74.9,42,0.01,73,17,356.0,356.1,356.0,NaN
2026-02-25 00:00:00,140.0,14662,-69.8,-75.9,40,0.01,75,16,356.6,356.6,356.6,NaN
2026-02-25 00:00:00,129.0,15143,-73.3,-80.0,36,0.01,150,2,358.7,358.7,358.7,NaN
2026-02-25 00:00:00,121.0,15519,-76.1,-83.1,33,0.00,141,2,360.3,360.3,360.3,NaN
2026-02-25 00:00:00,111.0,16013,-77.7,-84.7,32,0.00,130,1,366.3,366.3,366.3,NaN
2026-02-25 00:00:00,109.0,16117,-78.0,-85.0,32,0.00,160,11,367.5,367.5,367.5,NaN
2026-02-25 00:00:00,105.0,16332,-78.7,-85.7,31,0.00,155,19,370.1,370.2,370.1,NaN
2026-02-25 00:00:00,103.0,16442,-79.1,-86.1,31,0.00,140,19,371.5,371.5,371.5,NaN
2026-02-25 00:00:00,101.0,16553,-78.7,-86.7,26,0.00,125,18,374.4,374.4,374.4,NaN
2026-02-25 00:00:00,100.0,16610,-78.7,-86.7,26,0.00,125,18,375.4,375.4,375.4,NaN
2026-02-25 00:00:00,97.0,16780,-79.8,-87.4,28,0.00,95,12,376.5,376.5,376.5,NaN
2026-02-25 00:00:00,91.0,17136,-82.2,-88.9,32,0.00,10,12,378.7,378.7,378.7,NaN
2026-02-25 00:00:00,88.0,17323,-83.5,-89.6,34,0.00,355,13,379.9,379.9,379.9,NaN
2026-02-25 00:00:00,83.0,17649,-85.6,-91.0,39,0.00,65,13,381.8,381.8,381.8,NaN
2026-02-25 00:00:00,81.1,17778,-86.5,-91.5,41,0.00,79,18,382.6,382.6,382.6,NaN
2026-02-25 00:00:00,81.0,NaN,NaN,NaN,NaN,NaN,80,18,NaN,NaN,NaN,NaN
