PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1005.0,84,26.0,23.1,84,18.07,0,0,298.7,351.6,301.9
1000.0,128,24.4,22.9,91,17.94,0,0,297.6,349.7,300.7
998.0,146,24.0,22.9,94,17.98,2,0,297.3,349.6,300.5
944.0,633,21.8,19.3,86,15.18,55,10,299.9,344.4,302.6
925.0,811,21.0,18.0,83,14.24,55,12,300.8,342.8,303.3
850.0,1540,17.4,14.1,81,12.04,70,23,304.4,340.5,306.6
840.0,1641,16.9,13.6,81,11.77,70,24,304.9,340.3,307.0
798.0,2077,14.6,11.3,81,10.68,80,10,307.0,339.4,308.9
777.0,2303,13.5,10.2,80,10.14,60,6,308.1,339.1,309.9
765.0,2435,12.8,9.5,80,9.84,113,9,308.7,338.9,310.5
759.0,2502,13.4,8.9,74,9.52,140,11,310.0,339.4,311.8
711.0,3049,10.2,6.6,79,8.69,135,12,312.3,339.5,314.0
700.0,3180,9.4,6.1,80,8.51,120,13,312.9,339.5,314.5
670.0,3541,7.0,5.0,87,8.23,110,13,314.1,340.1,315.7
644.0,3868,4.8,4.0,94,7.98,160,11,315.2,340.5,316.7
639.0,3932,4.4,3.8,96,7.93,162,11,315.4,340.6,316.9
606.0,4360,2.2,1.7,97,7.21,175,11,317.7,340.9,319.1
592.0,4548,1.2,0.8,97,6.90,155,16,318.7,341.0,320.1
551.0,5127,-1.7,-2.0,98,6.03,175,16,321.8,341.6,323.0
533.0,5395,-3.1,-3.3,99,5.66,168,19,323.2,342.0,324.3
524.0,5529,-3.7,-4.1,97,5.41,165,20,324.1,342.1,325.1
500.0,5900,-5.5,-6.4,93,4.77,170,16,326.3,342.4,327.2
484.0,6151,-7.0,-7.9,93,4.39,175,16,327.5,342.5,328.4
452.0,6678,-10.0,-11.0,92,3.67,150,16,330.2,342.9,330.9
418.0,7282,-13.5,-14.6,91,2.96,170,13,333.2,343.7,333.8
403.0,7564,-15.1,-16.3,91,2.67,170,11,334.6,344.1,335.1
400.0,7620,-15.5,-16.7,91,2.60,170,10,334.8,344.1,335.3
377.0,8059,-18.5,-19.9,89,2.11,170,13,336.5,344.2,336.9
362.0,8360,-20.6,-22.0,88,1.82,185,13,337.7,344.4,338.1
351.0,8589,-22.1,-23.7,87,1.62,180,11,338.6,344.6,338.9
344.0,8738,-23.1,-24.8,87,1.50,185,10,339.1,344.8,339.4
334.0,8957,-24.6,-26.3,86,1.34,205,13,339.9,345.0,340.2
331.0,9024,-25.1,-26.8,86,1.30,205,13,340.2,345.1,340.5
317.0,9336,-27.7,-30.5,77,0.96,203,14,340.8,344.5,341.0
300.0,9730,-30.7,-32.1,87,0.87,200,16,342.0,345.4,342.2
290.0,9969,-32.5,-33.6,90,0.78,197,17,342.8,345.8,342.9
258.0,10776,-39.7,-47.7,42,0.20,188,20,343.8,344.6,343.8
250.0,10990,-41.3,-49.3,42,0.17,185,21,344.5,345.3,344.6
234.0,11431,-45.1,-50.8,52,0.15,180,21,345.4,346.1,345.4
209.0,12185,-51.5,-53.4,80,0.13,198,22,346.7,347.2,346.7
200.0,12470,-53.9,-56.4,74,0.09,205,23,347.2,347.7,347.3
195.0,12631,-55.3,-59.2,61,0.07,215,26,347.6,347.9,347.6
188.0,12864,-57.3,-63.3,46,0.04,214,28,348.0,348.2,348.0
168.0,13564,-63.5,-67.2,61,0.03,209,35,349.0,349.1,349.0
151.0,14210,-68.4,-74.3,43,0.01,205,41,351.4,351.5,351.4
150.0,14250,-68.7,-74.7,42,0.01,205,41,351.6,351.6,351.6
144.0,14492,-70.2,-78.4,29,0.01,200,41,353.1,353.1,353.1
142.0,14575,-70.7,-79.7,25,0.00,212,38,353.6,353.6,353.6
135.0,14878,-65.3,-87.3,3,0.00,255,26,368.3,368.3,368.3
131.0,15054,-66.8,-87.4,4,0.00,280,19,368.8,368.8,368.8
125.0,15328,-69.2,-87.5,6,0.00,330,11,369.4,369.4,369.4
122.0,15470,-70.5,-87.6,7,0.00,335,9,369.7,369.7,369.7
111.0,16022,-75.3,-87.8,13,0.00,355,13,370.8,370.8,370.8
101.0,16574,-80.1,-88.1,26,0.00,20,15,371.7,371.7,371.7
100.0,16630,-80.5,-88.5,26,0.00,25,14,371.9,372.0,371.9
89.3,17267,-81.7,-89.7,25,0.00,235,2,381.8,381.8,381.8
88.0,17348,-82.5,-90.1,27,0.00,215,1,381.8,381.8,381.8
80.0,17874,-87.5,-92.4,41,0.00,155,1,382.0,382.0,382.0
73.4,18345,-86.1,-94.1,23,0.00,14,13,394.5,394.5,394.5
73.0,18375,-85.2,-93.7,22,0.00,5,14,397.0,397.0,397.0
70.0,18610,-78.3,-90.3,13,0.00,30,7,416.6,416.6,416.6
67.0,18862,-73.7,-89.7,7,0.00,307,4,431.8,431.8,431.8
65.0,19040,-73.3,-89.7,7,0.00,250,2,436.4,436.4,436.4
60.0,19508,-72.3,-89.8,6,0.00,140,13,448.7,448.7,448.7
58.1,19696,-71.9,-89.9,5,0.00,126,24,453.8,453.8,453.8
58.0,19706,-72.0,-89.9,5,0.00,125,25,453.9,453.9,453.9
55.0,20016,-73.4,-89.9,7,0.00,110,20,457.5,457.5,457.5
50.2,20547,-75.9,-89.9,10,0.00,96,28,463.7,463.7,463.7
50.0,20570,-75.9,-89.9,10,0.00,95,28,464.2,464.3,464.2
47.0,20929,-74.8,-90.6,7,0.00,85,33,475.1,475.1,475.1
45.1,21168,-74.1,-91.1,6,0.00,85,38,482.5,482.5,482.5
37.2,22319,-63.7,-91.7,1,0.00,85,60,536.4,536.4,536.4
37.0,22352,-63.7,-91.7,1,0.00,85,61,537.3,537.3,537.3
32.6,23129,-63.1,-91.1,1,0.00,88,61,558.6,558.6,558.6
30.0,23640,-62.7,-91.7,1,0.00,90,61,573.1,573.2,573.1
27.0,24292,-61.4,-91.8,1,0.00,100,60,594.4,594.4,594.4
26.0,24525,-60.9,-91.9,1,0.00,95,62,602.2,602.2,602.2
25.0,24776,-58.0,-90.7,1,0.00,90,64,617.4,617.4,617.4
24.5,24905,-56.4,-90.0,1,0.00,90,64,625.3,625.4,625.4
