PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,84,24.0,21.1,84,16.03,30,3,297.1,343.7,300.0
993.0,146,24.4,21.3,83,16.35,30,5,298.1,345.8,301.1
960.0,444,24.2,18.2,69,13.89,33,16,300.8,341.9,303.3
926.0,760,21.9,16.9,74,13.29,35,28,301.6,340.9,304.0
925.0,769,21.8,16.9,74,13.27,35,27,301.6,340.9,304.0
879.0,1210,18.3,16.6,89,13.67,45,22,302.4,343.1,304.9
872.0,1279,17.8,16.5,92,13.73,44,21,302.6,343.4,305.1
850.0,1498,17.0,12.5,75,10.82,40,17,303.9,336.5,305.9
846.0,1538,17.2,11.2,68,9.97,40,17,304.6,334.6,306.4
807.0,1940,15.4,10.9,75,10.26,35,20,306.8,338.0,308.6
763.0,2417,13.2,10.6,84,10.63,62,20,309.4,342.0,311.3
751.0,2551,13.2,9.8,80,10.23,70,20,310.8,342.4,312.7
700.0,3143,12.2,2.2,50,6.45,65,20,316.0,336.7,317.2
698.0,3167,12.2,1.2,47,6.02,64,20,316.2,335.6,317.4
650.0,3753,8.2,0.2,57,5.99,50,20,318.2,337.6,319.3
612.0,4248,4.8,-0.7,67,5.97,55,18,319.8,339.3,321.0
564.0,4920,0.2,-1.9,86,5.94,87,15,321.9,341.5,323.1
545.0,5194,-1.3,-2.9,89,5.71,100,14,323.3,342.2,324.4
526.0,5478,-2.9,-3.9,93,5.48,85,13,324.7,343.0,325.8
503.0,5833,-4.0,-6.5,83,4.72,65,11,327.6,343.6,328.5
500.0,5880,-4.1,-6.8,81,4.62,65,11,328.0,343.7,328.9
476.0,6265,-5.9,-9.5,76,3.93,41,7,330.4,344.0,331.2
438.0,6905,-10.1,-13.1,79,3.21,0,0,333.1,344.4,333.7
409.0,7432,-13.5,-16.0,81,2.70,94,5,335.2,344.9,335.8
400.0,7600,-15.1,-16.4,90,2.67,125,7,335.3,344.9,335.8
350.0,8600,-22.1,-23.2,91,1.70,114,10,338.9,345.2,339.2
334.0,8941,-24.3,-26.8,80,1.28,110,11,340.4,345.3,340.7
314.0,9391,-27.2,-31.6,67,0.87,100,10,342.4,345.8,342.6
311.0,9461,-27.7,-32.3,65,0.82,100,10,342.7,345.9,342.9
300.0,9720,-29.9,-34.1,67,0.72,100,9,343.1,346.0,343.3
299.0,9744,-30.1,-34.1,68,0.72,102,9,343.2,346.0,343.3
287.0,10029,-32.4,-37.5,60,0.53,130,14,343.9,346.1,344.1
251.0,10962,-39.9,-48.8,38,0.18,145,16,346.2,347.0,346.3
250.0,10990,-40.1,-49.1,38,0.18,140,15,346.3,347.1,346.4
245.0,11125,-41.3,-50.1,38,0.16,135,14,346.6,347.2,346.6
215.0,11999,-48.9,-56.9,39,0.08,135,26,347.9,348.3,347.9
210.0,12153,-50.1,-62.1,23,0.04,135,28,348.4,348.6,348.4
200.0,12470,-52.7,-58.7,48,0.07,135,32,349.1,349.5,349.2
184.0,13002,-57.3,-63.3,46,0.04,128,38,350.1,350.3,350.1
177.0,13245,-59.3,-66.3,40,0.03,125,41,350.7,350.9,350.7
150.0,14260,-67.7,-76.7,27,0.01,115,36,353.3,353.3,353.3
147.0,14381,-68.4,-77.4,26,0.01,115,33,354.2,354.2,354.2
142.0,14588,-69.5,-78.5,26,0.01,111,31,355.7,355.7,355.7
123.0,15419,-76.0,-82.8,34,0.00,95,25,358.7,358.8,358.8
117.0,15708,-78.3,-84.4,37,0.00,70,20,359.7,359.7,359.7
114.0,15858,-79.5,-85.1,39,0.00,75,16,360.2,360.2,360.2
110.0,16065,-81.1,-86.2,42,0.00,100,10,360.9,360.9,360.9
109.0,16118,-81.5,-86.5,43,0.00,105,11,361.0,361.0,361.0
101.0,16544,-82.1,-88.1,36,0.00,125,22,367.8,367.8,367.8
100.0,16600,-82.3,-88.3,36,0.00,125,22,368.5,368.5,368.5
97.0,16770,-82.4,-88.4,36,0.00,120,17,371.5,371.5,371.5
92.0,17066,-82.6,-88.6,35,0.00,55,16,376.7,376.7,376.7
90.2,17177,-82.7,-88.7,35,0.00,64,17,378.7,378.7,378.7
87.0,17379,-82.6,-88.9,34,0.00,80,19,382.9,382.9,382.9
80.1,17841,-82.3,-89.3,30,0.00,80,22,392.6,392.6,392.6
79.0,17919,-80.4,-88.5,25,0.00,80,23,398.0,398.0,398.0
78.0,17991,-78.7,-87.7,22,0.00,91,22,403.0,403.1,403.0
75.0,18215,-78.7,-88.3,20,0.00,125,18,407.6,407.6,407.6
73.2,18354,-78.7,-88.7,19,0.00,131,20,410.4,410.4,410.4
72.0,18448,-78.0,-88.3,18,0.00,135,22,413.9,413.9,413.9
70.0,18610,-76.7,-87.7,16,0.00,130,25,420.0,420.0,420.0
69.0,18693,-75.4,-87.4,14,0.00,115,27,424.5,424.5,424.5
68.0,18777,-74.1,-87.1,12,0.00,113,25,429.1,429.1,429.1
65.0,19038,-74.9,-87.6,12,0.00,105,18,432.9,432.9,432.9
60.0,19500,-76.3,-88.6,13,0.00,10,13,439.7,439.8,439.8
58.0,19696,-76.9,-89.0,13,0.00,15,10,442.7,442.7,442.7
57.4,19756,-77.1,-89.1,13,0.00,28,9,443.6,443.6,443.6
56.0,19897,-77.0,-89.3,13,0.00,60,7,447.0,447.0,447.0
