PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1002.0,84,25.6,23.7,89,18.82,80,4,298.6,353.6,301.9
1000.0,100,25.4,23.6,90,18.74,80,4,298.6,353.3,301.9
947.0,580,22.6,20.3,87,16.11,60,24,300.4,347.8,303.3
925.0,786,22.8,19.1,80,15.29,50,16,302.6,348.1,305.4
919.0,843,22.6,19.7,84,15.99,50,16,303.0,350.6,305.9
892.0,1102,20.7,19.2,91,15.97,50,15,303.6,351.3,306.5
865.0,1368,18.8,18.7,99,15.96,27,14,304.3,352.0,307.2
852.0,1499,17.9,17.6,98,15.07,15,13,304.7,349.9,307.5
850.0,1519,17.8,17.4,98,14.94,15,13,304.8,349.6,307.5
709.0,3052,8.6,7.2,91,9.07,38,20,310.8,339.0,312.5
700.0,3158,8.2,6.7,90,8.87,40,20,311.5,339.2,313.2
692.0,3253,7.8,6.0,88,8.55,40,19,312.1,338.8,313.7
686.0,3325,7.8,2.6,70,6.79,40,18,312.9,334.4,314.2
681.0,3386,7.8,-0.2,57,5.57,43,18,313.6,331.4,314.6
675.0,3459,8.0,-7.0,34,3.37,47,17,314.6,325.6,315.2
665.0,3582,6.8,4.3,84,7.89,53,17,314.6,339.5,316.1
650.0,3770,6.0,4.0,87,7.90,63,16,315.7,340.8,317.2
601.0,4413,3.6,1.4,86,7.10,96,12,320.1,343.1,321.5
596.0,4481,3.7,-0.4,75,6.28,100,12,321.0,341.5,322.2
591.0,4549,3.8,-2.2,65,5.54,97,12,321.9,340.1,322.9
526.0,5488,-2.7,-4.4,88,5.28,55,10,324.9,342.6,326.0
512.0,5702,-3.8,-6.7,80,4.55,75,12,326.2,341.6,327.1
500.0,5890,-4.7,-8.7,74,3.99,115,7,327.2,340.9,328.0
488.0,6080,-5.9,-9.7,75,3.77,138,8,328.1,341.0,328.8
467.0,6423,-7.1,-27.8,17,0.84,180,10,330.7,333.9,330.9
463.0,6490,-7.3,-31.3,13,0.61,178,11,331.3,333.6,331.4
459.0,6557,-7.7,-29.0,16,0.76,175,11,331.5,334.4,331.7
447.0,6761,-9.1,-22.1,34,1.47,180,7,332.4,337.8,332.7
440.0,6883,-9.9,-17.9,52,2.14,197,8,332.8,340.6,333.3
421.0,7221,-11.5,-16.4,67,2.54,245,12,335.0,344.2,335.5
400.0,7610,-14.7,-17.9,77,2.35,230,12,335.8,344.3,336.3
390.0,7801,-16.0,-19.0,78,2.20,225,15,336.5,344.5,337.0
379.0,8017,-17.5,-20.2,79,2.04,203,11,337.3,344.8,337.7
375.0,8095,-18.0,-20.8,79,1.96,195,10,337.6,344.9,338.0
361.0,8376,-19.9,-22.9,77,1.70,0,0,338.8,345.1,339.1
320.0,9265,-25.9,-29.4,72,1.05,107,10,342.4,346.5,342.6
300.0,9730,-29.5,-33.3,70,0.77,165,16,343.7,346.8,343.9
290.0,9968,-31.5,-34.9,72,0.68,160,16,344.2,346.9,344.3
264.0,10626,-37.1,-39.4,79,0.48,160,15,345.4,347.3,345.4
258.0,10784,-38.4,-41.7,71,0.38,160,15,345.8,347.4,345.8
250.0,11000,-40.1,-44.8,61,0.28,145,13,346.3,347.5,346.4
244.0,11165,-41.7,-46.5,59,0.24,134,14,346.3,347.4,346.4
237.0,11358,-43.5,-48.1,60,0.21,120,15,346.6,347.5,346.6
223.0,11760,-47.1,-51.3,62,0.15,130,19,347.0,347.7,347.0
200.0,12480,-53.7,-57.2,65,0.08,135,16,347.6,347.9,347.6
191.0,12774,-56.3,-60.9,56,0.05,139,16,348.0,348.2,348.0
184.0,13009,-58.7,-62.9,58,0.04,143,17,347.8,348.0,347.9
179.0,13179,-60.0,-64.6,55,0.04,145,17,348.4,348.6,348.4
159.0,13909,-65.7,-71.7,43,0.02,138,28,350.8,350.9,350.8
152.0,14181,-68.1,-71.5,62,0.02,136,32,351.2,351.3,351.3
150.0,14260,-68.9,-72.4,60,0.01,135,33,351.2,351.3,351.2
139.0,14713,-72.1,-78.1,40,0.01,126,38,353.3,353.3,353.3
127.0,15236,-76.5,-81.7,44,0.00,115,44,354.6,354.6,354.6
119.0,15612,-79.7,-84.3,47,0.00,119,41,355.4,355.4,355.4
117.0,15708,-80.1,-84.7,47,0.00,120,40,356.4,356.4,356.4
101.0,16535,-83.3,-87.9,45,0.00,50,27,365.5,365.5,365.5
100.0,16590,-83.5,-88.1,45,0.00,50,25,366.2,366.2,366.2
97.2,16747,-84.7,-89.1,46,0.00,55,25,366.8,366.8,366.8
94.0,16935,-82.2,-87.9,37,0.00,55,28,375.3,375.3,375.3
93.0,16996,-81.3,-87.5,35,0.00,45,28,378.1,378.1,378.1
89.0,17243,-78.0,-86.0,27,0.00,30,11,389.5,389.5,389.5
88.0,17307,-77.1,-85.6,25,0.00,0,4,392.5,392.5,392.5
86.8,17384,-76.1,-85.1,23,0.00,330,6,396.1,396.2,396.1
84.0,17571,-77.1,-86.1,23,0.00,260,11,397.9,397.9,397.9
81.0,17779,-78.2,-87.2,22,0.00,240,11,399.8,399.8,399.8
79.1,17915,-78.9,-87.9,22,0.00,188,9,401.0,401.0,401.0
77.0,18068,-78.7,-87.9,21,0.00,130,7,404.6,404.6,404.6
75.0,18218,-78.5,-87.9,21,0.00,105,12,408.1,408.1,408.1
70.0,18610,-77.9,-87.9,19,0.00,95,26,417.4,417.4,417.4
62.0,19307,-77.1,-88.6,15,0.00,50,14,433.9,433.9,433.9
58.0,19691,-76.7,-89.0,13,0.00,60,16,443.2,443.2,443.2
57.0,19791,-76.6,-89.0,12,0.00,70,15,445.6,445.6,445.6
54.5,20048,-76.3,-89.3,11,0.00,98,23,452.0,452.1,452.0
53.0,20211,-75.3,-89.4,10,0.00,115,28,458.0,458.0,458.0
50.5,20491,-73.5,-89.5,7,0.00,98,35,468.6,468.6,468.6
50.0,20550,-71.3,-88.3,6,0.00,95,36,475.1,475.1,475.1
49.3,20634,-69.1,-87.1,6,0.00,88,36,482.2,482.2,482.2
49.0,20670,-69.0,-87.1,6,0.00,85,36,483.1,483.2,483.1
45.7,21087,-68.5,-87.5,5,0.00,105,42,494.2,494.2,494.2
45.1,21166,-68.5,-88.5,4,0.00,109,43,496.1,496.1,496.1
45.0,NaN,NaN,NaN,NaN,NaN,110,43,NaN,NaN,NaN
