data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-05 00:00:00,1000.0,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-05 00:00:00,997.0,84,30.4,20.4,55,15.38,80,4,303.8,349.8,306.6,NaN
2026-03-05 00:00:00,990.0,147,31.8,19.8,49,14.91,74,5,305.8,350.8,308.6,NaN
2026-03-05 00:00:00,950.0,516,28.8,19.2,56,14.96,40,10,306.4,351.6,309.1,NaN
2026-03-05 00:00:00,925.0,754,26.8,18.8,62,15.00,40,13,306.7,352.1,309.5,NaN
2026-03-05 00:00:00,910.0,897,25.4,18.4,65,14.84,55,12,306.8,351.7,309.5,NaN
2026-03-05 00:00:00,850.0,1494,19.8,16.6,82,14.18,50,13,306.9,349.8,309.5,NaN
2026-03-05 00:00:00,822.0,1782,17.2,15.4,89,13.57,50,12,307.1,348.2,309.6,NaN
2026-03-05 00:00:00,817.0,1834,17.0,14.9,88,13.22,50,12,307.4,347.5,309.8,NaN
2026-03-05 00:00:00,800.0,2014,16.1,13.2,83,12.09,35,13,308.3,345.2,310.6,NaN
2026-03-05 00:00:00,773.0,2306,14.8,10.5,75,10.42,60,9,309.9,342.0,311.9,NaN
2026-03-05 00:00:00,752.0,2539,13.9,8.2,69,9.19,80,5,311.4,339.9,313.1,NaN
2026-03-05 00:00:00,746.0,2607,13.6,7.6,67,8.85,76,6,311.8,339.4,313.4,NaN
2026-03-05 00:00:00,729.0,2801,14.2,-2.8,31,4.29,65,11,314.5,328.5,315.3,NaN
2026-03-05 00:00:00,700.0,3142,11.6,-10.4,20,2.49,45,18,315.3,323.6,315.8,NaN
2026-03-05 00:00:00,696.0,3190,11.5,-11.0,19,2.38,45,18,315.7,323.7,316.1,NaN
2026-03-05 00:00:00,685.0,3323,11.2,-12.8,17,2.10,48,15,316.8,324.0,317.2,NaN
2026-03-05 00:00:00,680.0,3383,10.8,-12.7,18,2.13,50,14,317.1,324.3,317.5,NaN
2026-03-05 00:00:00,649.0,3770,8.6,-11.9,22,2.37,125,5,318.8,326.9,319.2,NaN
2026-03-05 00:00:00,644.0,3834,8.2,-11.8,23,2.42,125,6,319.0,327.3,319.5,NaN
2026-03-05 00:00:00,629.0,4029,7.0,1.0,66,6.59,125,9,319.8,341.3,321.1,NaN
2026-03-05 00:00:00,624.0,4094,6.6,1.1,68,6.69,125,10,320.1,341.9,321.4,NaN
2026-03-05 00:00:00,619.0,4160,6.2,1.2,70,6.79,123,11,320.4,342.5,321.7,NaN
2026-03-05 00:00:00,594.0,4497,3.7,-0.8,72,6.10,110,14,321.3,341.3,322.5,NaN
2026-03-05 00:00:00,585.0,4621,2.8,-1.6,73,5.85,117,15,321.6,340.9,322.8,NaN
2026-03-05 00:00:00,571.0,4817,1.6,-4.4,64,4.86,129,17,322.5,338.6,323.4,NaN
2026-03-05 00:00:00,558.0,5003,0.6,-4.4,69,4.97,140,19,323.4,340.0,324.4,NaN
2026-03-05 00:00:00,548.0,5148,1.0,-10.0,44,3.28,144,16,325.6,336.8,326.2,NaN
2026-03-05 00:00:00,535.0,5340,-0.7,-8.7,55,3.72,150,13,325.8,338.5,326.5,NaN
2026-03-05 00:00:00,531.0,5401,0.0,-23.0,16,1.14,151,12,327.3,331.5,327.5,NaN
2026-03-05 00:00:00,523.0,5522,-0.4,-29.8,9,0.62,155,10,328.2,330.6,328.3,NaN
2026-03-05 00:00:00,511.0,5707,-1.1,-40.1,3,0.23,141,8,329.6,330.5,329.6,NaN
2026-03-05 00:00:00,502.0,5848,-1.9,-40.1,4,0.23,130,6,330.3,331.2,330.3,NaN
2026-03-05 00:00:00,500.0,5880,-2.1,-40.1,4,0.23,130,6,330.4,331.4,330.5,NaN
2026-03-05 00:00:00,474.0,6300,-4.4,-43.2,3,0.18,65,11,332.6,333.4,332.7,NaN
2026-03-05 00:00:00,462.0,6501,-5.5,-44.6,3,0.16,70,14,333.7,334.4,333.8,NaN
2026-03-05 00:00:00,446.0,6778,-7.0,-46.7,3,0.13,45,16,335.2,335.7,335.2,NaN
2026-03-05 00:00:00,439.0,6903,-7.7,-47.6,2,0.12,45,10,335.8,336.3,335.9,NaN
2026-03-05 00:00:00,435.0,6975,-8.1,-48.1,2,0.11,52,8,336.2,336.7,336.2,NaN
2026-03-05 00:00:00,420.0,7245,-10.4,-45.0,4,0.17,80,1,336.6,337.3,336.6,NaN
2026-03-05 00:00:00,400.0,7620,-13.7,-40.7,8,0.27,200,7,337.1,338.2,337.1,NaN
2026-03-05 00:00:00,388.0,7850,-15.4,-37.7,13,0.39,180,10,337.7,339.3,337.8,NaN
2026-03-05 00:00:00,385.0,7909,-15.9,-36.9,15,0.42,172,10,337.9,339.6,338.0,NaN
2026-03-05 00:00:00,375.0,8106,-17.1,-36.3,17,0.46,145,10,338.9,340.7,338.9,NaN
2026-03-05 00:00:00,369.0,8226,-17.9,-35.9,19,0.49,140,10,339.4,341.4,339.5,NaN
2026-03-05 00:00:00,359.0,8432,-19.1,-35.3,23,0.53,165,10,340.4,342.5,340.5,NaN
2026-03-05 00:00:00,353.0,8558,-19.9,-34.9,25,0.56,150,12,341.0,343.2,341.1,NaN
2026-03-05 00:00:00,316.0,9366,-26.7,-37.5,36,0.49,135,22,342.5,344.4,342.6,NaN
2026-03-05 00:00:00,310.0,9505,-27.9,-37.9,38,0.47,141,21,342.7,344.6,342.8,NaN
2026-03-05 00:00:00,301.0,9716,-29.5,-36.8,49,0.54,150,20,343.3,345.5,343.4,NaN
2026-03-05 00:00:00,300.0,9740,-29.7,-36.7,51,0.55,145,20,343.4,345.6,343.5,NaN
2026-03-05 00:00:00,288.0,10029,-32.3,-36.3,67,0.60,136,22,343.7,346.1,343.9,NaN
2026-03-05 00:00:00,275.0,10349,-34.6,-39.2,63,0.47,125,24,345.0,346.9,345.1,NaN
2026-03-05 00:00:00,250.0,11010,-39.3,-45.3,53,0.27,120,31,347.5,348.6,347.6,NaN
2026-03-05 00:00:00,245.0,11147,-40.4,-46.9,50,0.23,120,34,347.9,348.9,348.0,NaN
2026-03-05 00:00:00,230.0,11576,-43.7,-51.7,41,0.14,120,33,349.2,349.8,349.2,NaN
2026-03-05 00:00:00,200.0,12500,-51.9,-56.8,55,0.09,120,31,350.4,350.8,350.4,NaN
2026-03-05 00:00:00,181.0,13127,-57.8,-62.7,53,0.05,120,25,351.0,351.2,351.0,NaN
2026-03-05 00:00:00,161.0,13863,-64.7,-69.7,50,0.02,129,23,351.3,351.4,351.3,NaN
2026-03-05 00:00:00,150.0,14290,-68.5,-73.5,49,0.01,135,21,351.9,352.0,351.9,NaN
2026-03-05 00:00:00,145.0,14491,-69.7,-75.1,45,0.01,130,23,353.2,353.2,353.2,NaN
2026-03-05 00:00:00,138.0,14785,-71.5,-77.5,40,0.01,142,19,355.1,355.1,355.1,NaN
2026-03-05 00:00:00,128.0,15227,-72.7,-81.7,25,0.00,160,14,360.6,360.7,360.6,NaN
2026-03-05 00:00:00,117.0,15742,-76.1,-84.4,26,0.00,150,15,363.7,363.8,363.7,NaN
2026-03-05 00:00:00,111.0,16044,-78.1,-85.9,28,0.00,165,18,365.5,365.5,365.5,NaN
2026-03-05 00:00:00,101.0,16584,-81.7,-88.7,30,0.00,140,13,368.6,368.6,368.6,NaN
2026-03-05 00:00:00,100.0,16640,-82.1,-89.1,30,0.00,140,13,368.9,368.9,368.9,NaN
