data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-01-07 00:00:00,1001.0,84,25.6,22.9,85,17.92,80,3,298.7,351.1,301.9,NaN
2026-01-07 00:00:00,1000.0,92,25.6,22.7,84,17.72,60,3,298.8,350.6,301.9,NaN
2026-01-07 00:00:00,995.0,136,26.8,22.6,78,17.70,59,4,300.4,352.5,303.6,NaN
2026-01-07 00:00:00,928.0,750,23.0,19.1,79,15.20,40,12,302.5,347.7,305.3,NaN
2026-01-07 00:00:00,925.0,779,22.8,18.9,79,15.09,40,11,302.6,347.5,305.4,NaN
2026-01-07 00:00:00,850.0,1513,18.8,14.4,76,12.28,70,13,305.8,342.9,308.1,NaN
2026-01-07 00:00:00,824.0,1777,17.4,12.4,72,11.08,80,12,307.1,340.8,309.1,NaN
2026-01-07 00:00:00,766.0,2398,14.1,7.6,65,8.64,20,11,310.0,336.8,311.6,NaN
2026-01-07 00:00:00,747.0,2612,13.0,6.0,62,7.91,18,11,311.0,335.7,312.5,NaN
2026-01-07 00:00:00,723.0,2885,11.0,6.0,71,8.15,15,12,311.7,337.2,313.3,NaN
2026-01-07 00:00:00,700.0,3155,9.0,5.9,81,8.39,355,15,312.4,338.7,314.0,NaN
2026-01-07 00:00:00,691.0,3262,8.0,5.5,84,8.26,343,16,312.5,338.4,314.0,NaN
2026-01-07 00:00:00,685.0,3334,7.8,5.1,83,8.09,335,17,313.1,338.5,314.6,NaN
2026-01-07 00:00:00,648.0,3793,6.8,2.4,74,7.07,35,4,316.9,339.6,318.2,NaN
2026-01-07 00:00:00,586.0,4613,1.4,-2.0,78,5.67,351,3,319.8,338.4,320.9,NaN
2026-01-07 00:00:00,578.0,4724,1.2,-1.8,80,5.84,345,2,320.9,340.0,322.0,NaN
2026-01-07 00:00:00,573.0,4794,1.2,-6.8,55,4.03,341,2,321.7,335.2,322.4,NaN
2026-01-07 00:00:00,547.0,5167,-1.1,-4.8,76,4.92,321,2,323.2,339.6,324.2,NaN
2026-01-07 00:00:00,522.0,5539,-2.5,-10.5,54,3.31,300,1,325.9,337.3,326.6,NaN
2026-01-07 00:00:00,503.0,5833,-4.7,-7.2,83,4.45,30,3,326.7,341.8,327.6,NaN
2026-01-07 00:00:00,500.0,5880,-4.9,-8.5,76,4.05,45,3,327.0,340.8,327.8,NaN
2026-01-07 00:00:00,475.0,6282,-6.5,-11.5,68,3.36,65,3,329.9,341.6,330.5,NaN
2026-01-07 00:00:00,460.0,6532,-8.3,-14.3,62,2.76,77,4,330.6,340.4,331.2,NaN
2026-01-07 00:00:00,446.0,6771,-10.1,-13.3,77,3.09,89,4,331.3,342.2,331.9,NaN
2026-01-07 00:00:00,432.0,7016,-11.7,-20.7,47,1.71,101,4,332.3,338.6,332.6,NaN
2026-01-07 00:00:00,419.0,7249,-13.3,-19.3,61,1.99,112,5,333.2,340.4,333.6,NaN
2026-01-07 00:00:00,413.0,7358,-14.3,-14.7,97,2.98,118,5,333.3,343.8,333.9,NaN
2026-01-07 00:00:00,407.0,7469,-15.1,-17.2,84,2.45,123,5,333.6,342.4,334.1,NaN
2026-01-07 00:00:00,400.0,7600,-15.7,-16.7,92,2.60,130,5,334.5,343.8,335.0,NaN
2026-01-07 00:00:00,362.0,8346,-20.1,-22.0,85,1.82,132,7,338.3,345.1,338.7,NaN
2026-01-07 00:00:00,347.0,8659,-21.9,-27.9,58,1.12,132,7,340.0,344.3,340.2,NaN
2026-01-07 00:00:00,341.0,8787,-23.1,-30.1,53,0.93,133,8,340.0,343.6,340.2,NaN
2026-01-07 00:00:00,335.0,8916,-24.1,-28.1,69,1.14,133,8,340.4,344.8,340.6,NaN
2026-01-07 00:00:00,314.0,9384,-27.9,-41.9,25,0.31,134,9,341.5,342.7,341.5,NaN
2026-01-07 00:00:00,300.0,9710,-30.3,-39.3,41,0.42,135,10,342.6,344.3,342.6,NaN
2026-01-07 00:00:00,293.0,9877,-31.6,-39.1,48,0.44,150,10,343.0,344.8,343.1,NaN
2026-01-07 00:00:00,284.0,10098,-33.4,-38.8,58,0.47,135,10,343.5,345.4,343.6,NaN
2026-01-07 00:00:00,273.0,10378,-35.7,-38.5,75,0.51,144,12,344.1,346.1,344.2,NaN
2026-01-07 00:00:00,256.0,10826,-38.3,-41.8,70,0.38,159,15,346.6,348.2,346.7,NaN
2026-01-07 00:00:00,250.0,10990,-39.7,-43.2,69,0.34,165,16,346.9,348.3,347.0,NaN
2026-01-07 00:00:00,234.0,11429,-43.6,-47.5,65,0.22,180,17,347.6,348.6,347.6,NaN
2026-01-07 00:00:00,206.0,12274,-51.1,-55.8,58,0.10,185,17,348.6,349.1,348.7,NaN
2026-01-07 00:00:00,200.0,12470,-52.9,-57.7,56,0.08,180,18,348.8,349.2,348.9,NaN
2026-01-07 00:00:00,191.0,12765,-55.5,-60.2,56,0.06,177,19,349.3,349.6,349.3,NaN
2026-01-07 00:00:00,162.0,13784,-64.1,-69.0,51,0.02,165,23,351.7,351.8,351.7,NaN
2026-01-07 00:00:00,150.0,14260,-68.1,-73.1,49,0.01,160,22,352.6,352.6,352.6,NaN
2026-01-07 00:00:00,141.0,14626,-71.3,-76.1,49,0.01,155,20,353.2,353.2,353.2,NaN
2026-01-07 00:00:00,139.0,14711,-72.1,-76.8,49,0.01,157,19,353.3,353.4,353.3,NaN
2026-01-07 00:00:00,137.0,14794,-72.5,-77.3,48,0.01,160,18,354.1,354.1,354.1,NaN
2026-01-07 00:00:00,133.0,14964,-73.3,-78.3,46,0.01,190,13,355.7,355.7,355.7,NaN
2026-01-07 00:00:00,128.0,15184,-74.3,-79.6,44,0.01,230,15,357.8,357.8,357.8,NaN
2026-01-07 00:00:00,120.0,15554,-76.0,-81.8,40,0.00,240,29,361.3,361.3,361.3,NaN
2026-01-07 00:00:00,114.0,15848,-77.4,-83.5,37,0.00,225,31,364.1,364.1,364.1,NaN
2026-01-07 00:00:00,100.0,16600,-80.9,-87.9,30,0.00,155,17,371.2,371.2,371.2,NaN
