PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,84,24.2,23.2,94,18.28,60,4,297.4,350.5,300.6
994.0,137,25.0,23.0,89,18.17,63,8,298.7,351.8,301.9
981.0,254,24.4,22.4,89,17.77,70,17,299.2,351.2,302.3
949.0,547,22.8,21.0,90,16.80,58,20,300.4,349.9,303.4
929.0,734,23.1,18.7,76,14.81,50,22,302.6,346.6,305.3
925.0,772,23.2,18.2,73,14.43,50,22,303.0,346.0,305.6
923.0,791,23.4,17.4,69,13.73,50,22,303.4,344.4,305.9
850.0,1507,18.8,16.2,85,13.82,40,15,305.8,347.5,308.4
832.0,1690,17.3,15.7,90,13.69,40,12,306.1,347.5,308.6
805.0,1973,15.0,15.0,100,13.50,16,11,306.6,347.4,309.1
767.0,2383,14.1,12.7,91,12.16,340,10,309.9,347.2,312.2
736.0,2733,13.4,10.7,84,11.10,358,10,312.8,347.3,314.9
725.0,2859,12.6,10.1,85,10.82,5,10,313.2,346.9,315.2
700.0,3154,10.6,8.7,88,10.19,355,9,314.2,346.1,316.1
642.0,3873,7.6,3.5,75,7.72,357,5,318.6,343.5,320.1
561.0,4970,0.3,-0.5,95,6.64,0,0,322.5,344.3,323.8
551.0,5116,-0.7,-1.0,98,6.50,320,3,323.0,344.4,324.3
523.0,5532,-2.0,-4.8,81,5.15,205,10,326.3,343.7,327.3
500.0,5890,-3.1,-8.1,68,4.18,230,12,329.2,343.6,330.0
499.0,5906,-3.3,-9.3,63,3.81,231,12,329.1,342.3,329.9
489.0,6066,-2.9,-10.9,54,3.42,240,12,331.5,343.5,332.2
429.0,7080,-10.3,-16.9,59,2.39,300,13,334.7,343.4,335.2
411.0,7413,-12.8,-18.9,60,2.11,310,17,335.7,343.4,336.1
407.0,7488,-13.3,-19.3,61,2.05,310,16,335.9,343.4,336.4
400.0,7620,-14.3,-18.6,70,2.22,310,15,336.3,344.4,336.8
399.0,7639,-14.5,-18.6,71,2.22,310,13,336.3,344.4,336.8
376.0,8086,-18.5,-18.8,97,2.32,358,10,336.8,345.2,337.2
349.0,8641,-21.1,-24.6,73,1.50,58,6,340.5,346.2,340.8
325.0,9162,-25.5,-27.2,86,1.27,115,2,341.4,346.2,341.6
321.0,9253,-26.3,-27.7,88,1.23,124,4,341.5,346.2,341.8
310.0,9504,-27.6,-34.9,50,0.64,150,11,343.2,345.8,343.3
307.0,9575,-27.9,-36.9,42,0.53,146,11,343.7,345.8,343.8
300.0,9740,-29.3,-38.3,41,0.47,135,12,344.0,345.9,344.1
288.0,10028,-31.7,-43.3,31,0.29,130,13,344.6,345.8,344.7
270.0,10484,-35.4,-51.2,18,0.13,140,24,345.6,346.1,345.6
265.0,10617,-36.5,-53.5,16,0.10,143,23,345.9,346.3,345.9
261.0,10722,-37.1,-46.1,39,0.24,145,23,346.5,347.5,346.5
256.0,10856,-37.9,-66.9,3,0.02,143,23,347.2,347.3,347.2
250.0,11020,-39.1,-60.1,9,0.05,140,24,347.8,348.0,347.8
244.0,11186,-40.1,-55.1,19,0.09,140,25,348.7,349.1,348.7
218.0,11945,-47.1,-52.1,56,0.14,140,29,349.3,349.9,349.3
215.0,12036,-47.8,-54.9,43,0.10,140,29,349.6,350.1,349.6
207.0,12286,-49.7,-62.7,20,0.04,131,27,350.4,350.6,350.4
202.0,12445,-51.3,-58.6,41,0.07,125,26,350.4,350.8,350.4
200.0,12510,-51.9,-56.9,55,0.09,125,26,350.4,350.8,350.4
199.0,12542,-52.1,-57.0,55,0.09,126,26,350.6,351.0,350.6
181.0,13139,-57.6,-61.4,62,0.05,135,21,351.3,351.5,351.3
173.0,13423,-60.2,-63.5,65,0.04,160,23,351.5,351.7,351.5
164.0,13759,-63.3,-66.0,70,0.03,160,22,351.8,351.9,351.8
150.0,14300,-68.1,-71.8,59,0.02,160,20,352.6,352.7,352.6
147.0,14421,-69.3,-73.0,59,0.01,160,17,352.6,352.6,352.6
143.0,14579,-70.4,-74.2,57,0.01,160,13,353.5,353.5,353.5
132.0,15038,-73.5,-77.6,54,0.01,215,15,356.1,356.1,356.1
113.0,15931,-79.5,-84.1,47,0.00,255,12,361.0,361.0,361.0
109.0,16137,-80.9,-85.7,45,0.00,240,9,362.1,362.1,362.1
103.0,16462,-83.1,-88.1,43,0.00,225,18,363.8,363.8,363.8
101.0,16575,-83.9,-88.9,42,0.00,200,16,364.4,364.4,364.4
