PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1003.0,84,25.2,23.1,88,18.11,0,0,298.1,350.9,301.3
1000.0,113,25.0,23.0,89,18.05,115,2,298.1,350.8,301.4
956.0,507,22.6,20.5,88,16.18,45,11,299.6,347.0,302.4
925.0,795,20.8,18.7,88,14.90,25,15,300.6,344.5,303.2
850.0,1524,16.8,15.2,90,12.94,350,16,303.7,342.4,306.1
849.0,1534,16.7,15.2,91,12.95,350,17,303.8,342.5,306.1
826.0,1769,15.4,15.1,98,13.24,358,14,304.8,344.5,307.2
804.0,1997,14.3,14.1,99,12.73,5,11,306.0,344.4,308.3
793.0,2113,13.8,13.6,99,12.48,355,10,306.6,344.4,308.9
740.0,2698,11.0,11.0,100,11.26,358,7,309.7,344.3,311.8
700.0,3161,8.6,8.4,99,9.98,0,5,312.0,343.0,313.9
674.0,3469,7.0,6.5,96,9.08,180,1,313.6,342.1,315.3
550.0,5126,-1.3,-3.8,83,5.28,119,4,322.5,340.0,323.5
516.0,5632,-5.5,-5.7,98,4.87,99,5,323.4,339.6,324.3
500.0,5880,-4.3,-7.4,79,4.41,90,5,327.7,342.8,328.6
499.0,5896,-4.3,-7.7,77,4.32,90,5,327.9,342.7,328.8
458.0,6564,-9.7,-11.2,89,3.57,73,5,329.3,341.7,330.0
450.0,6700,-9.3,-14.2,68,2.85,70,5,331.5,341.5,332.0
443.0,6821,-9.9,-15.9,62,2.51,67,5,332.2,341.2,332.7
410.0,7413,-13.9,-21.9,51,1.62,52,5,334.5,340.4,334.8
406.0,7487,-14.1,-27.2,32,1.02,50,5,335.2,339.1,335.4
400.0,7600,-14.3,-35.3,15,0.48,45,6,336.3,338.2,336.4
398.0,7638,-14.3,-39.3,10,0.32,46,6,336.8,338.1,336.9
395.0,7695,-14.7,-38.7,11,0.34,48,7,337.0,338.4,337.1
384.0,7908,-16.4,-45.5,6,0.17,55,10,337.6,338.3,337.6
374.0,8106,-17.9,-51.9,3,0.08,48,15,338.1,338.4,338.1
364.0,8306,-19.6,-48.7,6,0.13,40,21,338.4,339.0,338.5
354.0,8511,-21.3,-45.4,9,0.19,45,22,338.8,339.6,338.9
331.0,9005,-25.5,-37.5,32,0.46,59,14,339.6,341.5,339.7
321.0,9225,-27.4,-36.2,43,0.54,65,10,340.1,342.2,340.2
300.0,9710,-31.5,-33.4,83,0.77,130,9,340.9,343.9,341.0
296.0,9805,-32.5,-33.2,93,0.79,135,10,340.8,343.9,340.9
281.0,10167,-35.0,-37.3,79,0.56,100,10,342.3,344.6,342.4
270.0,10445,-36.9,-40.4,69,0.42,95,10,343.5,345.2,343.6
254.0,10870,-39.8,-45.2,56,0.27,115,16,345.3,346.4,345.3
250.0,10980,-40.5,-46.5,52,0.24,115,17,345.7,346.7,345.8
241.0,11229,-42.3,-49.3,46,0.18,113,19,346.6,347.4,346.7
209.0,12175,-51.1,-54.4,68,0.11,107,27,347.3,347.8,347.3
202.0,12396,-53.1,-57.6,58,0.08,105,29,347.5,347.9,347.6
200.0,12460,-53.5,-58.2,56,0.07,105,30,347.9,348.2,347.9
185.0,12952,-57.1,-68.4,23,0.02,110,41,349.8,349.9,349.8
179.0,13160,-58.7,-72.7,15,0.01,105,46,350.6,350.6,350.6
150.0,14240,-67.5,-73.5,42,0.01,75,29,353.6,353.7,353.6
149.0,14280,-67.9,-73.8,43,0.01,75,29,353.7,353.7,353.7
143.0,14525,-70.1,-75.4,46,0.01,50,28,353.9,353.9,353.9
137.0,14780,-72.5,-77.1,50,0.01,42,24,354.1,354.1,354.1
128.0,15174,-76.0,-80.9,46,0.00,30,18,354.7,354.7,354.7
123.0,15405,-78.1,-83.1,44,0.00,38,17,354.9,355.0,355.0
119.0,15593,-78.9,-84.3,41,0.00,45,17,356.9,356.9,356.9
114.0,15838,-79.9,-85.9,37,0.00,27,15,359.4,359.4,359.4
112.0,15938,-79.9,-86.2,35,0.00,20,14,361.2,361.2,361.2
101.0,16524,-79.9,-87.9,26,0.00,280,3,372.1,372.1,372.1
100.0,16580,-80.3,-88.3,26,0.00,280,3,372.3,372.3,372.3
91.0,17103,-83.8,-90.7,30,0.00,135,3,375.5,375.6,375.5
87.0,17353,-85.5,-91.9,32,0.00,100,13,377.0,377.0,377.0
84.2,17534,-86.7,-92.7,34,0.00,85,23,378.1,378.1,378.1
82.0,17682,-83.9,-90.9,29,0.00,75,30,386.6,386.6,386.6
77.4,18004,-77.9,-86.9,22,0.00,43,21,405.6,405.6,405.6
77.0,18034,-77.9,-87.0,22,0.00,40,20,406.3,406.3,406.3
73.0,18339,-77.5,-87.5,19,0.00,45,11,413.3,413.3,413.3
72.9,18347,-77.5,-87.5,19,0.00,47,11,413.4,413.5,413.4
70.0,18580,-76.1,-88.1,14,0.00,100,6,421.3,421.3,421.3
69.0,18663,-76.0,-88.0,14,0.00,125,12,423.3,423.3,423.3
67.0,18833,-75.7,-87.7,14,0.00,92,11,427.4,427.4,427.4
