data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-07 12:00:00,1005.0,84,23.4,22.0,92,16.87,140,1,296.1,344.9,299.1,NaN
2026-02-07 12:00:00,1000.0,131,23.6,21.7,89,16.64,140,1,296.8,345.0,299.7,NaN
2026-02-07 12:00:00,957.0,516,22.2,17.9,77,13.67,47,2,299.1,339.1,301.5,NaN
2026-02-07 12:00:00,951.0,571,23.6,15.6,61,11.85,34,2,301.0,336.2,303.2,NaN
2026-02-07 12:00:00,931.0,757,22.4,18.1,77,14.24,349,3,301.6,343.8,304.2,NaN
2026-02-07 12:00:00,925.0,814,22.6,17.9,75,14.15,335,3,302.4,344.5,305.0,NaN
2026-02-07 12:00:00,898.0,1072,21.5,15.9,71,12.84,25,11,303.8,342.3,306.2,NaN
2026-02-07 12:00:00,854.0,1508,19.6,12.6,64,10.84,312,8,306.2,339.2,308.2,NaN
2026-02-07 12:00:00,850.0,1549,19.2,12.2,64,10.61,305,8,306.2,338.4,308.2,NaN
2026-02-07 12:00:00,772.0,2368,13.2,8.5,73,9.10,290,7,308.3,336.3,310.0,NaN
2026-02-07 12:00:00,700.0,3186,8.8,4.8,76,7.76,275,6,312.2,336.6,313.7,NaN
2026-02-07 12:00:00,616.0,4236,2.4,2.3,99,7.39,288,3,316.5,340.1,317.9,NaN
2026-02-07 12:00:00,602.0,4421,1.3,1.0,98,6.89,290,2,317.3,339.4,318.6,NaN
2026-02-07 12:00:00,548.0,5175,-3.1,-4.2,92,5.14,335,8,320.7,337.6,321.7,NaN
2026-02-07 12:00:00,526.0,5500,-4.1,-8.6,71,3.82,354,11,323.3,336.1,324.0,NaN
2026-02-07 12:00:00,517.0,5637,-4.1,-19.1,30,1.64,3,12,324.9,330.7,325.2,NaN
2026-02-07 12:00:00,509.0,5760,-5.0,-15.7,43,2.23,10,13,325.3,333.1,325.7,NaN
2026-02-07 12:00:00,504.0,5837,-5.5,-13.5,53,2.69,4,15,325.5,334.9,326.1,NaN
2026-02-07 12:00:00,500.0,5900,-5.9,-16.9,42,2.05,0,16,325.8,333.0,326.2,NaN
2026-02-07 12:00:00,492.0,6026,-6.1,-27.1,17,0.85,358,16,327.0,330.2,327.2,NaN
2026-02-07 12:00:00,483.0,6169,-7.1,-26.9,19,0.88,355,17,327.6,330.9,327.8,NaN
2026-02-07 12:00:00,463.0,6497,-9.3,-26.3,24,0.97,352,13,328.8,332.4,329.0,NaN
2026-02-07 12:00:00,448.0,6750,-10.7,-15.8,66,2.50,350,10,330.1,338.9,330.6,NaN
2026-02-07 12:00:00,444.0,6819,-11.1,-13.0,86,3.18,353,10,330.5,341.6,331.1,NaN
2026-02-07 12:00:00,425.0,7152,-13.3,-15.6,83,2.69,6,8,331.8,341.4,332.4,NaN
2026-02-07 12:00:00,414.0,7351,-14.5,-22.5,51,1.53,14,7,332.8,338.4,333.1,NaN
2026-02-07 12:00:00,407.0,7480,-15.3,-17.3,85,2.43,20,7,333.4,342.1,333.9,NaN
2026-02-07 12:00:00,400.0,7610,-16.1,-21.1,65,1.79,25,6,334.0,340.5,334.3,NaN
2026-02-07 12:00:00,386.0,7878,-18.1,-20.9,79,1.88,290,2,334.8,341.7,335.2,NaN
2026-02-07 12:00:00,379.0,8015,-19.1,-20.8,86,1.94,305,3,335.2,342.3,335.6,NaN
2026-02-07 12:00:00,364.0,8316,-20.1,-25.0,65,1.39,338,6,337.8,343.0,338.0,NaN
2026-02-07 12:00:00,342.0,8776,-23.9,-30.9,52,0.86,28,9,338.7,342.0,338.8,NaN
2026-02-07 12:00:00,321.0,9236,-27.7,-28.2,95,1.17,80,13,339.6,344.1,339.8,NaN
2026-02-07 12:00:00,311.0,9463,-29.3,-29.3,100,1.09,72,14,340.4,344.6,340.7,NaN
2026-02-07 12:00:00,302.0,9673,-30.9,-32.3,88,0.85,65,14,341.0,344.3,341.2,NaN
2026-02-07 12:00:00,300.0,9720,-31.3,-33.0,85,0.80,65,14,341.1,344.3,341.3,NaN
2026-02-07 12:00:00,292.0,9910,-32.5,-35.4,75,0.65,95,15,342.1,344.7,342.2,NaN
2026-02-07 12:00:00,281.0,10178,-34.7,-38.5,68,0.49,100,14,342.7,344.7,342.8,NaN
2026-02-07 12:00:00,278.0,10253,-35.3,-39.4,66,0.45,106,14,342.9,344.7,343.0,NaN
2026-02-07 12:00:00,264.0,10607,-38.2,-42.2,66,0.36,135,14,343.7,345.2,343.8,NaN
2026-02-07 12:00:00,250.0,10980,-41.3,-45.1,67,0.27,130,13,344.5,345.7,344.6,NaN
2026-02-07 12:00:00,248.0,11034,-41.8,-45.7,65,0.26,130,13,344.6,345.7,344.7,NaN
2026-02-07 12:00:00,243.0,11172,-42.9,-47.3,62,0.22,125,15,344.9,345.9,345.0,NaN
2026-02-07 12:00:00,226.0,11655,-47.1,-50.3,70,0.17,109,22,345.7,346.5,345.8,NaN
2026-02-07 12:00:00,222.0,11772,-48.0,-50.6,74,0.17,105,24,346.1,346.8,346.1,NaN
2026-02-07 12:00:00,219.0,11862,-48.7,-50.9,78,0.16,104,26,346.4,347.1,346.4,NaN
2026-02-07 12:00:00,215.0,11982,-49.7,-54.7,56,0.11,103,29,346.7,347.1,346.7,NaN
2026-02-07 12:00:00,204.0,12323,-52.5,-55.4,71,0.10,101,37,347.5,348.0,347.5,NaN
2026-02-07 12:00:00,200.0,12450,-53.5,-57.0,65,0.09,100,40,347.9,348.3,347.9,NaN
2026-02-07 12:00:00,188.0,12835,-56.9,-60.7,62,0.06,100,48,348.6,348.9,348.6,NaN
2026-02-07 12:00:00,162.0,13761,-65.1,-69.7,53,0.02,100,50,350.0,350.1,350.0,NaN
2026-02-07 12:00:00,150.0,14240,-69.3,-74.3,48,0.01,100,47,350.5,350.6,350.5,NaN
2026-02-07 12:00:00,148.0,14320,-70.3,-75.3,48,0.01,100,47,350.1,350.2,350.1,NaN
2026-02-07 12:00:00,143.0,14523,-71.9,-76.9,47,0.01,100,45,350.8,350.9,350.8,NaN
2026-02-07 12:00:00,123.0,15387,-79.3,-84.2,44,0.00,100,40,352.9,352.9,352.9,NaN
2026-02-07 12:00:00,117.0,15675,-81.7,-86.6,44,0.00,95,43,353.4,353.4,353.4,NaN
2026-02-07 12:00:00,108.0,16126,-80.2,-87.3,30,0.00,55,37,364.5,364.5,364.5,NaN
2026-02-07 12:00:00,101.0,16503,-78.9,-87.9,22,0.00,75,38,374.0,374.0,374.0,NaN
2026-02-07 12:00:00,100.0,16560,-78.7,-87.7,22,0.00,85,37,375.4,375.4,375.4,NaN
2026-02-07 12:00:00,97.0,16732,-79.5,-88.2,23,0.00,95,37,377.2,377.3,377.2,NaN
2026-02-07 12:00:00,88.5,17249,-81.7,-89.7,25,0.00,74,40,382.8,382.8,382.8,NaN
2026-02-07 12:00:00,87.0,17346,-80.3,-89.2,22,0.00,70,40,387.5,387.5,387.5,NaN
2026-02-07 12:00:00,84.0,17544,-77.3,-88.3,16,0.00,79,36,397.4,397.4,397.4,NaN
2026-02-07 12:00:00,82.0,17684,-76.7,-88.5,14,0.00,85,33,401.4,401.4,401.4,NaN
2026-02-07 12:00:00,79.0,17899,-75.8,-88.7,12,0.00,70,22,407.6,407.6,407.6,NaN
2026-02-07 12:00:00,77.0,18048,-75.1,-88.8,10,0.00,80,14,411.9,411.9,411.9,NaN
2026-02-07 12:00:00,73.0,18356,-73.8,-89.2,8,0.00,80,17,421.1,421.1,421.1,NaN
2026-02-07 12:00:00,71.5,18476,-73.3,-89.3,7,0.00,65,16,424.7,424.7,424.7,NaN
2026-02-07 12:00:00,70.0,18600,-73.9,-89.9,7,0.00,50,14,426.0,426.0,426.0,NaN
2026-02-07 12:00:00,69.0,18684,-74.6,-90.2,7,0.00,40,12,426.2,426.2,426.2,NaN
2026-02-07 12:00:00,67.5,18812,-75.7,-90.7,8,0.00,67,9,426.5,426.5,426.5,NaN
2026-02-07 12:00:00,66.0,18943,-74.3,-90.4,7,0.00,95,6,432.3,432.3,432.3,NaN
2026-02-07 12:00:00,63.0,19216,-71.4,-89.7,5,0.00,150,10,444.5,444.5,444.5,NaN
2026-02-07 12:00:00,62.1,19301,-70.5,-89.5,5,0.00,146,12,448.3,448.3,448.3,NaN
2026-02-07 12:00:00,62.0,19310,-70.5,-89.5,5,0.00,145,12,448.6,448.6,448.6,NaN
2026-02-07 12:00:00,60.0,19506,-70.1,-89.4,4,0.00,190,11,453.7,453.7,453.7,NaN
2026-02-07 12:00:00,57.0,19811,-69.5,-89.2,4,0.00,195,11,461.8,461.8,461.8,NaN
2026-02-07 12:00:00,55.4,19981,-69.1,-89.1,4,0.00,221,10,466.4,466.4,466.4,NaN
2026-02-07 12:00:00,54.0,20133,-69.9,-89.4,4,0.00,245,10,468.0,468.0,468.0,NaN
2026-02-07 12:00:00,53.0,20244,-70.5,-89.6,5,0.00,240,10,469.1,469.1,469.1,NaN
2026-02-07 12:00:00,51.0,20472,-71.7,-90.1,5,0.00,180,10,471.5,471.5,471.5,NaN
2026-02-07 12:00:00,50.0,20590,-72.3,-90.3,5,0.00,175,12,472.7,472.7,472.7,NaN
2026-02-07 12:00:00,49.2,20685,-72.3,-90.3,5,0.00,157,14,474.9,474.9,474.9,NaN
2026-02-07 12:00:00,48.0,20831,-72.0,-90.4,5,0.00,130,17,478.9,478.9,478.9,NaN
2026-02-07 12:00:00,47.0,20956,-71.8,-90.4,5,0.00,120,17,482.3,482.4,482.3,NaN
2026-02-07 12:00:00,44.0,21346,-71.1,-90.6,4,0.00,100,39,493.3,493.3,493.3,NaN
2026-02-07 12:00:00,41.0,21764,-70.3,-90.8,4,0.00,90,45,505.2,505.3,505.2,NaN
2026-02-07 12:00:00,39.5,21984,-69.9,-90.9,3,0.00,90,49,511.7,511.7,511.7,NaN
2026-02-07 12:00:00,36.3,22486,-70.9,-91.9,3,0.00,90,60,521.6,521.6,521.6,NaN
2026-02-07 12:00:00,33.6,22950,-65.5,-91.5,2,0.00,90,69,547.5,547.5,547.5,NaN
2026-02-07 12:00:00,33.0,23059,-66.0,-91.5,2,0.00,90,71,548.9,548.9,548.9,NaN
2026-02-07 12:00:00,32.5,23152,-66.5,-91.5,2,0.00,91,71,550.1,550.1,550.1,NaN
2026-02-07 12:00:00,30.0,23640,-63.5,-91.5,1,0.00,95,71,571.0,571.0,571.0,NaN
2026-02-07 12:00:00,29.2,23807,-62.7,-91.3,1,0.00,95,74,577.5,577.5,577.5,NaN
2026-02-07 12:00:00,29.0,23849,-62.5,-91.2,1,0.00,95,74,579.2,579.2,579.2,NaN
2026-02-07 12:00:00,27.2,24245,-60.7,-90.7,1,0.00,77,70,595.0,595.0,595.0,NaN
2026-02-07 12:00:00,27.0,24291,-60.7,-90.7,1,0.00,75,69,596.2,596.2,596.2,NaN
2026-02-07 12:00:00,24.0,25023,-61.1,-91.1,1,0.00,84,68,615.5,615.5,615.5,NaN
2026-02-07 12:00:00,21.3,25772,-56.5,-89.5,1,0.01,94,67,650.7,650.7,650.7,NaN
2026-02-07 12:00:00,21.0,25863,-54.0,-88.2,1,0.01,95,67,660.9,661.0,660.9,NaN
2026-02-07 12:00:00,20.8,25924,-52.3,-87.3,1,0.01,NaN,NaN,667.8,667.9,667.8,NaN
