data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-01-29 12:00:00,1004.0,84,26.6,24.6,89,19.86,0,0,299.4,357.7,302.9,NaN
2026-01-29 12:00:00,1000.0,122,25.6,24.5,94,19.82,0,0,298.8,356.8,302.3,NaN
2026-01-29 12:00:00,978.0,318,24.0,23.4,96,18.94,61,8,299.0,354.5,302.4,NaN
2026-01-29 12:00:00,966.0,427,24.3,21.9,86,17.42,95,12,300.4,351.7,303.5,NaN
2026-01-29 12:00:00,954.0,536,24.6,20.3,77,15.99,89,14,301.8,349.1,304.7,NaN
2026-01-29 12:00:00,929.0,769,23.6,17.8,70,14.01,75,19,303.0,344.8,305.6,NaN
2026-01-29 12:00:00,925.0,807,23.4,17.4,69,13.70,75,19,303.2,344.1,305.7,NaN
2026-01-29 12:00:00,852.0,1521,18.1,14.9,81,12.64,70,28,304.9,342.9,307.2,NaN
2026-01-29 12:00:00,850.0,1541,18.0,14.8,82,12.61,70,28,305.0,342.9,307.3,NaN
2026-01-29 12:00:00,833.0,1714,16.8,14.3,85,12.45,75,26,305.5,343.0,307.8,NaN
2026-01-29 12:00:00,785.0,2215,14.3,11.4,82,10.87,90,20,308.1,341.3,310.1,NaN
2026-01-29 12:00:00,752.0,2577,12.6,9.2,80,9.83,75,22,310.0,340.3,311.8,NaN
2026-01-29 12:00:00,713.0,3027,10.4,6.6,78,8.65,90,12,312.3,339.3,313.9,NaN
2026-01-29 12:00:00,700.0,3182,9.6,5.7,77,8.27,45,10,313.1,339.1,314.6,NaN
2026-01-29 12:00:00,697.0,3218,9.4,5.3,76,8.11,45,10,313.3,338.8,314.8,NaN
2026-01-29 12:00:00,682.0,3398,8.6,3.6,71,7.32,51,9,314.3,337.5,315.7,NaN
2026-01-29 12:00:00,623.0,4141,3.6,3.5,99,7.96,77,7,316.8,342.2,318.3,NaN
2026-01-29 12:00:00,574.0,4803,0.8,-1.6,84,5.98,100,4,321.0,340.6,322.1,NaN
2026-01-29 12:00:00,560.0,5002,-0.1,-3.1,80,5.47,107,5,322.2,340.3,323.3,NaN
2026-01-29 12:00:00,500.0,5900,-6.3,-6.5,98,4.73,140,8,325.3,341.2,326.2,NaN
2026-01-29 12:00:00,494.0,5995,-6.7,-6.7,100,4.71,135,11,325.9,341.8,326.9,NaN
2026-01-29 12:00:00,468.0,6415,-9.5,-9.5,100,4.00,162,16,327.5,341.2,328.3,NaN
2026-01-29 12:00:00,460.0,6549,-9.6,-11.0,90,3.61,170,17,329.0,341.5,329.7,NaN
2026-01-29 12:00:00,449.0,6736,-9.8,-13.1,77,3.12,175,16,331.0,342.0,331.6,NaN
2026-01-29 12:00:00,445.0,6805,-9.9,-13.9,73,2.95,171,15,331.8,342.2,332.4,NaN
2026-01-29 12:00:00,423.0,7193,-12.3,-16.6,70,2.48,145,10,333.6,342.5,334.1,NaN
2026-01-29 12:00:00,400.0,7620,-14.9,-19.6,67,2.03,180,11,335.5,343.0,335.9,NaN
2026-01-29 12:00:00,381.0,7988,-16.7,-24.7,50,1.36,197,11,337.9,343.0,338.1,NaN
2026-01-29 12:00:00,378.0,8047,-17.3,-26.3,45,1.19,200,11,337.8,342.3,338.1,NaN
2026-01-29 12:00:00,365.0,8309,-19.1,-25.1,59,1.37,212,11,338.8,344.0,339.1,NaN
2026-01-29 12:00:00,358.0,8453,-20.1,-26.1,59,1.28,218,11,339.4,344.2,339.6,NaN
2026-01-29 12:00:00,355.0,8515,-20.3,-33.3,30,0.65,221,11,339.9,342.5,340.1,NaN
2026-01-29 12:00:00,346.0,8705,-22.1,-31.1,44,0.83,230,11,340.0,343.2,340.2,NaN
2026-01-29 12:00:00,336.0,8920,-24.1,-28.6,66,1.08,225,7,340.1,344.3,340.3,NaN
2026-01-29 12:00:00,330.0,9052,-24.3,-37.3,29,0.47,222,4,341.6,343.5,341.7,NaN
2026-01-29 12:00:00,327.0,9119,-24.7,-38.1,28,0.44,220,3,341.9,343.7,342.0,NaN
2026-01-29 12:00:00,323.0,9208,-25.3,-39.3,26,0.39,204,3,342.3,343.9,342.4,NaN
2026-01-29 12:00:00,303.0,9669,-29.5,-38.5,41,0.46,123,6,342.7,344.6,342.8,NaN
2026-01-29 12:00:00,300.0,9740,-29.9,-39.9,37,0.40,110,6,343.1,344.8,343.2,NaN
