data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-03-11 00:00:00,1000.0,84,27.2,21.2,70,16.13,20,4,300.4,347.9,303.2,NaN
2026-03-11 00:00:00,972.0,336,26.6,21.6,74,17.03,42,5,302.2,352.7,305.3,NaN
2026-03-11 00:00:00,925.0,773,23.2,21.8,92,18.14,80,7,303.0,357.1,306.3,NaN
2026-03-11 00:00:00,921.0,811,23.0,21.6,92,17.99,79,8,303.2,356.8,306.4,NaN
2026-03-11 00:00:00,899.0,1021,21.9,19.9,88,16.51,75,11,304.1,353.5,307.1,NaN
2026-03-11 00:00:00,850.0,1509,19.2,15.8,81,13.46,80,16,306.2,346.9,308.7,NaN
2026-03-11 00:00:00,784.0,2200,15.0,12.3,84,11.57,90,22,308.9,344.3,311.1,NaN
2026-03-11 00:00:00,772.0,2332,14.2,11.6,84,11.24,90,21,309.4,343.9,311.5,NaN
2026-03-11 00:00:00,766.0,2398,14.1,11.2,83,10.99,90,20,309.9,343.8,312.0,NaN
2026-03-11 00:00:00,756.0,2509,13.8,10.4,80,10.59,70,16,310.9,343.6,312.9,NaN
2026-03-11 00:00:00,727.0,2840,13.2,8.2,72,9.47,80,15,313.7,343.4,315.4,NaN
2026-03-11 00:00:00,700.0,3158,11.0,6.8,75,8.93,90,14,314.6,342.8,316.3,NaN
2026-03-11 00:00:00,675.0,3460,9.3,4.7,73,7.99,100,18,316.1,341.5,317.6,NaN
2026-03-11 00:00:00,658.0,3673,8.2,3.2,71,7.37,103,17,317.1,340.7,318.5,NaN
2026-03-11 00:00:00,617.0,4200,3.2,2.8,97,7.65,109,15,317.2,341.7,318.7,NaN
2026-03-11 00:00:00,611.0,4279,3.0,2.2,95,7.42,110,15,317.9,341.7,319.3,NaN
2026-03-11 00:00:00,565.0,4912,1.2,-2.3,78,5.76,70,10,323.0,342.0,324.1,NaN
2026-03-11 00:00:00,560.0,4984,1.0,-2.8,76,5.59,71,11,323.5,342.1,324.6,NaN
2026-03-11 00:00:00,551.0,5115,1.4,-4.6,64,4.96,73,12,325.5,342.2,326.5,NaN
2026-03-11 00:00:00,541.0,5262,0.6,-6.4,59,4.40,75,13,326.3,341.2,327.1,NaN
2026-03-11 00:00:00,514.0,5671,-2.3,-5.5,79,4.97,80,17,327.6,344.4,328.6,NaN
2026-03-11 00:00:00,500.0,5890,-3.7,-8.7,68,3.99,90,17,328.5,342.2,329.3,NaN
2026-03-11 00:00:00,491.0,6033,-4.9,-9.2,72,3.90,125,15,328.7,342.1,329.5,NaN
2026-03-11 00:00:00,483.0,6162,-3.9,-10.9,58,3.47,138,13,331.5,343.6,332.2,NaN
2026-03-11 00:00:00,461.0,6523,-6.4,-12.5,62,3.19,175,6,332.8,344.0,333.4,NaN
2026-03-11 00:00:00,414.0,7354,-12.2,-16.3,72,2.60,145,10,335.7,345.1,336.2,NaN
2026-03-11 00:00:00,400.0,7620,-14.1,-17.5,75,2.43,160,11,336.6,345.4,337.1,NaN
2026-03-11 00:00:00,388.0,7851,-15.5,-18.4,78,2.32,171,11,337.7,346.2,338.2,NaN
2026-03-11 00:00:00,384.0,7929,-15.8,-19.4,74,2.15,175,11,338.2,346.2,338.7,NaN
2026-03-11 00:00:00,376.0,8087,-16.5,-21.5,65,1.84,166,13,339.4,346.2,339.8,NaN
2026-03-11 00:00:00,357.0,8471,-19.8,-23.7,71,1.59,145,17,340.1,346.1,340.4,NaN
2026-03-11 00:00:00,331.0,9031,-24.5,-27.0,80,1.27,149,20,341.0,345.9,341.3,NaN
2026-03-11 00:00:00,300.0,9740,-29.5,-32.0,79,0.88,155,24,343.7,347.1,343.9,NaN
2026-03-11 00:00:00,293.0,9906,-30.7,-33.5,76,0.77,165,26,344.3,347.4,344.4,NaN
2026-03-11 00:00:00,277.0,10302,-33.6,-37.2,70,0.57,175,19,345.6,348.0,345.8,NaN
2026-03-11 00:00:00,258.0,10803,-37.3,-41.8,63,0.38,168,20,347.3,348.9,347.4,NaN
2026-03-11 00:00:00,250.0,11020,-39.1,-43.3,64,0.33,165,21,347.8,349.2,347.9,NaN
2026-03-11 00:00:00,234.0,11465,-43.0,-46.6,67,0.25,160,16,348.5,349.6,348.6,NaN
2026-03-11 00:00:00,223.0,11788,-45.8,-49.0,70,0.20,130,14,349.0,349.9,349.0,NaN
2026-03-11 00:00:00,220.0,11879,-46.6,-49.7,71,0.19,120,16,349.1,349.9,349.2,NaN
2026-03-11 00:00:00,211.0,12160,-49.1,-51.8,73,0.15,118,20,349.5,350.1,349.5,NaN
2026-03-11 00:00:00,200.0,12510,-51.9,-57.9,48,0.08,115,24,350.4,350.8,350.4,NaN
2026-03-11 00:00:00,198.0,12575,-52.3,-58.3,48,0.07,115,24,350.8,351.1,350.8,NaN
2026-03-11 00:00:00,161.0,13872,-64.1,-71.1,38,0.02,115,34,352.3,352.4,352.3,NaN
2026-03-11 00:00:00,156.0,14063,-65.8,-71.8,43,0.02,115,35,352.6,352.6,352.6,NaN
2026-03-11 00:00:00,150.0,14300,-67.9,-72.7,50,0.01,120,33,352.9,353.0,352.9,NaN
2026-03-11 00:00:00,133.0,14995,-72.4,-77.6,46,0.01,115,19,357.3,357.3,357.3,NaN
2026-03-11 00:00:00,127.0,15261,-74.1,-79.4,44,0.01,85,15,358.9,358.9,358.9,NaN
2026-03-11 00:00:00,119.0,15637,-76.6,-82.1,42,0.00,305,1,361.1,361.2,361.1,NaN
2026-03-11 00:00:00,101.0,16585,-82.7,-88.7,35,0.00,235,6,366.7,366.7,366.7,NaN
2026-03-11 00:00:00,100.0,16640,-82.1,-88.1,36,0.00,235,6,368.9,368.9,368.9,NaN
2026-03-11 00:00:00,98.0,16754,-81.4,-87.8,33,0.00,175,13,372.3,372.3,372.3,NaN
2026-03-11 00:00:00,95.3,16911,-80.5,-87.5,31,0.00,171,25,377.1,377.1,377.1,NaN
2026-03-11 00:00:00,95.0,16929,-80.6,-87.6,31,0.00,170,26,377.2,377.3,377.2,NaN
2026-03-11 00:00:00,90.0,17230,-82.3,-88.6,34,0.00,170,18,379.7,379.7,379.7,NaN
2026-03-11 00:00:00,80.9,17825,-85.7,-90.6,42,0.00,130,17,384.5,384.5,384.5,NaN
2026-03-11 00:00:00,78.0,18025,-85.9,-91.7,35,0.00,125,15,388.2,388.2,388.2,NaN
2026-03-11 00:00:00,77.5,18061,-85.9,-91.9,34,0.00,127,16,388.8,388.8,388.8,NaN
2026-03-11 00:00:00,75.0,18243,-83.0,-90.2,29,0.00,140,22,398.5,398.5,398.5,NaN
2026-03-11 00:00:00,73.2,18379,-80.9,-88.9,25,0.00,133,25,405.8,405.8,405.8,NaN
