PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1005.0,84,24.6,23.4,93,18.42,30,4,297.3,350.8,300.6
1002.0,109,23.2,22.4,95,17.35,60,11,296.2,346.3,299.2
1000.0,126,23.2,22.2,94,17.17,55,13,296.4,346.0,299.4
973.0,364,21.9,21.2,95,16.57,35,14,297.4,345.5,300.4
929.0,767,19.8,19.5,98,15.57,45,16,299.2,344.8,302.0
925.0,805,19.6,19.3,98,15.48,45,16,299.3,344.7,302.1
912.0,927,19.2,18.9,98,15.33,55,13,300.1,345.2,302.9
850.0,1534,17.0,17.0,100,14.56,30,10,303.9,347.4,306.6
795.0,2098,14.0,14.0,100,12.83,30,11,306.6,345.5,309.0
761.0,2466,12.1,12.1,100,11.79,35,11,308.4,344.4,310.6
746.0,2634,11.2,11.2,100,11.34,20,13,309.2,343.9,311.3
722.0,2909,9.8,9.8,100,10.62,25,10,310.5,343.3,312.5
700.0,3170,8.4,8.4,100,9.98,330,6,311.8,342.8,313.6
688.0,3313,8.2,8.2,100,10.02,323,7,313.1,344.4,315.0
649.0,3790,4.2,4.2,100,8.04,300,11,313.8,339.2,315.4
644.0,3854,3.7,3.7,100,7.81,300,11,313.9,338.6,315.4
637.0,3943,3.0,3.0,100,7.49,325,11,314.1,337.8,315.5
630.0,4033,2.2,2.2,100,7.17,332,11,314.2,336.9,315.6
584.0,4645,0.8,0.8,100,6.99,22,8,319.5,342.1,320.8
500.0,5880,-4.9,-4.9,100,5.35,125,3,327.0,345.0,328.1
492.0,6006,-5.5,-5.5,100,5.18,80,1,327.8,345.3,328.8
444.0,6807,-9.4,-9.5,99,4.20,35,15,332.6,347.3,333.5
431.0,7039,-10.5,-10.7,98,3.95,16,13,334.1,347.9,334.9
400.0,7610,-14.9,-16.0,91,2.76,330,9,335.5,345.4,336.1
351.0,8573,-21.6,-23.1,88,1.70,100,3,339.2,345.6,339.6
323.0,9186,-25.9,-27.7,85,1.23,75,13,341.5,346.2,341.7
314.0,9394,-27.4,-29.2,84,1.09,95,16,342.2,346.4,342.4
303.0,9657,-29.2,-31.2,83,0.94,75,18,343.1,346.8,343.3
300.0,9730,-29.7,-31.7,83,0.90,75,18,343.4,346.9,343.6
273.0,10391,-35.0,-37.7,76,0.55,75,10,345.1,347.3,345.2
263.0,10653,-37.1,-40.1,74,0.44,83,10,345.7,347.6,345.8
250.0,11000,-40.3,-43.3,73,0.33,95,9,346.0,347.4,346.1
239.0,11305,-43.1,-45.5,77,0.28,90,12,346.3,347.4,346.3
233.0,11477,-44.7,-46.7,80,0.25,110,11,346.4,347.4,346.4
230.0,11562,-45.5,-47.6,79,0.23,120,11,346.5,347.4,346.5
224.0,11736,-47.1,-49.5,76,0.19,115,10,346.7,347.5,346.7
218.0,11914,-48.7,-51.5,73,0.15,105,15,346.8,347.5,346.9
214.0,12036,-49.8,-52.8,71,0.13,80,14,346.9,347.5,347.0
206.0,12286,-52.1,-55.5,67,0.10,105,21,347.1,347.6,347.1
200.0,12480,-53.9,-57.6,64,0.08,110,25,347.2,347.6,347.3
197.0,12576,-54.9,-58.9,61,0.07,110,23,347.2,347.5,347.2
195.0,12641,-55.5,-59.8,59,0.06,125,22,347.2,347.5,347.2
189.0,12840,-57.5,-62.5,53,0.05,114,31,347.1,347.3,347.1
187.0,12907,-58.0,-62.8,54,0.04,110,34,347.4,347.6,347.4
183.0,13043,-59.0,-63.2,58,0.04,120,19,347.9,348.1,347.9
181.0,13112,-59.5,-63.5,59,0.04,115,25,348.2,348.4,348.2
179.0,13182,-60.4,-64.6,58,0.04,130,27,347.8,347.9,347.8
178.0,13217,-60.9,-65.2,57,0.03,129,27,347.6,347.7,347.6
169.0,13533,-63.4,-67.7,56,0.03,115,24,348.6,348.7,348.6
151.0,14219,-68.8,-73.0,54,0.01,120,39,350.8,350.8,350.8
150.0,14260,-69.1,-73.3,54,0.01,120,39,350.9,350.9,350.9
127.0,15237,-76.0,-80.0,54,0.01,130,10,355.4,355.5,355.4
125.0,15330,-76.7,-80.6,54,0.00,110,6,355.9,355.9,355.9
124.0,15377,-74.4,-80.3,40,0.01,100,4,360.8,360.9,360.8
123.0,15424,-72.1,-80.1,29,0.01,90,5,365.9,365.9,365.9
116.0,15771,-70.3,-80.3,22,0.01,20,9,375.4,375.4,375.4
115.0,15822,-70.7,-80.6,22,0.01,10,10,375.6,375.6,375.6
100.0,16640,-76.7,-84.7,27,0.00,310,12,379.3,379.3,379.3
96.0,16871,-78.5,-85.5,32,0.00,10,8,380.2,380.3,380.2
90.0,17236,-81.3,-86.7,41,0.00,30,11,381.7,381.7,381.7
88.8,17312,-81.9,-86.9,43,0.00,51,12,382.0,382.0,382.0
88.0,17363,-81.8,-86.9,42,0.00,65,13,383.2,383.2,383.2
82.0,17760,-80.9,-86.6,38,0.00,100,28,392.8,392.9,392.8
76.0,18187,-79.9,-86.2,35,0.00,95,23,403.5,403.5,403.5
72.0,18492,-79.3,-86.0,32,0.00,55,17,411.2,411.2,411.2
70.0,18650,-78.9,-85.9,31,0.00,50,12,415.3,415.3,415.3
68.0,18815,-79.1,-86.1,31,0.00,NaN,NaN,418.3,418.3,418.3
