data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-20 00:00:00,1001.0,84,25.4,22.5,84,17.48,240,4,298.5,349.5,301.6,NaN
2026-02-20 00:00:00,1000.0,91,25.2,22.5,85,17.50,230,4,298.4,349.4,301.5,NaN
2026-02-20 00:00:00,986.0,215,23.8,23.0,95,18.32,205,4,298.1,351.6,301.4,NaN
2026-02-20 00:00:00,966.0,396,25.6,21.2,77,16.71,168,4,301.7,351.2,304.7,NaN
2026-02-20 00:00:00,925.0,778,22.6,20.3,87,16.50,90,5,302.4,351.4,305.4,NaN
2026-02-20 00:00:00,896.0,1055,20.8,19.0,89,15.69,62,7,303.3,350.1,306.2,NaN
2026-02-20 00:00:00,850.0,1510,18.8,14.9,78,12.69,15,9,305.8,344.1,308.2,NaN
2026-02-20 00:00:00,835.0,1662,18.1,13.8,76,12.02,15,10,306.6,343.0,308.8,NaN
2026-02-20 00:00:00,776.0,2288,15.0,9.3,69,9.55,30,14,309.8,339.3,311.6,NaN
2026-02-20 00:00:00,765.0,2410,14.4,8.4,67,9.12,38,14,310.4,338.7,312.1,NaN
2026-02-20 00:00:00,737.0,2723,12.0,7.7,75,9.04,60,13,311.1,339.2,312.8,NaN
2026-02-20 00:00:00,704.0,3108,9.0,6.9,87,8.94,69,17,311.9,339.8,313.6,NaN
2026-02-20 00:00:00,700.0,3155,9.0,6.3,83,8.63,70,18,312.4,339.4,314.0,NaN
2026-02-20 00:00:00,677.0,3431,7.9,4.2,78,7.72,70,23,314.2,338.6,315.7,NaN
2026-02-20 00:00:00,641.0,3882,6.2,0.9,69,6.40,50,13,317.2,337.8,318.4,NaN
2026-02-20 00:00:00,626.0,4077,5.4,-0.6,65,5.89,62,12,318.4,337.6,319.6,NaN
2026-02-20 00:00:00,616.0,4207,4.5,-0.9,68,5.85,70,12,318.9,337.9,320.0,NaN
2026-02-20 00:00:00,556.0,5037,-1.1,-2.8,88,5.63,65,10,321.7,340.3,322.8,NaN
2026-02-20 00:00:00,552.0,5095,-1.4,-3.3,87,5.47,65,10,322.1,340.2,323.1,NaN
2026-02-20 00:00:00,527.0,5463,-3.0,-6.3,78,4.54,50,10,324.4,339.7,325.3,NaN
2026-02-20 00:00:00,518.0,5600,-3.6,-7.5,75,4.23,70,10,325.2,339.6,326.1,NaN
2026-02-20 00:00:00,514.0,5662,-3.9,-8.0,73,4.10,73,10,325.6,339.6,326.4,NaN
2026-02-20 00:00:00,500.0,5880,-5.1,-7.7,82,4.31,85,8,326.8,341.4,327.6,NaN
2026-02-20 00:00:00,489.0,6053,-6.2,-8.5,84,4.14,85,11,327.4,341.6,328.3,NaN
2026-02-20 00:00:00,450.0,6698,-10.5,-11.4,93,3.57,70,6,330.0,342.4,330.7,NaN
2026-02-20 00:00:00,434.0,6979,-12.3,-12.7,97,3.34,68,9,331.1,342.8,331.8,NaN
2026-02-20 00:00:00,412.0,7376,-13.7,-16.2,81,2.64,66,14,334.3,343.7,334.8,NaN
2026-02-20 00:00:00,401.0,7581,-15.2,-17.8,81,2.38,65,17,334.9,343.5,335.4,NaN
2026-02-20 00:00:00,400.0,7600,-15.3,-17.9,80,2.35,65,14,335.0,343.5,335.5,NaN
2026-02-20 00:00:00,360.0,8387,-21.7,-24.5,78,1.47,98,12,336.7,342.2,337.0,NaN
2026-02-20 00:00:00,337.0,8872,-23.7,-29.7,58,0.97,119,11,340.4,344.1,340.6,NaN
2026-02-20 00:00:00,328.0,9069,-25.5,-31.5,57,0.84,127,11,340.5,343.8,340.7,NaN
2026-02-20 00:00:00,322.0,9203,-26.5,-28.4,84,1.15,133,11,340.9,345.4,341.2,NaN
2026-02-20 00:00:00,310.0,9475,-28.8,-32.9,68,0.78,145,10,341.5,344.6,341.7,NaN
2026-02-20 00:00:00,301.0,9686,-30.5,-36.3,57,0.57,125,11,341.9,344.2,342.1,NaN
2026-02-20 00:00:00,300.0,9710,-30.7,-36.7,56,0.55,125,10,342.0,344.2,342.1,NaN
2026-02-20 00:00:00,292.0,9900,-32.4,-39.2,51,0.44,145,10,342.2,344.0,342.3,NaN
2026-02-20 00:00:00,289.0,9972,-33.1,-40.1,49,0.40,146,11,342.2,343.9,342.3,NaN
2026-02-20 00:00:00,284.0,10094,-33.3,-44.3,32,0.26,147,12,343.7,344.8,343.7,NaN
2026-02-20 00:00:00,255.0,10836,-39.7,-43.2,69,0.33,155,20,344.9,346.3,345.0,NaN
2026-02-20 00:00:00,250.0,10970,-40.5,-48.5,42,0.19,150,20,345.7,346.5,345.8,NaN
2026-02-20 00:00:00,231.0,11503,-44.9,-57.9,22,0.07,141,25,346.9,347.2,346.9,NaN
2026-02-20 00:00:00,229.0,11561,-45.4,-57.3,25,0.07,140,26,347.1,347.4,347.1,NaN
2026-02-20 00:00:00,214.0,12010,-49.1,-52.9,64,0.13,150,25,348.1,348.6,348.1,NaN
2026-02-20 00:00:00,206.0,12258,-51.0,-57.4,47,0.08,155,24,348.8,349.2,348.8,NaN
2026-02-20 00:00:00,201.0,12418,-52.3,-60.3,37,0.06,151,24,349.3,349.6,349.3,NaN
2026-02-20 00:00:00,200.0,12450,-52.5,-61.5,33,0.05,150,24,349.5,349.7,349.5,NaN
2026-02-20 00:00:00,199.0,12482,-52.7,-63.7,25,0.04,149,24,349.6,349.8,349.7,NaN
2026-02-20 00:00:00,192.0,12710,-54.5,-63.6,31,0.04,140,25,350.4,350.6,350.4,NaN
2026-02-20 00:00:00,183.0,13016,-56.8,-63.6,42,0.04,150,16,351.4,351.6,351.4,NaN
2026-02-20 00:00:00,174.0,13336,-59.3,-63.5,58,0.04,212,10,352.4,352.6,352.5,NaN
2026-02-20 00:00:00,166.0,13627,-61.6,-66.1,55,0.03,270,4,353.3,353.5,353.3,NaN
2026-02-20 00:00:00,155.0,14050,-65.0,-69.8,52,0.02,265,11,354.5,354.6,354.5,NaN
2026-02-20 00:00:00,153.0,14130,-65.7,-70.5,51,0.02,271,12,354.7,354.8,354.7,NaN
2026-02-20 00:00:00,150.0,14250,-66.5,-72.5,43,0.01,280,14,355.3,355.4,355.3,NaN
2026-02-20 00:00:00,149.0,14290,-66.8,-73.3,39,0.01,280,14,355.5,355.6,355.5,NaN
2026-02-20 00:00:00,146.0,14413,-67.7,-75.7,31,0.01,277,16,356.0,356.1,356.0,NaN
2026-02-20 00:00:00,124.0,15361,-74.0,-80.6,36,0.00,250,29,361.6,361.6,361.6,NaN
2026-02-20 00:00:00,100.0,16610,-82.3,-87.0,45,0.00,280,5,368.5,368.5,368.5,NaN
2026-02-20 00:00:00,98.0,16723,-83.2,-87.9,44,0.00,310,2,368.8,368.8,368.8,NaN
2026-02-20 00:00:00,97.0,16780,-83.7,-88.4,44,0.00,80,4,369.0,369.0,369.0,NaN
2026-02-20 00:00:00,95.0,16897,-83.2,-88.2,43,0.00,100,12,372.1,372.1,372.1,NaN
2026-02-20 00:00:00,86.0,17454,-81.0,-86.9,36,0.00,150,11,387.4,387.4,387.4,NaN
2026-02-20 00:00:00,85.7,17473,-80.9,-86.9,36,0.00,149,11,387.9,387.9,387.9,NaN
2026-02-20 00:00:00,78.0,17999,-83.8,-89.8,35,0.00,115,23,392.5,392.5,392.5,NaN
2026-02-20 00:00:00,75.7,18166,-84.7,-90.7,35,0.00,99,20,394.0,394.0,394.0,NaN
2026-02-20 00:00:00,73.0,18372,-80.1,-88.2,26,0.00,80,16,407.8,407.8,407.8,NaN
2026-02-20 00:00:00,70.5,18569,-75.7,-85.7,20,0.00,146,5,421.3,421.3,421.3,NaN
2026-02-20 00:00:00,70.0,18610,-75.9,-85.9,20,0.00,160,3,421.7,421.7,421.7,NaN
2026-02-20 00:00:00,67.0,18859,-77.3,-87.0,20,0.00,195,2,424.0,424.0,424.0,NaN
2026-02-20 00:00:00,62.0,19300,-79.8,-89.1,21,0.00,160,10,428.0,428.0,428.0,NaN
2026-02-20 00:00:00,59.0,19582,-81.3,-90.4,21,0.00,140,19,430.6,430.6,430.6,NaN
2026-02-20 00:00:00,58.7,19611,-81.5,-90.5,21,0.00,136,18,430.9,430.9,430.9,NaN
2026-02-20 00:00:00,55.3,19949,-77.7,-88.7,16,0.00,94,11,446.9,447.0,446.9,NaN
2026-02-20 00:00:00,55.0,19980,-77.8,-88.8,16,0.00,90,10,447.3,447.3,447.3,NaN
2026-02-20 00:00:00,53.7,20117,-78.5,-89.5,16,0.00,96,18,448.9,448.9,448.9,NaN
2026-02-20 00:00:00,53.0,20193,-77.3,-89.1,14,0.00,100,22,453.3,453.3,453.3,NaN
2026-02-20 00:00:00,50.0,20530,-72.1,-87.1,9,0.00,90,26,473.2,473.2,473.2,NaN
2026-02-20 00:00:00,48.0,20772,-69.0,-86.3,7,0.00,80,24,486.0,486.1,486.0,NaN
2026-02-20 00:00:00,47.4,20847,-68.1,-86.1,6,0.01,82,26,490.0,490.1,490.0,NaN
2026-02-20 00:00:00,45.0,21159,-67.9,-86.9,5,0.00,92,36,497.8,497.9,497.8,NaN
2026-02-20 00:00:00,43.7,21334,-68.7,-88.7,4,0.00,97,41,500.1,500.1,500.1,NaN
2026-02-20 00:00:00,43.0,21432,-68.2,-88.7,4,0.00,100,44,503.7,503.7,503.7,NaN
2026-02-20 00:00:00,40.0,21870,-65.8,-88.7,3,0.00,80,53,520.1,520.1,520.1,NaN
2026-02-20 00:00:00,37.5,22260,-63.7,-88.7,2,0.00,81,55,535.2,535.2,535.2,NaN
2026-02-20 00:00:00,34.5,22769,-65.3,-90.3,2,0.00,83,56,543.9,543.9,543.9,NaN
2026-02-20 00:00:00,31.0,23428,-61.0,-89.8,1,0.00,85,59,572.3,572.4,572.3,NaN
2026-02-20 00:00:00,30.5,23528,-60.4,-89.8,1,0.00,85,59,576.8,576.8,576.8,NaN
2026-02-20 00:00:00,30.0,23630,-59.7,-89.7,1,0.00,85,59,581.3,581.3,581.3,NaN
2026-02-20 00:00:00,28.8,23886,-57.3,-89.3,1,0.00,88,58,594.7,594.8,594.7,NaN
2026-02-20 00:00:00,26.0,24535,-56.1,-89.1,1,0.01,95,56,615.8,615.8,615.8,NaN
2026-02-20 00:00:00,24.0,25049,-51.2,-86.9,1,0.01,90,22,644.2,644.3,644.2,NaN
2026-02-20 00:00:00,23.8,25103,-50.7,-86.7,1,0.01,NaN,NaN,647.2,647.3,647.2,NaN
