data,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
2026-02-19 00:00:00,1002.0,84,25.4,24.0,92,19.17,300,2,298.4,354.4,301.8,NaN
2026-02-19 00:00:00,1000.0,98,25.6,24.0,91,19.21,335,3,298.8,355.0,302.2,NaN
2026-02-19 00:00:00,995.0,143,26.2,23.8,87,19.07,342,3,299.8,355.8,303.2,NaN
2026-02-19 00:00:00,925.0,786,22.0,21.4,96,17.69,80,7,301.8,354.2,305.0,NaN
2026-02-19 00:00:00,915.0,881,21.2,21.1,99,17.55,75,10,301.9,353.9,305.1,NaN
2026-02-19 00:00:00,879.0,1227,19.5,18.1,92,15.11,55,15,303.6,348.7,306.3,NaN
2026-02-19 00:00:00,858.0,1436,18.4,16.3,88,13.78,40,14,304.6,345.9,307.1,NaN
2026-02-19 00:00:00,850.0,1517,18.0,15.6,86,13.29,45,15,305.0,344.9,307.4,NaN
2026-02-19 00:00:00,750.0,2580,11.6,10.1,91,10.45,60,14,309.1,341.2,311.1,NaN
2026-02-19 00:00:00,719.0,2932,10.1,7.4,83,9.07,45,11,311.3,339.5,313.0,NaN
2026-02-19 00:00:00,700.0,3156,9.2,5.7,79,8.27,60,8,312.6,338.6,314.2,NaN
2026-02-19 00:00:00,675.0,3455,7.4,4.7,83,8.01,85,11,313.9,339.2,315.4,NaN
2026-02-19 00:00:00,635.0,3956,4.4,3.1,91,7.58,100,13,316.0,340.1,317.4,NaN
2026-02-19 00:00:00,603.0,4380,1.8,1.7,99,7.23,90,11,317.7,340.9,319.1,NaN
2026-02-19 00:00:00,588.0,4583,1.2,0.1,93,6.62,85,10,319.3,340.8,320.6,NaN
2026-02-19 00:00:00,558.0,5005,-0.1,-3.1,80,5.49,105,12,322.6,340.8,323.6,NaN
2026-02-19 00:00:00,549.0,5136,-0.5,-4.1,77,5.17,105,11,323.6,340.9,324.6,NaN
2026-02-19 00:00:00,500.0,5880,-4.9,-7.6,81,4.34,105,8,327.0,341.8,327.9,NaN
2026-02-19 00:00:00,472.0,6330,-8.3,-9.7,90,3.90,103,9,328.2,341.6,329.0,NaN
2026-02-19 00:00:00,467.0,6413,-8.5,-10.9,83,3.59,103,9,329.0,341.4,329.7,NaN
2026-02-19 00:00:00,459.0,6547,-7.7,-14.7,57,2.68,102,9,331.6,341.1,332.1,NaN
2026-02-19 00:00:00,438.0,6908,-10.9,-15.0,72,2.74,101,10,332.0,341.7,332.6,NaN
2026-02-19 00:00:00,430.0,7049,-11.7,-16.2,69,2.53,100,10,332.8,341.8,333.3,NaN
2026-02-19 00:00:00,400.0,7600,-14.7,-20.7,60,1.85,120,7,335.8,342.6,336.2,NaN
2026-02-19 00:00:00,382.0,7947,-16.9,-24.9,50,1.34,93,4,337.4,342.4,337.6,NaN
2026-02-19 00:00:00,374.0,8105,-18.1,-26.4,48,1.19,80,3,337.8,342.4,338.1,NaN
2026-02-19 00:00:00,358.0,8431,-20.5,-29.5,44,0.93,71,7,338.8,342.4,339.0,NaN
2026-02-19 00:00:00,336.0,8899,-22.9,-26.7,71,1.29,57,12,341.8,346.7,342.0,NaN
2026-02-19 00:00:00,333.0,8964,-23.4,-27.5,69,1.21,55,13,342.0,346.6,342.2,NaN
2026-02-19 00:00:00,308.0,9531,-27.5,-34.5,51,0.67,59,18,343.9,346.6,344.1,NaN
2026-02-19 00:00:00,300.0,9720,-29.1,-35.1,56,0.65,60,20,344.2,346.9,344.4,NaN
2026-02-19 00:00:00,294.0,9863,-30.4,-36.8,53,0.56,60,20,344.4,346.7,344.6,NaN
2026-02-19 00:00:00,287.0,10034,-31.9,-38.9,50,0.46,61,19,344.6,346.5,344.7,NaN
2026-02-19 00:00:00,267.0,10536,-36.2,-39.8,70,0.45,65,14,345.5,347.4,345.6,NaN
2026-02-19 00:00:00,257.0,10801,-38.5,-40.2,84,0.45,95,11,345.9,347.8,346.0,NaN
2026-02-19 00:00:00,250.0,10990,-40.1,-42.1,81,0.38,80,12,346.3,347.9,346.4,NaN
2026-02-19 00:00:00,245.0,11124,-41.3,-43.6,79,0.33,80,11,346.5,347.9,346.6,NaN
2026-02-19 00:00:00,235.0,11401,-43.8,-46.6,73,0.25,110,14,347.0,348.0,347.0,NaN
2026-02-19 00:00:00,214.0,12023,-49.3,-53.4,62,0.12,125,17,347.8,348.3,347.8,NaN
2026-02-19 00:00:00,202.0,12406,-52.7,-57.6,55,0.08,120,20,348.2,348.5,348.2,NaN
2026-02-19 00:00:00,200.0,12470,-53.3,-58.0,56,0.08,120,20,348.2,348.6,348.2,NaN
2026-02-19 00:00:00,177.0,13231,-60.1,-64.9,53,0.03,165,18,349.4,349.6,349.5,NaN
2026-02-19 00:00:00,151.0,14220,-68.9,-73.9,48,0.01,155,19,350.5,350.6,350.5,NaN
2026-02-19 00:00:00,150.0,14260,-69.1,-74.1,48,0.01,155,19,350.9,350.9,350.9,NaN
2026-02-19 00:00:00,148.0,14340,-69.4,-74.7,46,0.01,155,19,351.7,351.8,351.7,NaN
2026-02-19 00:00:00,143.0,14544,-70.1,-76.1,41,0.01,145,12,353.9,354.0,353.9,NaN
2026-02-19 00:00:00,136.0,14833,-72.2,-77.9,42,0.01,320,1,355.4,355.4,355.4,NaN
2026-02-19 00:00:00,113.0,15898,-79.8,-84.7,45,0.00,335,18,360.4,360.4,360.4,NaN
2026-02-19 00:00:00,107.0,16212,-82.1,-86.7,46,0.00,330,10,361.8,361.8,361.8,NaN
2026-02-19 00:00:00,105.0,16317,-81.8,-86.5,45,0.00,5,1,364.4,364.4,364.4,NaN
2026-02-19 00:00:00,101.0,16534,-81.1,-86.1,43,0.00,135,17,369.7,369.8,369.7,NaN
2026-02-19 00:00:00,100.0,16590,-81.3,-86.2,44,0.00,135,22,370.4,370.4,370.4,NaN
2026-02-19 00:00:00,92.8,17007,-83.5,-88.1,45,0.00,112,28,374.1,374.1,374.1,NaN
2026-02-19 00:00:00,88.3,17288,-77.5,-84.5,32,0.00,96,33,391.4,391.4,391.4,NaN
2026-02-19 00:00:00,88.0,NaN,NaN,NaN,NaN,NaN,95,33,NaN,NaN,NaN,NaN
