datetime,shr06_u,shr06_v,shr06_mag,rm_u,rm_v,rm_speed,mean_u,mean_v,mean_speed,corfidi_up_u,corfidi_up_v,corfidi_up_speed,corfidi_down_u,corfidi_down_v,corfidi_down_speed,galvez_davison
2026-01-01 00:00:00,-8.660254037844386,-5.000000000000001,10.0,-25.887270816841685,7.764948861767099,27.026750103746497,-16.816084448667297,-3.648024884407856,17.207230507608394,2.0385018079121213,-3.8096093404976443,4.32071903137289,-13.922996384175757,-7.6192186809952895,15.871430988496241,34.454631992527155
2026-01-01 12:00:00,0.24103083844827267,4.345258088498076,4.351937927032167,-3.72512656888933,-6.651075047442639,7.623212396421819,-17.5516161843539,-2.028242931684814,17.668418154232235,6.662215626305089,4.960621661586556,8.3061955383187,-9.22819164625162,1.7127598833570596,9.385790722042842,19.221491024828886
2026-01-02 00:00:00,-4.532800808640558,-2.499362653554829,5.176204868897399,-3.2353366116507125,8.822580920715343,9.397091948749779,-12.312739666342623,-2.5854489547584047,12.581260047737205,5.665977356948851,3.3483426864698678,6.581390290470042,-7.986561811883664,1.5203044708893207,8.129975108156515,36.02158354651792
2026-01-02 12:00:00,-1.2614801241185305,3.197485437322984,3.4373311195517164,3.0660302790674017,-1.2864458679279394,3.3249788936573714,-11.488089662736582,-2.1349649169864584,11.684788371889244,5.196326746865974,5.400626194629385,7.494569697741945,-7.461506301200309,4.302869666071064,8.613289943224158,24.211646669152504
2026-01-03 00:00:00,-8.519497483521102,0.15852614579098145,8.520972239751854,1.568996611030304,9.716689735879948,9.842550979739922,-8.04492969633838,-1.2430006253262431,8.140389694209276,-7.39017637539053,4.441033012058809,8.621918642249904,-18.694703075076287,3.078803016232326,18.94652873425705,31.82240517380288
2026-01-03 12:00:00,-0.5898169835510119,9.536137074767097,9.554359967199938,6.415923088790278,-1.0131971381678928,6.495432050453902,-7.91111495058875,1.684648831345181,8.088496859514846,2.170579802083971,8.184288241486241,8.467230402967953,-7.440841627308508,10.87453908034339,13.176559654651998,21.097171621698514
2026-01-04 00:00:00,-0.6972459419812655,7.969557584733964,8.0,7.554909200274684,-4.699602874919211,8.897354674640322,-6.422135248760183,-0.5541692031865265,6.446000671666766,1.9070084108871788,11.44497989512788,11.602768888462608,-5.378371333650762,13.697571634830641,14.715649727210595,21.966039204919785
2026-01-04 12:00:00,-0.014715996003750578,3.3505163422414586,3.350548659572856,5.990011336444432,-9.764042646143146,11.454988634059612,-6.246359927851884,-1.8385388678754857,6.51131611250465,4.437398286488857,16.20710911275867,16.803597512015077,-0.6314827860249839,18.32057949208163,18.331459391841335,37.16173996939544
2026-01-05 00:00:00,-19.93099420771379,-2.7746357708642577,20.123198895028597,-6.1909964586658885,4.536376517832094,7.675099286833494,-3.3541452612291174,-9.763786667972225,10.323847176856983,-5.646194995796931,1.500340782468868,5.842134917485353,-12.2511031618181,-7.9574601140714645,14.608583098594734,37.00104851892578
2026-01-05 12:00:00,4.733050087996416,-5.512694324952239,7.265780195948919,-10.331884635046041,-22.593508801537915,24.843801643006888,-3.1364452253936093,-9.914074919891137,10.398373438625333,1.2238178479597255,3.368269899521076,3.5837092852245274,-0.9170118904133187,-5.820495942715736,5.892290202148037,4.494104143880634
2026-01-06 00:00:00,3.478465145403261,-7.47583684286187,8.245474896503916,-13.862398881577914,-20.169680871362456,24.474111407864786,-4.868753420330515,-8.695504074118322,9.96576896034563,5.967350021390425,-2.560087096849954,6.493328285343806,2.4084206011520264,-10.62017419369991,10.889838827851541,28.455356076471602
2026-01-06 12:00:00,0.9734208651058132,-7.70954877187914,7.770758678958349,-17.490815320009126,-13.361790918968847,22.010590112963904,-5.005812114638026,-5.834036484949031,7.687271078528015,5.169474686482203,-3.3182063560845263,6.142797567537125,1.2758715025979068,-10.862595329576047,10.937267729431735,33.46087258857659
2026-01-07 00:00:00,0.5336730152945885,-1.1727455954543773,1.288463860149465,4.700279687659464,-17.753095011331858,18.364776383708033,-3.802237963505991,-5.910393231389431,7.027784976845847,9.048111849942888,0.2446153800911821,9.051417830000672,5.88021962966897,-3.9570311030513308,7.087670847581729,37.48049886941316
2026-01-07 12:00:00,-2.050603948296717,0.9907235131861197,2.2773909704637743,-0.701563031830748,-16.455826295704746,16.47077441294244,-10.34928095551743,-5.525870636050572,11.732129499055223,11.940291321573222,2.2407357663296703,12.148722303952207,4.562066117365077,-0.6949093693910742,4.614688103315106,36.59463430118192
2026-01-08 00:00:00,-0.9736714604859693,-1.2017043241612222,1.546651025820841,-14.452293485033211,-17.35874715760757,22.587494103137743,-9.116518223529722,-3.7914373942182573,9.873494925011409,11.008378245239872,1.7743433069349335,11.150456751233794,4.630091617276511,-1.1100561979755064,4.761299522928383,42.80035926568028
2026-01-08 12:00:00,3.4093919434597257,2.089278070030054,3.9986292999022295,-12.975180491713894,-15.854444940916276,20.487038174833827,-13.146780416997162,-1.2766211896605915,13.208618284840792,11.358300590139983,8.007035633974066,13.89689216838444,1.103670902204076,8.14760797145775,8.222019527885703,48.765039333033904
2026-01-09 00:00:00,-1.706244336286053,6.332839716878061,6.558668204351889,0.39467231509241074,-8.555057934831119,8.56415684726858,-12.90050123139616,-2.5733564857631204,13.15466060467061,10.256789670474559,5.636951648781237,11.70371557391289,0.1373690891531929,6.193543489969453,6.195066684774084,49.02617038673112
2026-01-09 12:00:00,0.573627711871779,0.6945927106677214,0.9008372691779496,-10.964144005044389,-19.56768036985463,22.43003720059655,-12.209123322537456,-5.042102296812372,13.209295510224935,14.82072958279122,4.84053513844999,15.591177177903916,6.149143645934732,1.1305666937582606,6.252211498931795,43.21664433986438
2026-01-10 00:00:00,3.9613281584442994,4.820700180282401,6.239492848546144,-4.695540596730838,-18.948985224397404,19.52209370252019,-10.769870683263477,-5.6958759342392655,12.18331306305736,7.382491070587124,12.107541637616887,14.180752410007207,-2.0879956074432684,10.073755862129907,10.287870665327157,42.15105122313214
2026-01-10 12:00:00,0.957408737729412,9.601704466851153,9.64931915524769,-8.3872435079239,-15.756025800513964,17.84931939004043,-12.620741043713327,-1.8054025000482645,12.749218904687874,9.894402382334198,7.47266151785788,12.399188226009583,0.055259728164319455,7.762900025876714,7.763096704879663,48.07944904815747
2026-01-11 00:00:00,2.403477451691991,1.7760958632139237,2.988514744169324,-0.5021157570790837,-10.393516812854413,10.405638470204241,-11.119394840316332,-0.4027322227591746,11.126685708606225,8.386192593328984,7.070971131465432,10.96936000660127,-1.580205512834329,9.224380405982972,9.358752231845578,49.62262758832482
2026-01-11 12:00:00,-0.075847445212609,-2.679857402437867,2.680930534785695,-18.8410248173071,-10.832043081048205,21.732863904144487,-7.707576907482642,-1.4198844818608236,7.837270808552482,10.8254396345603,1.0024410136508262,10.871753826653652,4.650879269120603,2.004882027301651,5.0646056035325175,41.9888806241498
2026-01-12 00:00:00,-14.717712329925321,12.735618316326159,19.462965604593208,3.692823105660887,5.352131351704902,6.502480487906554,-8.481298190042162,-2.668664278065318,8.891242208906151,7.895619341406703,3.2859121854769118,8.552077155583975,0.03431463461807738,3.793453528282937,3.7936087259219597,29.505472628316287
